"English Term","Arabic Term"
"slow-down","الإِبْطَاءُ، تَقْلِيلُ سُرْعَةِ الْقَصِّ"
"social energy","الطَّاقَةُ الاجْتِمَاعِيَّةُ"
"socialist realism","الوَاقِعِيَّةُ الاشْتِرَاكِيَّةُ"
"sociolect","اللَّهْجَةُ الاجْتِمَاعِيَّةُ، لَهْجَةُ فِئَةٍ اجْتِمَاعِيَّة"
"socio-linguistic horizon","أُفُقُ الاخْتِمَالَاتِ الاجْتِمَاعِيَّةِ اللُّغَوِيَّة"
"solution from above and from below","الحُلُّ الفَوْقِي (من القِمَّة) والحُلُّ التَّحْتِيُّ (من القَاعِدَة)"
"sous rature","قَيْدُ الشَّطْبِ"
"speech act theory","نَظَرِيَّةُ فِعْلِ الكَلَامِ"
"stereotype","قَالِب، مُقَوَّلِب، نَمَطِي، نَمَط"
"story and plot","القصة والحبكة"
"string of pearls narrative","رواية الوقائع المُنْفَصِلَة، رواية عقد اللؤلؤ"
"structuralism","البنيوية، البنائية"
"structure","البناء، التركيب"
"structure in dominance","البناء السائد، المبنى المهيمن"
"structure of feeling","بناء المشاعر"
"style and stylistics","الأسلوب وعلم الأسلوب (الأسلوبية)"
"styleme","أصغر وحدة أسلوبية"
"subaltern","التابع"
"subject and subjectivity","الذَّات والذَّاتِيَّة"
"sub-text","النصّ الدّفين، النصّ الباطن"
"suggestiveness","قُوَّةُ الإِيحَاءِ، الإِيحَائِيَّةُ"
"summary","مُلَخَّصٌ، مُوجَزٌ"
"superstructure","البِنَاءُ الفَوْقِي"
"supplement","المُلْحَقُ، المُرْفَقُ"
"surface structure","البِنَاءُ السُّطْحِي"
"surfiction","القِصَّةُ اللاوَاقِعِيَّةُ"
"suspense","التَّشْوِيقُ، التَّعْلِيقُ"
"suture","رأب الصدع، خيط اللق، خياطة الجرح"
"syllepsis","الجمع غير الزمني، التجميع غير الزمني"
"system","نظام، نسق، مذهب، بناء"
"technological determinism","الحتمية التكنولوجية"
"telos","الغائية"
"tense","زمن الفعل"
"terrorism","الإرهاب، التخويف"
"tessera","الإِكْمَال، الاسْتِكْمَال"
"text and work","النص والعمل (الأدبي)"
"textualist/textualism","المُؤْمِن بالنَّص / المَذْهَب النَّصِّي"
"theme and thematics","فِكْرَة، مَوْضُوع، قَضِيَّة، تِيمَة، خَيْط وَنَسِيج الأَفْكَار فِي الرِّوَايَة"
"thin description, thick description","الوَصْفُ الكَثِيفُ (الشَّامِلُ) والوَصْفُ الهَزِيلُ (المُحْدُودُ)"
"top-down (perspective)","مَنْظُور مِنَ القِمَّةِ إِلَى القَاعِدَةِ"
"topic","المَحْوَرُ المَوْضُوعِيُّ، الأَسَاسُ الدَّلَالِيُّ، عَامِلُ التَّفْسِيرِ"
"totalizing discourse","القول الشمولي، الكلام الشمولي، الخطاب الشمولي"
"trace","أثر"
"traditional intellectuals","المتفوقون التقليديون"
"transcendental pretence, transcendental signified, transcendental subject","التظاهر بالتعالي، المذلول المتعالي، الذات المتعالية"
"transcoding","اجْتِيَازُ الشَّفْرَةِ، عُبُورُ الشَّفْرَةِ"
"transference","النَّقْلُ، التَّحْوِيلُ"
"transgredient","المَكُونُ الْخَارِجِي"
"transgressive strategy","تَجَاوَزَ افْتِرَاضَاتِ النَّصِّ"
"transparency reading and transparent criticism","القِرَاءَةُ الشَّفَّافَةُ وَالنَّقْدُ الشَّفَّافُ"
"transtextuality","عَبْرَ النَّصِّيَّةِ"
"transworld identity","الهُوِيَّةُ الَّتِي اخْتَلَفَ عَالِمُهَا"
"unfolding","الفصل، الفك، التقسيم، التفتت"
"virtuality","فعلية النص"
"vision","الرؤية"
"voice","الصوت"
"Vorurteil","الحكم المسبق، إنجاز"
"vraisemblable","المظهر الواقعي، مماثلة الواقع"
