"English Term","Arabic Term","Arabic Definition"
"Council Of Mutual Economic Assistance","مجلس المساعدة الاقتصادية المتبادلة","أنظر: الكوميكون"
"Coup d,etat","الإنقلاب","وهو استيلاء العسكريين على السلطة الشرعية بواسطة القوة المسلحة وتغيير نظام الحكم بالقوة بدون الرجوع للناخبي) ن بالأسلوب العسكري Military Method (، والسلطة هنا هي الحكومة، أما ما يطيح بالدولة فيسمى ثورة Revolution."
"Creative","التفكير الخلاق","مصطلح يعبر عن كل شيء يحدث ويقضي على القديم المتآكل في سبيل الجديد الواعد."
"Credibility","المصداقية","هي قدرة النظام السياسي على تحقيق وعوده وخططه أمام الجماهير خلال فترة طال أمدها أم قصرت، والمصداقية تسهم في توفير الشرعية والاستقرار في العمل السياسي."
"Creole","خلاسي","هي كلمة تعني أمرين: مول ود من والدين أحدهما أوربي والآخر زنجي، أو شخص من والدين أوربيين ولكنه ولد في أمريكا الوسطى أو جزر الهند الغربية، ومن الم صطلح لغة خلاسية بمعنى خليط من عدة لغات تتبلور لأغراض التفاهم بين إناس لايعرف أحدهم لغة الآخر، كما في المواني."
"Crisis","أزمة","وهي موقف يحدث فيه صراع أو تضارب في الأهداف أو المصالح مما يؤدي إلى حالة من الصدام السياسي أو العسكري."
"Crisis-Management","إدارة الأزمات","إدارة الأزمات ما هي إلا فن التعامل مع الأزمات المختلفة، أي معالجة المشاكل قبل أن تقع، ووضع استراتيجيات لمعالجة المشاكل فور وقوعها حتى يمكن السيطرة عليها أو الحد من آثارها الناجمة عنها وتلافي آثارها الناجمة عنها بعد ذلك."
"Crowd","الحشد","وهو مجموعة من الأفراد أجمعوا على أمر من غير ترتيب سابق، وهم مجموعة حشدت لأمر مقرر سلفا ً كما في الحشود العسكرية، وتمثل الحشود نموذجا ً سلوكيا ً يمكن أن يستجيب الأفراد فيه بطرق غير متوقعة للمؤثرات الجماعية."
"Culpability","تأثيم","هو حكم بالإدانة على فعل تاريخ وخيم العواقب، وفي الغالب تكون الإدانة لأكثر من واحد لأن الإدانة الفردية قد تدل على تسرع في الحكم."
"Cultural Uniformity","التماثل الثقافي","وهو تماثل شكل ومحتوى الثقافة التي تتميز بها الجماعة التي تقيم في منطقة معينة."
"Culture","الثقافة","هي البيئة التي يحيا فيها الإنسان والتي تنتقل من جيل إلى،جيل وتتضمن الأنماط الظاهرة والباطنة من السلوك المكتسب عن طريق الرموز، وتتكون ثقافة أي مجتمع من أفكاره ومعتقداته ولغته وفنونه وقيمه وعاداته وتقاليده وقوانينه وغير ذلك من وسائل حياته ومناشط أفكاره."
"Cybernetics","السبرنطيقا) علم الضبط (","وهو علم الضبط الذي يعلن أن النظام الس ياسي هو نظام اتصال السياسة وسيطرة يقود إلى أهداف محددة مختلفة، كما في القذائف الموجهة Guided Missiles ، أي هو العلم الذي يدرس عمليات التحكم والتوجيه والحركة في الكائنات الحية والذي يستطيع أن يربط بين النظم الحية والنظم التكنولوجية."
"Cyborgenization","سبرجنة البشر","وهو مصطلح مأخوذ من لغة الخيال العلمي مثال للسيبورج Cyborg في روايات الخيال العلمي المرأة البيونيك Bionic Woman وهو يعني تطعيم الحيوي بالصناعي ومزج البشر بالآلة."
"Cyclone / Hurricane / Tornado","إعصار","عاصفة هوجاء تشتد فيها الرياحف تقتلع الأشجار وتضطرب البحار والأنهار وقد تسقط الأمطار العنيفة. إعلان الال حقوق"
"Cynicism","السخرية","هي نظرة المجتمع الدولي للمجتمعات التي تعاني من المشاكل الصعبة لكل من الحرب والفقر والتي تتعرض لأزمات يغلب من الصعب التغلب عليها."
"Decay","انهيار","الانهيار هو الشعور السياسي بفقد النظام لأهم عوامل شرعيته وإقباله على السقوط."
"Decision – Making","صناعة القرار","وهي عملية اتخاذ مختلف القرارات والق وانين في المجتمع ومن يسهم في هذه العملية وكيفية إعداد القرار قبل إصداره، والمستويات المختلفة لاتخاذ القرار ثم تنفيذه."
"Decision-Making Approach","منهج صنع القرار","و هو منهج لدراسة النظم السياسية وينظر إل ى النظام السياسي باعتباره ميكانيزم لصنع القرارات، لأن عملية صنع القرار وظيفة تعرفها كل النظم السياسية سواء أكانت بسيطة أم مركبة أم تقليدية أم حديثة، ديمقراطية أو غير ديمقراطية."
"Decisional Techologies","تكنولوجيا اتخاذ القرار","تكن ولوجيا اتخاذ القرار هي المستلزمات والأدوات التقنية الحديثة التي تساعد الفرد والجماعة على اتخاذ القرار المناسب، وأهم صور تكنولوجيا اتخاذ القرار يكمن في دراسات الجدوى الاقتصادية للمشروعات والتي تنفذها الشركات والمكاتب الاستشارية Consulting Firms باستخدام الأ دوات التكنولوجية المختلفة."
"Decisional Unit","وحدة قرارية","هي أي منظمة داخل المجتمع تكون جزءا من عملية صنع القرار ونشاطها يؤثر ويتأثر بنشاط بقية أجزاء أو وحدات بناء صنع القرار، كالبرلمان مثلا ً."
"Deference","إذعان","هو عملية تهيئة المواطنينل تقبل كل ما يصدر عن النظام السياسي دون مناقشة وإحاطة النظام السياسي بهالة من الوقار والاحترام واستخدام أسلوب تبجيل المؤسسات Dignified Institutions رغم أنها قد لا تملك أي دور يذكر في النظام السياسي."
"Demands","المطالب","وهي قد تكون عامة أو خاصة، والتي يتم التعبير عنها وبلورتها في برامج مبسطة عن طريق جماعات المصالح والأحزاب وقادة الرأي ووسائل الإعلام."
"Democracy","الديمقراطية","هي حكم الشعب أو بمعناها الحرفي كمصطلح أغريقي حكومة الشعب، وتتسع لكل مذهب يقوم على حكم الشعب لنفسه باختياره الحر لحكامه وبخاصة القائمين منهم بالتشريع ثم برقابتهم بعد ذلك، وحكومة الشعب تعني في العالم المعاصر حكومة أغلبية الشعب كنظام متميز عن نظام الحكم الفردي أو حكومة الأقلية، والديمقراطية هي أسلوب حياة في كافة المجالات السياسية والاقتصادية والاجتماعية، وتشمل الحرية بأوسع معانيها."
"Demography","الديموغرافيا","هي علومد راسة التجمعات السكانية من حجمها الإجمالي والتغييرات السكانية ومعدلات الولادة والوفيات والهجرة، والتوزيع البشري على المساحة والتصنيفات السكانية من حيث العمر والمهنة ومكان المعيشة وما إلى ذلك من أمور تخص سكان الأقليم."
"Demonopathy","الديمونوباثيا","وهو مرض نفسي معناه الخ وف والهلع المرضي من الجن أو الشياطين أو المجهول، وهو نوع موروث خيالي، ومن أبسط مظاهره الاعتقاد اليهودي بالخوف منهم وبمعاداة السامية."
"Dependance","التبعية","وهو مصطلح يقصد منه أن تكون دولة تابعة لدولة أو دول أخري بسبب اعتمادها التجاري عليها مما يؤثر على اتجاهاتها الاقتصادية والسياسية، أي الاعتماد على الخارج سواء في التجارة أو التصدير مما يفرض على الدولة علاقات غير متكافئة."
"Depoliticized Democracy","الديمقراطية غير المسيسة","وهي الديمقراطية التي تجمع بين فتور الصراع الديني والأيديولوجي من ناحية، ووجود ائتلافات كبرى لصنع القرار دون المستوى القومي من ناحية أخرى، والنموذج الحي لذلك هو الديمقراطية السويسرية."
"Development","التنمية","أنظر: النمو أنظر النمو"
"Development Of Under-Development","تنمية التخلف","مصطلح يبلور المحور السياسي للفكر الجديد عن المرحلة التي مرت بها معظم بلدان الدول النامية، الدول م ويعني أنه الحديثة الاستقلال ليس في اللحاق بركب الدول الغنية ولكن في التغيير الجوهري لمجمل عملية التنمية من منظور عالمي يطل على الكرة الأرضيةك قرية عالمية واحدة."
"Dialecticalism","ديالكتيكية","الديالكتيكية هي التناقض بين الأشياء وعدم إجراء التوفيق بين فرضيتين متعارضتين من خلال اعتبار أحدا هما على الأقل خاطئة، فالتناقضات يمكن أن تشكل تأكيدا ً Thesis وتأكيدا ً متناقضا ً Anti-Thesis يمكن أن ينبثق عنهما تركيب جديد Synthesis Thesis."
"Differentiation","التباين","التباين مصطلح يعني التفاوت الكبير بين المواقفو، يشير إلى العملية التطورية، وانقسام المجتمع إلى عنصرين على الأقل، بحيث أن كل عنصر يصبح مهتما ً بأداء وظائف معينة، ولا يظهر التباين إلا في حالة وجود أنساق متعددة داخل المجتمع السياسي أو العام."
"Digitization","الرقمنة","الرقمنة من أهم انجازات التكنولوجيا الرقمية للمعلومات وتعني اسقاط الحواجز الفاصلة بين أنساق الرموز المختلفة من نص وص وأصوات وأنغام وصور ثابتة ومتحركة، وتحويل هذه الأنساق إلى سلاسل رقمية قوامها الصفر والواحد، حتى تتواءم مع نظام الإعداد الثنائي أساس عمل الكمبيوتر."
"Diplomacy","دبلوماسية","مصطلح يقصد به الشكل العام للعلاقات بين الدول في الظروف الطبيعية، وكلما زادت قوة ومتانة العلاقات بين دولتين زاد حجم التمثيل الدبلوماسي بينهما، كما توصف الدبلوماسية بأنها الجهود السياسية المختلفة التي تبذل في كافة المجالات من أجل نبذ الصراع وزيادة التعاون بين الدول في كافة المجالات."
"Diplomatic","دبلوماتيك","مصطلح يقصد به علم الكتابات الرسمية أو شبه الرسمية مثل الأوامر والقرارات والمراسيم والاتفاقيات والمراسلات الس ياسية والوثائق الشرعية، فهو باختصار علم الوثائق الدبلوماسية التي هي مصدر أصيل من مصادر كتابة التاريخ."
"Disarmament","نزع السلاح","نزع السلاح هي أحد مهام الأمم المتحدة الواردة في ميثاقها، وتعني حماية البشرية بعد انتاج أسلحة الدمار الشامل من نووي وكيميائي وحربي، ومن ضمن اختصاصات مجلس الأمن نزع السلاح وتنظيم التسليح Regulation Of Armaments لحماية السلم والأمن الدوليين."
"Discourse","خطاب","هو التعبير عن الأفكار بالكلمات، أو محادثة بين طرفين أو أكثر، أو معالجة مكتوبة لموضوع ما، أو حوار أو كلام."
"Discrimination","التمييز والمحاباة","أنظر: التفرقة والاضطهاد"
"Disorder / Dysergy","التفكك","وهو مفهوم عكس النظام، والتفكك يعني عدم وجود طريقة عمل تجمع أفراد المجتمع تحت غطاء سياسي أو اجتماعي واحد، كما يعنى مفهوم التفكك مجموع الظواهر التى تؤدي إلى تحطيم التعاون أو البناء الاجتماعي تحطيما ً كليا ً أو جزئيا ً."
"Distributive Changes","الظواهر التوزيعية المتغيرة","هي ظواهر اجتماعية دينامية كالتغير في السنن الاجتماعية وأساليب الحياة ومعدلات الموال يد والجريمة والزواج وما إلى ذلك، ويمثل هذا النوع من الظواهر مجموعة من الأفعال الفردية العديدة ولا ينطوي على أهداف شعورية جماعية للجماعة."
"Divide And Rule Policy","فرق تسد","فرق تسد ليس مجرد مصطلح فكري ولكنه مبدأ ومثل شائع في عالم السياسة، حيث لابد من اختراق صفوف الأعداء بالتفريق بينهم حتى يمكن احتوائهم والسيطرة عليهم، كما كانت تفعل الحكومة السوفيتية مع الأقليات حيث تبالغ في إظهار خلافاتها الإثينية لتضمن حكمها، ويطبق المثل في مختلف الجماعات صغيرة كانت أو كبيرة."
"Domestic & International Politics","السياسة الداخلية والسياسة الدولية","و هناك فروق واضحة بين السياستين ويتبين هذا الفارق في بناء المؤسسات السياسية وفي التقسيم للأعمال الأكاديمية، ولكن الأولى تبقي محددا ً للسياسة الخارجية، وتظل تستند على الإطار ال قانوني الرسمي للعلاقات داخل الدولة Inter-State Relations ، بينما السياسة الدولية لايمارسها أفراد بصفتهم الشخصية وإنما كممثلين عن الدول والأمم المختلفة، لأن القانون الدولي يعتبر الدول المستقلة Sovereign State وحدها كأشخاص دوليين International Persons."
"Domination","السيطرة","وهي القوة السياسية التي تمارس، في جماعة تشغل مكانا ً محددا ً، بواسطة شخص أو مجموعة أشخاص، بحيث يتحملون المسئولية الخاصة بدعم النظام والتكامل داخل الجماعة بوصفها مجتمعا ً سياسيا ً، وتكون أوامرهم مستندة إلى القوة الشرعية."
"Dynastic States","الدول الأسرية","و هي الدول التي استطاع ملوكها القضاء على الأوضاع الإقطاعية وتكوين الدول الجديدة التي تميزت بالملكية المطلقة والحق الالهي المطلق."
"Dysfunctions","المعوقات الوظيفية للنظام","وهي النتائج التي تقلل من تكيف وتو ازن النسق داخل النظام السياسي، وقد تكون ظاهرة أو كامنة."
"E Pluribus Unum","من الكثير واحد","أنظر: واحد من كثير"
"E Pluribus Unum","واحد من كثير","هو شعار قومي أمريكي أعلنه الكاتب أ. ب. هاريسون عالم الكلاسيكيات في كتابة عن الهوية الثقافية، وهو شعار مرفوع للتعددية الثقافية الأمريكية، وهو شعار يفتقد التراث الكلاسيكي ويختلط بالغ موض، ويدعو للتعدد والتنوع الثقافي والثقافة المتعددة."
"East African Common Services Organization (EACSO)","منظمة الخدمات المشتركة لشرق أفريقيا","هي منظمة موروثة عن اللجنة العليا لشرق أفريقيا في عهد الاستعمار، وهي منظمة أقليمية تقوم بخدمات عديدة تشمل النقل والمواصلات والتعليم العالي والأبحاث ويتحمل مسئوليتها الجماعية رؤساء كينيا وتنجانيقا وأوغندا ويتم تسي ير أعمالها عن طريق إدارة مركزية في نيروبي، وتوسعت لتشمل كل دول الشرق الأفريقي ولكن دورها تقلص نسبيا ً."
"Eastern Question","المسألة الشرقية","هي المسألة الدولية التي نشأت عن تفسخ الإمبراطورية العثمانية في البلقان وشرق البحر المتوسط في نهاية القرن التاسع عشر وتنافس الدول الأوربية على احتلال أجزاء من أراضي هذه الأمبراطورية وتشجيع الشعوب الموجودة تحت لوائها على الاستقلال عنها، مثل الثورة ال عربية على تركيا) ١٨٠٤- ١٨١٣ (م وثورة اليونان عليها) ١٨٢١-١٨٢٩ (م وحرب القرم) ١٩٥٣-١٨٥٦ (م بين تركيا وروسيا والحرب الروسية التركية) ١٨٧٧-١٨٧٨ (م والحرب البلقانية) ١٩١٢-١٩١٣ (م والتي انتهت بتمزق أوصال الأمبراطورية العثمانية في اتفاقية لوزان ١٩٢٣ م والتي تخلت فيها تركيا عن أراضيها غير التركية، منهية بذلك المسألة الشرقية والأمبراطورية العثمانية في وقت واحد."
"Economic Community European (EEC)","المجموعة الأوروبية المشتركة","هي السوق الأوربية المشتركة، وتهتم بالتعاون الاقتصادي والتجاري والقانوني بين مجموعة من الأمم الأوربية بشكل،دائم وهي تحقق مجموعة من التعاون والتنسيق والتكامل في مجا لات الاقتصاد والعملة والتجارة مما أعطاها قوة اقتصادية هائلة واستمر هذا التعاون حتى وصل إلى العملة الأوربية الموحدة اليورو والذي أعطى الدول الأوربية قوة اقتصادية هائلة في مواجهة القوة الاقتصادية الأمريكية."
"Efficiency","الكفاءة","وتعني ظهور الفرد في عمله ووظيفته بدرجة عالية من الإتقان، وأن يكون له انتاجه وفعاليته Effectiveness في كافة المواقف وفي الأمور العاجلة، وهذا المفهوم ينطبق أكثر على القيادات السياسية التي يجب أن يكون هناك تدقيق كفاءة Efficiency Audit لهم سواء من المجالس النيابية المسئولة عن الرقابة أو من الأجهزة المختصة."
"Egaliterianism","المساواة","وهي من أهم القيم في ع المنا المعاصر، وتعبر عنها الفلس فة الاشتراكية بأنها حتمية، حيث تكون الكفاءة هي أهم المعايير التي تحل محل المكانه، في اختيار الأفراد وفي ترقيتهم، والمساواة تعني أن الجميع أمام القانون سواء لا فرق بين فرد أو آخر بسبب اللون أو الأصل أو الجنس، فالجميع يتمتع بح قوق وواجبات متساوية."
"Egypt","مصر","جمهورية مصر العربية تبلغ مساحتها ١٠٠٠٠٢٠ كم ٢ وعدد سكانها حوالي ٧٠ مليون نسمة، وعاصمتها القاهرة، وعملتها الجنيه المصري واللغة الرسمية العربية والمسلمون يشكلون نحو ٩٥ % من السكان، ونظامها السياسي نظام رئاسي يقوم على تعدد حزبي ومجلس نيابي هو مجلس الشعب وعدد مقاعده ٤٥٤ مقعد نيابي، وتقع مصر في الركن الشمالي الشرقي لقارة أفريقيا على ساحل البحر المتوسط والبحر الأحمر وفي قلب العالم العربي وجيرانها ليبيا من الغرب والسودان من الجنوب والبحر الأحمر وفلسطين من الشرق والبحر المتوسط في الشمال، ويجري بها نهر النيل، وبها قناة السويس التي تمثل أهم ممر مائي صناعي في العالم، وبها بحيرة ناصر كأكبر بحيرة صناعية في العالم والسد العالي الذي أختير كأكبر مشروعات تنظيم الري في العالم خلال القرن العشرين، وتتألف مصر من ٢٦ محافظة، وتوجد بمصر أقدم الحضارات البشرية في العالم وهي الحضارة الفرعونية، وشهدت مصر في تاريخها الطويل أحداث هامة منها الاحتلال الأجنبي لها الذ ي لم يستطع تغيير المصريين مثل الحيثيين والهكسوس والفرس والروم حتى فتح عمرو بن العاص مصر ودخلها بالإسلام فأصبحت اللغة العربية اللغة الرسمية والإسلام دين الأغلبية العظمى منذ سنة، ولم يؤثر على ذلك أي احتلال الذي كان آخره الاحتلال البريطاني واستقلت مصر عنه في فبراير ١٩٢٨ م، وقامت ثورة ٢٣ يوليو ١٩٥٢ م لتقضي على الملكية والاستعمار في وقت واحد."
"Einfuchlung","التغلغل","مصطلح يشير إلى القدرة على النفاذ إلى أعماق الأحداث وتفسيرها من داخلها، وتفسير أسبابها ومسبباتها."
"Elections","الانتخابات","هي المظهر الرئيسي للمشاركة السياسية من قبل الشعب لاختيار ممثليهم في المجالس المختلفة عن طريق التصويت، وهي الطريقة الوحيدة لتنفيذ الديمقراطية الليبرالية التمثيلية في ظل تزايد أعداد السكان وعدم إمكانية تطبيق الاجتماع الكامل لأفراد الشعب. ومنها: الانتخابات الدائمة Maintaining Elections وتقوم الانتخابات على فكرة الأصوات الع ادية Normal Vote ، وهي التي يفوز بها الحزب الذي يحصل على أكبر عدد من الأصوات العادية."
"Electorate","الهيئة الانتخابية","وهي عبارة عن تجمع الناخبين الذين لهم حق الإدلاء بأصواتهم في الانتخابات والذين لهم القدرة على اختيار ممثليهم بكل حرية."
"Electronic Mail","البريد الا لكتروني","هو مصطلح وصفي يدل على تنامي القدرة على تبادل المعلومات بكل أنواعها إليكترونيا ً عبر أجهزة الحاسب المرتبطة بشبكات، وكل فرد له عنوانه الاليكتروني الخاص الذي يمكنه استقبال الرسائل والمعلومات المختلفة وإرسال مايريد عبر موقعه."
"Elite Theory","نظرية النخبة أو الصفوة","وهي نظرية النخبة أو الصفوة، وتعلن انقسام المجتمع إلى شريحتين حكام ومحكومين: الحكام أقلية يستأثرون بالسلطة والقوة السياسية والمحكومين أغلبية لا تشارك ولا تؤثر في عملية صنع القرار داخل المج تمع وعليها السمع والطاعة، ومن رواد النظرية: موسكا وباريتو وروبرت مشلز وبرنهام ورايت ميلز.."
"Emanicipation","الرغبة في التحرر","وهو مصطلح يدل عل ى رغبة الشعوب المستعمرة والمستعبدة من قبل دول أخرى للتحرر من سيطرتهم، وهو مقدمة لنمو القومية، مثلما حدث في دول القارة الأفريقية وكذلك أهل المجر عام ١٨٤٨ الذين كانوا عبيدا لأمبراطور النمسا."
"Enclosed And Semi-Enclosed Seas","البحار المغلقة وشبه المغلقة","البحار المغلقة هي البحار التي تكون محاطة كليا ً باليابسة من جميع الجهات دون أن يكون لها منفذ إتصال مع البحر أو المحيط مثل بحر قزوين وبحر آرال في آسيا والبحر الميت في الشام، أما البحار شبه المغلقة فهي البحار التي تحاط باليابسة من كل الجهات ولكنها لها اتصال بالمحيطات أو البحار بممر ملاحي طبيعي مثل البحر الأسود وبحر البلطيق والبحر الأبيض في أوربا وبحر اليابان في آسيا الخ..."
"Encryption Information","تعمية المعلومات","وهي عملية تستخدم للمحافظة على سرية المعلومات عبر الأنترنت وتحول دون الكشف عن محتواها، وهو أسلوب قديم في تورية المعلومات وحجبها للمحافظة على سريتها."
"Enemity","عداء","هو آخر مراحل الصراع السياسي بين دولتين أو مجموعة من الدول، والعداء هو المقدمة الطبيعية للمواجهة العسكرية السافرة والمريرة بحيث تؤدي الحرب إلى تفاقم العداء."
"Enforcement Meachanism","قوة ردع عنيفة","و هي اجراءات انتقامية عنيفة تلجأ إليها بعض الدول من أجل إرهاب الآخرين أو إنذارهم بعدم استخدام القوة ضدها وإلا ستكون الاجراءات الانتقامية منهم في غاية القوة."
"Enlightenment","التنوير)) التوعية (","التنوير مصطلح حديث نسبيا في المجتمعات خلال القرن العشرين، وهو اتجاه اجتماعي سياسي ظهر في ألمانيا في القرن الثامن عشر يحاول مقتنعوه إصلاح نواحي النقص في المجتمع بتغيير سلوكه وسياساته وأسلوب حياته بنشر مباديء الخير والعدل والمعرفة."
"Enlightenment","التوعية","أنظر: التنوير"
"Envirnment","البيئة","البيئة هي المكان الذي يعيش فيه الإنسان وتتكون من التربة والماء والهواء والبشر، أي هي محيط الإنسان الحيوى."
"Epuration","التطهير السياسي","التطهير السياسي يعني التصرف الحاد بما يؤدي إلى إزالة المنافس السياسي، وهذه الإزالة أو الإبعاد الجبري للخصم ظاهرة شيوعية وديكتاتورية تطبق على المعارضة، وقد تكون بالتصفية الجسدية، وقد تكون بإصدار التشريعات لفقدان الخصوم الحقوق السياسية والمدنية ومصادرة آرائهم وكتبهم وممتلكاتهم."
"Equnilbrium","التوازن","يعني أن هناك علاقة متبادلة قوية بين مكونات النظام، بمعنى أن كل تغير يلحق بعنصر معين فإن تغيرات مصاحبة تحدث للعناصر الأخرى، ولا يحدث اختلال لتوازن النسق."
"Esquipulas ٢","اتفاقيةاسكيبولاس الثانية","وهي اتفاقية تم توقيعها في ٧ أغسطس عام ١٩٨٧ م بين خمس دول في أمريكا الوسطى هي كوستاريكا وجواتيمالا وهندوراس والسلفادور ونيكاراجواو، بموجبها تلتزم هذه الدول بالبدء بعملية تحول ديمقراطي وحوار وطني ووقف الصراعات المسلحة وإجراء انتخابات حرة بها، ووافق مجلس الأمن على تشكيل) مجموعة مراقبي الأمم المتحدة في أمريكا الوسطى ONUCA(لمراقبة تنفيذ الجوانب العسكرية للاتفاقية."
"Estuary","لسان","هو وادي في مصب نهر يلتقي عنده ماء النهر العذب مع ماء البحر، ويكون عادة على شكل مثلس قاعدته صغيرة وضلعاه طويلان."
"Et Cetera","قاعدة إلى آخره قاعدة إلى آخره الخالخ)..(..","هي عبارة تضاف إلى جميع قواعد السلوك الاجتماعي لتعني شيئا ً يشبهه) إلا في الحالات المعقولة (، وهي من القواعد الضمنية المسلم بها في معظم جوانب حياتنا."
"Etatism","الدوللة","مصطلح يقصد به التركيز على الدولة وتقديسها وجعلها محور النشاط السياسي والاقتصادي والاجتماعي، وتعلن هذه الأفكار أن الدولة هي الهدف النهائي، وهو هدف ضد القومية."
"Ethical Codes","المواثيق الأخلاقية","و هي مواثيق للحفاظ على آداب وإنسانية المهن المختلفة لعدم إفشاء أسرارها، ويلتزم المسؤ ولون بأداء قسم للحفاظ على الأمانة والأخلاقيات في المهنة، أي أخلاقيات العمل العام، مثل الأطباء والمحامين والصحفيين والوزراء وقادة الرأي وخلافهم."
"Ethics","الأخلاق","وهو تعبير عن قيم المجتمع ومثالياته، أي أنماط السلوك والغايات المطلوبة ويحاول فحصها بطريقة نقدية لاختبار صحتها، مما يؤد ي في النهاية لصياغة قيم جديدة."
"Ethnocentrism","التحيز العنصري","وهو أسلوب البارتهايد، أي التفرقة بين البشر بسبب لونهم أو طبقتهم أو دينهم وع دم منح هذه الفئات حقوقهم المختلفة، والتسلط من فئة اجتماعية ضد الفئة الأخرى، وقد يتم فصل الفئة المتحيز ضدها في منطقة معينة، وعندئذ تسمى التفرقة العنصرية."
"Ethnology","الأثينية","وهي علم تصنيف الأعراق والجنسيات، وهذا العلم يدرس المظاهر المادية والثقافية لشعب من الشعوب أو مجتمع من المجتمعات أو الأقوام البدائية في مختلف الأمكنة والأزمنة، والتي تبرز نتاج الجهد الإنساني للسيطرة على البيئة الطبيعية."
"Excessive Participation","المشاركة المفرطة","وهي المشاركة الشعبية واسعة النطاق التي تعوق صنع القرار والتي تؤدي إلى إدخال تعقيدات عملية فيها واحباطات من شأنها أن تقلل من كفاءة القرار، وقد تخلق ظروفا ً تعكس الرضى أو النزاع ولا تتوافر الأبنية ولا الوسائل التيت ُسهل عملية المشاركة."
"Exclusive Rights","حقوق خالصة","الحقوق الخالصة هي حقوق الدول الشاطئية غير المشروطة في استغلال أو استثمار الثروات الكامنة في مناطق البحار الواقعة في مياهها الإقليمية، ولا يحق لدولة أخرى أن تنازعها أو تسلب منها ذلك، كما يحق للدولة الشا طئية أن تصدر التشريعات المنظمة للصيد في تلك المناطق، فلها الحقوق الكاملة والخالصة في الاستغلال لتلك المناطق."
"Executives","السلطة التنفيذية","و هي السلطة المختصة بتنفيذ القوانين والتسيير اليومي لحياة الناس في الدولة الحديثة، فهي جزء من مؤسسات الدولة وتتكون غالبا ً في الحكومات الرئاسية من الرئيس ورئيس الوزراء وفي الحكومات البرلمانية تتكون من رئيس الوزراء وحكومته، وتضم هذه السلطة مجموعتين رئيسيتين من الناس: الس ياسيون Politicians وهم يكونون الحكومات في الديمقراطيات البرلمانية، والبيروقراطييون Bureaucrats وهم يبقون في مواقعهم بشكل دائم بصرف النظر عن الحزب الحاكم."
"Existentialism","و جودية","الوجودية مذهب سياسي واجتماعي وفلسفي يؤمن به العديد من المفكرين في العالم) أنا أفكر إذت أنا موجود (، يعني تعريف الإنسان بوجوده، وهذا كل شيء، قاد الوجودية السياسية كيرجار دوروط سارتر، ويعلن أن الإنسان له مطلق الخيار في تصرفاته، والوجودق بل الجوهر، والإنسان قد يسعى للحرب فيشقى أو يسعى للسلام فيسعد."
"Factions","أجنحة سياسية","وهي اتجاهات فكرية وسياسية داخل المؤسسات السياسية لتعبر عن اتجاهات فكرية داخل المؤسسة ذاتها."
"False Consciousness","الوعي الم زيفزيف)) الفالصو (","وهو تعبير يطلق على ما يحدث في الانتخابات حيث يختار الفقراء المرشح الغني من أصحاب الياقات البيضاء نتيجة حملته الاعلامية والتي تنشر الوعي الزائف عنه مما يحول الطبقات العمالية إلى جبهته ويحصل على أصواتهم نتيجة الوعي الزائف لديهم. وهو أيضا ً عرف بأنه ي الوعي الذي ينتشر بين طبقة البروليتاريا في المجتمعات الرأسمالية، والذي يبث عن طريق البرجوازية هناك لخدمة مصالحها الاقتصادية بعيدا ً عن حقوق العمال."
"Family Relationships","العلاقات العائلية","هي العلاقات بين أفراد الأسرة الواحدة والتي تساعد على تنفيذ جوهر ول ُب عمليات التنشئة بين أفراد العائلة، وكذلك العلاقات التي تساعد أفراد الأسرة على أن يسيطروا على بعض الأنشطة المهمة، وقد تتضمن هذه العلاقات تنوعا هائلا ً للنشاط السياسي أو المبالاة Political Activity Or Apathy."
"Fascim","الفاشية","هي حركة سياسية حققت نجاحا ً في إيطالياب زعامة موسوليني، ومذهبها إقامة نظام ديكتاتوري غير برلماني يقوم على أساس تمجيد الدولة والعداء للديمقراطية والليبراليةو الاشتراكية، وشعارها) كل شيء للدولة ٠٠ لا شيء ضد الدولة ولا شيء خارج الدولة (. كما أن الفاشية لا يهمها سعادة الفرد واحترام حرياته وكرامته، بل لا يهمها سوى رفع شأن البلاد في الميدان الدولي، ونظامها السياسي يقوم على مجلس نيابي يمثل الحرف والمهن ويرسم السياسة العليا للدولة مجلس الفاشية برئاسة الزعيم."
"Fast Food","الوجبات السريعة","هي مفهوم أمريكي ساد العالم من خلال سرعة إعداد وتناول الأطعمة للتواكب مع سرعة تدفق المعلومات والسرعة في كل شيء، وهو مفهوم يعني التوافق مع الأسواق وسيادة الذوق الأمريكي في سيادة العالم من خلال الشيبسي والهامبورجر والكولا، لأن الأكل لم يعد لمجرد اللذة بل للتزود بالوقود لكي يقوم الجسد بدوره في البيزنس Business أو التسوق Shopping ، وانتشرت تلك الوجبات السريعة من خلال انتشار السلاسل العالمية لأماكن الطعام ومن أشهرها ماكدونالد وكنتاكي وغيرها."
"FBI / Federal Bureau Of Investigation","مكتب التحقيقات)) المباحث ((الفيدرالي","وهو يمثل الإدارة الأمنية على مستوي الولايات المتحدة، ويعتبر الذراع اليمني للأمن القومي الأمريكي."
