"English Sentence","Arabic Sentence"
"During the 5th European Microwave Conference, a display will be held, where numerous domestic and foreign producers will put their latest developments in materials, building components, and structures on show.","يُقَامُ خِلَالَ الْمُؤْتَمَرِ الْأُورُوبِيِّ الْخَامِسِ حَوْلَ الْمَايِكْرُووِيفِ مَعْرِضٍ حَوْلَ أَحْدَثِ التَّطَوُّرَاتِ فِي مُعَدَّاتٍ وَمَوَادٍ وَأَنْظِمَةِ الْبِنَاءِ."
"During the 3rd International Conference on the Laser and the possibilities of its use, several manufacturing firms will put their latest optical gauges on show in the conference-hall of the town hall (civic centre). This display will be open daily from 9 a.m. to 6 p.m.","خِلَالَ الْمُؤْتَمَرِ الدُّوَلِيِّ الثَّالِثِ حَوْلَ اللَّيْزَرِ وَإِمْكَانِيَّاتِ اسْتِخْدَامِهِ. سَتُقَدِّمُ الْعَدِيدَ مِنَ الشَّرِكَاتِ أَحْدَثَ أَحْهَزَةَ الْقِيَاسِ النَّظَرِيِّ، وَذَلِكَ فِي قَاعَةِ الْبَلَدِيَّةِ وَسَيَفْتَحُ الْمَعْرِضُ أَبْوَابَهُ يَوْمِيًّا مِنَ التَّاسِعَةِ صَبَاحًا وَحَتَّى السَّادِسَةِ مَسَاءً."
"For this year's annual session of the Association of Surgeons a display of both medical instruments and medical books will be held, to which all medical and biological publishers both domestic and foreign have contributed.","يُقَامُ خِلَالَ الْمُؤْتَمَرِ السِّنَوِيِّ لِلْجَمْعِيَّةِ الْجِرَاحِيَّةِ (جَمْعِيَّةُ الْجِرَاحَيْنِ) مَعْرِضٍ فِي الطَّابِقِ الْأَوَّلِ مِنْ مَبْنَى الْمُؤْتَمَرِ حَوْلَ الْمُعَدَّاتِ الْجِرَاحِيَّةِ وَمَعْرِضٍ لِلْكِتَابِ الطِّبِّ، تُشَارِكُ فِيهِ جَمِيعَ دَوْرِ نَشْرِ الْكُتُبِ الطِّبِّ وَالْبِيُولُوجِيَّةِ الْمَحَلِّيَّةِ وَالْأَجْنَبِيَّةِ."
"Firms interested in the theme of the Congress are offered the opportunity of exhibiting their products in the foyer of the conference building.","يمكن للشركات عرض منتجاتها في القاعة أثناء فترة المؤتمر."
"A special programme has been prepared for ladies accompanying participants.","يوجد بَرْنَامَج تَرْفِيبِيّ خاص بالسيدات المرافقات لأزواجهنّ."
"The Ladies' Programme at the Congress endeavors to cater for all interests.","بَرْنَامَج الْمُؤْتَمَر الخاص بالسيدات سيحاول إرضاء جميع الرغبات."
"The Preparations Committee will, as usual, be arranging an interesting and entertaining program for all those accompanying conference delegates.","إن لجنة تحضير البَرْنَامَج التَرْفِيبِيّ ستحضر مجدداً بَرْنَامَجاً هاماً ومُسَلِّياً لجميع السيدات والأشخاص المرافقين للمشاركين في المؤتمر."
"In the attempt to cater for every taste and for a wide range of interests, our Ladies' Program offers a variety of excursions and cultural events. You should make your choice in advance and enter it on the Ladies' Registration Form. In the event of a particular excursion or event being fully booked, we shall automatically transfer your booking to a tour or event of a similar nature.","لقد حضرنا عدة رحلات واحتفالات ثقافية لإرضاء العدد الأكبر من الضيوف. الرجاء تعبئة الاستمارة الخاصة بذلك. أما إذا كان عدد المشتركات في إحدى النشاطات قد اكتمل، فسنحول الطلب للرحلة التالية حسب الترتيب، والتي يكون لها طابع مماثل."
"The town offers a wide range of cultural activities. Theatres, cinemas, concerts, cabaret, and museums provide entertainment, intellectual stimulation, and relaxation.","المدينة تقدم مجموعة برامج تنقيفية وترفيهية متنوعة مثل المسارح ودور السينما والحفلات الموسيقية (كونشرتو) والمعارض والنشاطات المختلفة"
"There will be ample time for getting to know the city of Beirut and looking at nurseries, schools, universities, hospitals, theatres, galleries, museums, and sports facilities.","سيكون هناك وقت كافٍ لزيارة مدينة بيروت وما فيها من حدائق أطفال ومدارس وجامعات ومستشفيات ومسارح ومعارض ومتاحف ومؤسسات رياضية."
"The afternoon of the second day of the conference has been set aside for a walk around the town together and for personal shopping.","لقد خصصنا بعد ظهر اليوم الثاني للمؤتمر للقيام بجولة معاً في المدينة وللقيام بالتسوق وشراء احتياجاتكم."
"The rest of the day and the evening are free for you to do as you please.","أما باقي النهار والمساء فسيكون تحت تصرفكم الخاص."
"You will find a wide selection of theatre and concert tickets in the Organizing Office.","توجد بطاقات مسارح وحفلات موسيقية عديدة في مكتب تنظيم المؤتمر."
"Please order your free ticket together with tickets for other events for yourself and your guests in good time.","يمكنكم طلب بطاقات مجانية أو شراء البطاقات الأخرى لكم ولضيوفكم في الوقت المناسب."
"If you would like to take part in any other activities, please enter your name on the appropriate lists.","إذا رغبتم بالاشتراك في حفلات أخرى الرجاء تدوين أسمائكم في اللائحة الخاصة."
"Destinations of the excursions will be announced later.","إن أصداف (اتجاه) الرحلات سيعمم فيما بعد."
"A variety of excursions have been planned for the members of the working groups. Please enter your name on the appropriate list as soon as possible.","يوجد رحلات مختلفة لأعضاء لجان العمل. الرجاء تدوين أسماؤكم بأسرع وقت ممكن في القوائم المناسبة."
"At its meeting yesterday, the preparatory committees decided to include an excursion to Beit El-Dine Palace in its social program.","قررت اللجنة التحضيرية في جلسة الأمس إضافة رحلة لقصر بيت السدين في البرنامج الاجتماعي."
"Suggestions for other places to visit should be handed in at the Organizing Office. All suggestions will be considered on their merits.","الرجاء إعلام مكتب التنظيم عن رغباتكم الخاصة بالرحلات، التي قد يمكن مراعاتها حسب الظروف."
"With the assistance of the travel office here, our Organizing Committee has included an additional weekend trip in the program. Those interested should enter their names on the appropriate lists in the Organizers' Office by Wednesday, where all further details can also be obtained.","بالتعاون مع مكتب (وكالة) السياحة المحلي تمكنا من إضافة رحلة نهاية أسبوع إلى البرنامج. على الراغبين تسجيل أسماؤكم في اللوائح اللازمة في مكتب التنظيم حيث ستحصلون على تفاصيل أخرى."
"There are still a few tickets leftover for the boat trip on the lake planned for","لا يزال يوجد في مكتب السكرتاريا بطاقات لرحلة الزورق مساء غد."
"Please wear suitable clothing.","الرجاء ارتداء الملابس المناسبة."
"The participants on all the excursions are requested to bring along boots and waterproof clothing, as the weather at this time of year is known to be very changeable.","الرجاء من المشتركين في الرحلات أن يحضروا معهم حذاء (جزمة) يتناسب مع الطقس الحالي لأنه قد يكون متقلباً."
"I should like to know if I can still take part in this excursion.","أريد أن أعرف ما إذا كنت أستطيع المشاركة في هذه الرحلة؟"
"By popular request, there will also be a guided tour of the city, taking a special look at historical buildings, museums, and monuments.","بناءً على رغبة العديدين منكم سنقوم بجولة سياحية للتعرف على أهم المعالم التاريخية والمتاحف والتماثيل بمرافقة دليل سياحي."
"The outdoor exhibition is located close to the conference building on the south side of Central Park.","يقام المعرض في الهواء الطلق بالقرب من مبنى المؤتمر في الجهة الجنوبية للحديقة المركزية."
"The detailed arrangements for tomorrow's factory tours will be announced in good time.","سنعلمكم بمواعيد زيارات المصانع يوم غد في الوقت المناسب."
"We shall be shown round by the manufacture manager, Dr Stephan. 14) Receptions and Banquets","الزيارة ستتم بإشراف مدير المصنع الدكتور أسطفان."
"The dinner, announced in the program, with the lord Mayor of Casablanca and other prominent members of public life in the Kuwait capital, will be held this evening at 8 p.m.","سيقدّم في الساعة الثامنة مساء طعام العشاء، كما ورد في البرنامج. سيحضره عمدة الدار البيضاء وعدد كبير من وجهاء المجتمع العربي."
"During the conference two evenings have been set aside for an informal gathering of a few delegation","سيتخلل المؤتمر ليلتان خصصتا للتعارف بين الوفود."
"The Chairman of the Federation will give a reception at the end of the conference. Special invitations will be issued for this occasion.","سيقيم رئيس الجمعية مساء استقبالا ختاميا وسنرسل لكم دعوات خاصة."
"After the conference there will be a reception given by the Vice-Chancellor of the host university.","ستقام خلال المؤتمر حفلة استقبال عند مضيفنا البروفيسور أديسون. سنعلمكم عن المكان والزمان في حينه."
"Ladies accompanying members of the conference are welcome to attend the dinner.","ندعو بكل سرور للعشاء نساء أعضاء المؤتمر."
"All systems of Video films can be accepted for the discussion period provided that the films do not exceed 10 minutes in length. Films of longer duration will be shown in the film sessions.","يمكننا عرض جميع أنظمة أفلام الفيديو التي لا يزيد طولها على ١٠ دقائق، أما الأفلام التي يزيد طولها على ذلك فيمكن عرضها في قاعة السينما."
"This projector is suitable for the showing of video films.","يمكن لجهاز العرض هذا عرض أفلام الفيديو."
"During the Congress a closed circuit television system will be in operation, which will make it possible to follow the Congress proceedings from a number of vantage points outside the Congress hall.","أثناء فترة المؤتمر سيعمل نظام تلفزيوني داخلي ليتمكن الناس من متابعة مجرى المؤتمر في أماكن عديدة بعيدة عن القاعة."
"Lectures may be illustrated with 5 x 5 cm slides.","يمكن عرض المحاضرات على الشاشة للتوضيح إذا توفرت صورة عنها على شريحة (سلايد) ٥ على ٥ سنتيمتر."
"All slides should be clearly labeled so that the projectionist can readily determine their correct placing in the projector.","الرجاء وضع إشارة تحديد اتجاه الشرائح المصورة ليتمكن التقني من وضعها بالاتجاه الصحيح في جهاز العرض."
"An epidiascope is also available for pictures not exceeding 18 x 15 cm.","عند استعمال جهاز عرض الصور الفوتوغرافية، الرجاء أن يكون حجم الصور لا يزيد على الـ ١٨ على ١٥ سنتيمتر."
"The automatic projector is remotely controlled by a portable switch. Using this, you can adjust the focus and change the slides forwards and backwards.","عِنْدَ اسْتِعْمَالِ جِهَازِ العَرْضِ الْآلِي، يُمْكِنُ تَشْغِيلُهُ مُبَاشَرَةً مِنْ مَكَانِ الجُلُوسِ وَيُمْكِنُ أَيْضًا تَعْدِيلَ الصُّورَةِ وَتَقْدِيمِهَا أَوْ إِرْجَاعِهَا."
"Please switch on the projector and insert the first slide of this series.","الرَّجَاءُ تَشْغِيلُ الجِهَازِ وَعَرْضِ الصُّورَةِ الْأُولَى!"
"Would you correct the focus, please.","هَلْ يُمْكِنُ ضَبْطُ الصُّورَةِ بِشَكْلٍ أَفْضَلَ؟"
"Could we make the picture brighter?","هَلْ يُمْكِنُ إِضَاءَةُ الصُّورَةِ؟"
"The next slide (picture), please.","الصُّورَةُ التَّالِيَةُ مِنْ فَضْلِكَ!"
"You've put the slide in back to front (the wrong way round/backwards).","لَقَدْ وَضَعَتِ الصُّورَةُ مَعْكُوسَةً."
"The slide is upside down (the wrong way up).","الصُّورَةُ مَعْكُوسَةٌ يَجِبُ قَلْبُهَا."
"Do you prefer manual or automatic slide changing?","هَلْ تُفَضِّلُ جِهَازَ عَرْضِ يَدَوِيٍّ أَوْ آلِيٍّ؟"
"Please allow the projector to warm up before beginning to show slides.","الرَّجَاءُ تَحْمِيَةُ الجِهَازِ قَبْلَ العَرْضِ."
"Would you darken the room now, please!","الرَّجَاءُ تَعْتِيمُ القَاعَةِ!"
"Please open the shutter (lid/flap).","الرجاء فتح غطاء الجهاز!"
"Please switch on the projector.","الرجاء تشغيل الجهاز!"
"Please turn the sound on.","الرجاء تشغيل الصوت!"
"Please switch the motor on and the light off.","الرجاء تشغيل المولّد وإطفاء الإضاءة!"
"It's flickering / crackling / squeaking (screeching / creaking) / rustling / rumbling (making a noise).","يوجد هزة، رجة، ومض، طقطقة، حف، قرقعة (ضجيج)"
"The picture is flickering (jumping).","الصورة مرتّجة."
"I'm sorry; we've just lost the sound. Please bear with us for a moment while the technicians put the fault right.","نأسف لانقطاع الصوت، ولكن السقني يعمل على إزالة العطل."
"Please turn the volume down. (Make it quieter, please.)/Please turn the volume up. (Make it louder, please.)/Make it brighter, please. (Please increase the brightness.)/Make it sharper please.","الرجاء رفع/خفض الصوت. الرجاء تفتيح/ضبط الصورة"
"Please leave this picture for a while. Mark it.","الرجاء إبقاء الصورة لفترة. الرجاء وضع علامة على الصورة."
"The film is torn in several places and has to be spliced together before we can carry on. This will take only a few minutes.","الفلم مقطوع يجب أولاً لصقه قبل متابعة العرض بعد دقائق."
"This machine has been designed for 2-track or","هذا الجهاز يُسجّل ستريو"
"This device only works on (runs off) alternating current.","الجهاز يعمل على التيار الكهربائي المتناوب"
"You haven't got the right (correct) sort (type) of tape.","ليس عندك الشريط (الفيلم) المناسب."
"The tape is defective. It can't be used any more. Have you got any spare tape?","الشريط مُمَوَّج وفيه عُطب. هل لديك شريط احتياطي؟"
"This DIN-plug doesn't fit in the socket on the device.","المأخذ الكهربائي لا يناسب هذا الجهاز."
"You've got the tape on twisted.","لقد وضعت الشريط مقلوباً."
"Please take note of the green or red marking.","الرجاء الإنتباه إلى العلامة الحمراء/الخضراء!"
"The tape is sticking (jamming/getting caught).","الشريط (الفيلم) عالق في الجهاز."
"Now press the ""fast forward"" button.","اضغط الآن على زرّ اللف السريع!"
"Careful (Watch out! /Mind!) Don't touch it. I just got a shock.","إنتبه! لا تلمس هذا الجهاز. لقد لذعني التيار الكهربائي قبل قليل. (في الجهاز ماسّ كهربائي)"
"Would you wind the tape right back (rewind the tape fully)?","الرجاء لُفّ (إرجاع) الشريط (الفيلم) إلى أوله."
"Please go closer to the microphone when speaking.","الرجاء الإقتراب من الميكروفون عندما تتكلم."
"Please turn the volume down and the bass up a little.","الرجاء تخفيف الصوت."
"Check the signal lights on the control table.","الرجاء مراقبة الإشارات الضوئية على اللوحة."
"Put the headphones on now.","الرجاء وضع السماعات على الأذنين."
"Sit right forward in the booths.","الرجاء الاقتراب من الكابين (الصومعة) والجلوس."
"You can adjust the volume for (on) your headphones individually.","يمكنكم ضبط الصوت مباشرة من مقعدكم."
"First listen to the text carefully.","الرجاء الاستماع أولاً إلى النص بعناية."
"Please plug the extension lead into the socket next to the desk.","الرجاء إدخال مقبس شريط التطويل في الكهرباء قرب المكتب."
"Please take the plug out.","الرجاء سحب المقبس من الكهرباء."
"Would you step further to one side (aside) please? You're in the way of the beam.","الرجاء الابتعاد قليلاً (التنحّي جانباً) لأنك تقف أمام الضوء."
"Please pass (round) the pictures and charts.","الرجاء إعطاء الصور والرسومات لجارك."
"We're very sorry about this technical hitch.","نعتذر عن العطل الطارئ."
"If you wish to check the arrangements for the showing of your films, you should contact Dr Lens in the projection room, on the third floor. 3) Facilities For Press, Radio And Television","إذا رغبتم مراقبة تحضير عرض الفيلم، الرجاء الاتصال بالدكتور لينس في غرفة العرض بالطابق الثالث."
"It is anticipated that the press will assist in disseminating the new information.","نحن نتوقع أن تقوم الصحافة بنشر آخر المعلومات."
"The information given to the press will be blocked (is subject to a block) until 15th October.","يمنع نشر المعلومات الأولية المعطاة للصحافة حتى تاريخ ١٥ تشرين الأول (أكتوبر)."
"As the available space at the conference does not allow greater press participation, only the official news agency of the host country apart from the accredited periodicals (technical journals) has been invited.","مكان المؤتمر لا يستوعب عدد كبير من رجال الصحافة، لذلك يسمح فقط للصحف المعتمدة وممثلي وكالات أنباء الدولة المضيفة."
"As the main work of the accredited journalists according to our previous experience follows the end, of the daily meetings, the Press Office will always remain open two hours after the end of the official meetings.","العمل الرئيسي للصحفيين المفوضين حسب خبرتنا السابقة يأتي بعد الاجتماعات اليومية، لذا سيبقى مكتب الصحافة مفتوحاً بعد نهاية الاجتماعات الرسمية ولمدة ساعتين."
"On account of the highly specialized nature of the Congress theme it would seem desirable to invite only representatives of the technical press.","بسبب طبيعة المؤتمر المتخصصة إلى حد كبير من حيث المواضيع لذا سندعو فقط ممثلي الصحافة التقنية."
"Even in the preparatory phase of the Congress it should be made clear which speakers would be prepared to talk to or be interviewed by the press.","في الفترة التحضيرية للمؤتمر يجب أن نعرف من من المتكلمين مستعد لإجراء مقابلة مع الصحافة."
"We see the function of the Press Office as being not to protect us from the journalists but to inform and support them.","إننا نرى أن وظيفة مكتب الصحافة ليس صدّ الصحفيين ولكن تزويدهم بالمعلومات ومساعدتهم."
"Representatives of the press who have special requests for interviews should please inform the Press Office by 6 p.m. on Wednesday at the latest.","ممثلو الصحافة الذين لديهم رغبات بإجراء مقابلات صحافية خاصة يجب عليهم إعلام مكتب الصحافة قبل الساعة السادسة من يوم الأربعاء."
"The conference council does not plan to give any interviews to the press.","ليس مخططاً أن يجري مجلس المؤتمر مقابلات صحافية."
"The official minutes of the conference are available for inspection by all press representatives.","يمكن لممثلي الصحافة الإطلاع على المحاضر الرسمية للمؤتمر."
"Every accredited journalist will receive the exact list of speakers according to the minutes in the Press Office.","سيحصل جميع الصحفيين المفوضين على قائمة مفصلة للمتكلمين من مكتب الصحافة."
"Every day there will be a short summarizing press conference half an hour after the end of our deliberations.","سنقدم يوماً مؤتمراً صحافياً ملخصاً لنصف ساعة بعد نهاية مشاوراتنا."
"The press conference begins at three this afternoon.","سيبدأ المؤتمر الصحفي في الثالثة بعد الظهر."
"The results of the discussions will be made public at the press conference.","ستعمم في المؤتمر الصحفي نتائج المشاورات."
"Only officially registered representatives of the press may attend the press conference at the end of the meeting.","يستطيع الاشتراك في المؤتمر الصحفي الختامي فقط مندوبو الصحافة المسجلين رسمياً."
"The press conference must be extended.","يجب تمديد فترة المؤتمر الصحافي."
"A press conference is planned for the evening before the conference and at the end. Information on the interviewers can be available from the Press Office.","إنه مخطط لإجراء مؤتمر صحافي قبل المؤتمر وبعده. يمكن الاطلاع على أسماء المشتركين في المؤتمر في قسم الصحافة."
"The broadcasting corporation would like to interview you on these questions.","الإذاعة ترغب بإجراء مقابلة صحفية معكم بخصوص هذه المواضيع."
"The opening of our conference will be recorded for radio and television.","ستقوم الإذاعة والتلفزيون بتسجيل افتتاح المؤتمر."
"We'll watch a live broadcast now.","ستشاهد الآن برنامجاً حياً."
"The lectures held in the plenary session will also be transmitted to the foyer by.","المحاضرات التي تُلقى في القاعة يتم بثها فوراً في التلفزيون الموضوع في المدخل."
"What is this film about?","ماهو موضوع هذا الفيلم؟"
"Please take care to switch off your pocket receiver after use, so that the battery is not unnecessarily used up.","الرجاء إطفاء جهاز الاستقبال بعد استعماله لكي لا تُستهلك البطارية."
"The conference languages are English, German, Arabic and French.","لجنة التحضير خططت لمقابلتين مع الصحفيين. البيان الصحفي الأول سيكون ٣ أشهر قبل موعد المؤتمر. هذا الموعد مهم لتقديم المعلومات الأولية للصحافة اليومية ليتمكن الصحفيون من دراسة هذه المواد. واللقاء الثاني سيكون قبل أسبوعين من المؤتمر للتزويد بأحدث المعلومات الواردة."
"A simultaneous translation service in the four official conference languages is being organized for participants.","سنحاول أن نؤمن مقتطفات من المحاضرات والكلمات في خدمة الصحافة وسيقوم مكتب التنظيم باستنساخها (تصويرها فوتوكوبيا) وتوزيعها."
"All reports and contributions to the debates are simultaneously translated into the four conference languages.","بسبب المستوى الرفيع للمؤتمر يحتمل أن تقوم أكبر الصحف يومياً بنشر أحدث أخبار المؤتمر وبالتفصيل."
"In parallel sessions, individual speakers will be able to present contributions in the official language of their choice, in this case without simultaneous translation.","في الجلسات المتوازية، سيكون لبعض المشتركين إمكانية تقديم محاضرات في إحدى اللغات الرسمية حسب اختيارهم، هذه الحالة بدون ترجمة فورية."
"On the last day of the conference a summary will be given of the technical papers previously delivered, but without simultaneous translation.","في آخر يوم للمؤتمر سنقدم ملخصاً للمحاضرات التقنية السابقة ولكن بدون ترجمة."
"Speeches made in any of the working languages will be translated into the other three working languages.","المحاضرات التي تلقى بإحدى اللغات الرسمية ستترجم باللغات الرسمية الأخرى الثلاث."
"The English, German, French, and Arabic texts of these Statutes shall be regarded as equally authentic.","النصوص الإنكليزية والعربية والفرنسية والألمانية لهذا الدستور تُعتبر أصلية ومُلزمة."
"I should like to take advantage of this opportunity to extend a particularly warm welcome to Dr Toufik Mann from Egypt.","أريد أن أستغل الفرصة للترحيب بالدكتور توفيق من مصر."
"The deputy chairman of the session will welcome guests as they arrive, in the Organizers' Office.","مندوب (مُمَثِّل) رئيس المؤتمر يرحب بالضيوف القادمين في مكتب التنظيم."
"We are delighted that you have accepted our invitation.","نشكركم شكراً جزيلاً لتلبية دعوتنا."
"The following people will be sitting on the rostrum: The Senior Member, the President, the Vice-President, the Deputy Chairman, and a number of prominent representatives from public life.","الأشخاص الآتون سيجلسون على المنصة: العضو (الأقدم سنًا)، الرئيس ونائب الرئيس، وعُدد من الضيوف البارزين في الحياة العامة (وجهاء المجتمع)."
"The morning sessions will end at one o'clock. After a two-hour break for lunch, discussion will be held in the individual working-groups from 3 o'clock until 6 o'clock.","جلسات الصباح ستنتهي في الساعة الواحدة، تليها ساعتان لاستراحة الغداء، تتبعها مناقشات اللجان الفردية من الثالثة وحتى السادسة مساءً."
"Conference participants have come from more than 100 countries.","لقد حضر المشتركون في المؤتمر من أكثر من ١٠٠ بلد."
"A number of participants got together for an informal talk. le matin du premier jour de la séance.","اجتمع العديد من المشتركين لإجراء محادثات غير رسمية."
"Professor Saba will take (will be in/ is in) the chair./The chair will be taken by Professor Saba. The chairman is (will be) Professor Saba.","يترأس ويقود الجلسة الأستاذ سابا."
"Today's discussion will be chaired by our Vice-President, Professor Massoud.","يقود مناقشة اليوم نائب الرئيس الأستاذ مسعود."
"The chairman has been called away on urgent business and will have to be replaced for the rest of the session.","سيغيب الرئيس لسبب طارئ، وسيُتاب عنه حتى نهاية الجلسة"
"Professor Farag from Amman is standing in temporarily for the first chairman, who was suddenly taken ill.","الأستاذ فرج من عمان سينوب بشكل مؤقت عن الرئيس الأول، الذي أصيب بمرض مفاجئ."
"In the absence of the head of his delegation, he is acting as his substitute.","أثناء فترة غياب رئيس الوفد، يحل مكانه نائبه."
"Mr Williams of the Canadian delegation is unable to attend but has already nominated a proxy.","بما أن السيد وليامس من الوفد الكندي غير قادر على الاشتراك في المؤتمر فقد عين مندوباً بدلاً عنه."
"Unfortunately, Mr Saad cannot be here. His paper will be read by his colleague, Mr Bakema.","نأسف لعدم تمكن السيد سعد من الحضور، ولكن سيقرأ مساعده السيد باكاماً المحاضرة نيابة عنه."
"When the session was resumed, Professor John announced that, for reasons of health, he would have to decline the presidency.","عند استئناف الجلسة أعلن الأستاذ جون بأنه مضطر للتخلي عن منصب الرئيس لأسباب صحية."
"I congratulate you on the initiative and energy you have shown in the preparation of this important conference.","أهلكت على المبادرة والجهد الذي بذلته أثناء التحضير لهذا المؤتمر المهم."
"As you will not be able to chair the meeting next week, you will have to appoint a substitute.","بما أنك غير قادر على ترؤس الاجتماع خلال الأسبوع المقبل، يجب عليك تعيين بديل عنك."
"Finally I have to inform (tell) you that Mr Abraham, is unfortunately, ill, and his report will, therefore, have to be omitted,","أخيراً يجب أن أعلمكم بأن السيد إبراهيم ولسوء الحظ مريض، لذا ستلغى محاضرته."
"Immediately after (following on from) this meeting (discussion) there will be another session (sitting).","بعد هذا الاجتماع ستعقد جلسة ثانية."
"Anyone who wishes to speak, or has a motion, Greetings, Declarations of Agreement, or a statement for the Press, should notify the Minutes Secretary in writing.","الرجاء تقديم طلب خطي بشأن المداخلات والطلبات وكلمات الترحيب والموافقات وبيانات الصحافة لكاتب المحضر."
"Please enter your name on the attendance list.","الرجاء تسجيل أسكم في لائحة الحضور."
"After the prepared reports, the individual working groups will adjourn to hold their own discussions.","بعد انتهاء المحاضرات ستسحب فرق (لجان) العمل للتشاور."
"Only participants whose names have been submitted may take part in the discussion.","فقط الأعضاء المسجلون يمكنهم الاشتراك في المناقشة."
"For reasons of organization the number of participants must be limited so that the composition of the group may ensure an intensive discussion of the problems.","يُحِبُّ تَحْدِيدَ عَدَدِ الْمُشْتَرِكِينَ لِأَسْبَابٍ تَنْظِيمِيَّةٍ، لِأَنَّ اخْتِيَارَ الْمُشْتَرِكِينَ يُحِبُّ أَنْ يَضْمَنَ مُنَاقَشَةً مُكَلَّفَةً لِلْمَشَاكِلِ."
"Please hand in your name to the chair in good time.","الرَّجَاءُ إِعْلَامُ الرَّئِيسِ عَنْ رَغْبَتِكُمْ بِالْمُشَارَكَةِ فِي الْمُدَاخَلَاتِ وَالْمُنَاقَشَاتِ فِي الْوَقْتِ الْمُنَاسِبِ."
"Please ensure that your name is entered on the list of speakers in good time.","الرَّجَاءُ تَدْوِينُ اسْمِكُمْ فِي قَائِمَةِ الْمُتَكَلِّمِينَ فِي الْوَقْتِ الْمُنَاسِبِ."
"The time allotted to speakers has been restricted (limited) to a minimum for the sake of the discussion afterwards.","لَقَدْ حُدِّدَتْ مُدَّةُ التَّكَلُّمِ لِصَالِحِ الْمُنَاقَشَاتِ اللَّاحِقَةِ"
"On the basis of those names submitted, I should like to announce the speakers for this morning's discussion.","أَرْغَبُ بِذِكْرِ أَسَاءِ أَصْحَابِ الْمُدَاخَلَاتِ الَّتِي وَرَدَتْ هَذَا الصَّبَاحَ."
"We will call on you to speak in the exact order (You will be called upon to speak in the exact order) in which we received notification of your wish to participate.","سَنَطْلُبُ إِلَيْكُمْ السُّكَّالُ حَسَبَ وُرُودِ أَسَائِكُمْ تِبَاعًا."
"This is a very broad subject with far-reaching implications and I consider it premature to initiate a discussion without a committee report.","هَذَا الْمَوْضُوعُ وَاسِعٌ جِدًّا وَلَهُ نَوَاحٌ عَدِيدَةٌ أُخْرَى، وَأَرَى أَنَّهُ مِنَ الْمُبَكِّرِ جِدًّا الْبَدَاءَ بِمُنَاقَشَتِهِ بِدُونِ تَقْرِيرِ اللَّجْنَةِ."
"Time is running out, so I think we should begin the discussion without any further delay.","بما أنه لم يتبقَّ لنا الكثير من الوقت، أقترح البدء بالمناقشة بدون تأخير."
"So I think we should now take up the discussion (come to the discussion).","لذا أعتقد أنه يجب أن نبدأ بالمناقشة."
"The representative of Lebanon will complete the series of today's speakers.","سيكون المندوب اللبناني الأخير في قائمة المتحدثين. هذا اليوم."
"May I draw your attention now to the last paper which is concerned with the revised version of the regulations for security at factories.","اسمحوا لي أن أوجه انتباهكم بشأن المحاضرة الأخيرة ستعنى بالتعليمات الجديدة الخاصة بالأمن في المصانع."
"Allow me, in conclusion, to draw your attention to a few more points, relating to the content of the, European Symposium on Industrial Safety and the Prevention of Accidents.","اسمحوا لي أخيراً أن ألقت انتباهكم إلى بعض النقاط، المتعلقة بمحتوى حلقات الدراسة الأوروبية حول أمن العمل في المصانع وتفادي الحوادث."
"I'm afraid the time is up, but I'm sure that we shall have cause to resume this debate at a later stage of the conference.","للأسف انتهى الوقت ولكني متأكد بأنه يجب متابعة هذه المناقشة في وقت لاحق."
"Might I ask you to forward any remaining contributions to the discussion in writing, because our schedule unfortunately does not allow for any further extension of the debate.","أرجو منكم تقديم مساهماتكم خطياً لأن جدول الأعمال لا يسمح بتمديد إضافي لفترة المناقشة."
"In view of the large number of people wishing to take part in the discussion, the Executive Committee would like to propose that all those who were unable to speak should submit written contributions so that the views may be taken into consideration in tomorrow's resolutions.","بسبب كثرة المداخلات (المساهمات) تقترح إدارة المؤتمر على جميع الراغبين في التكلم تقديم مساهماتهم خطياً لرئاسة المؤتمر لأخذ آرائهم بعين الاعتبار في قرارات الغد."
"The discussion will be resumed here after a break of 30 minutes.","سنتابع المناقشة بعد استراحة لمدة ٣ دقيقة في هذه الغرفة."
"There will now be a break of two hours; which is intended for lunch.","يوجد الآن استراحة لمدة ساعتين لتناول طعام الغداء."
"That completes the first part of the session. We shall now take a break for lunch and continue our discussion at 2 o'clock.","بهذا ينتهي القسم الأول من الجلسة وسنعود إليها بعد استراحة الغداء في الساعة الثانية."
"The closing ceremony of the colloquium will not begin before 3 o'clock this afternoon","الحفلة الختامية للحلقة لن تبدأ قبل الساعة الثالثة من بعد ظهر هذا اليوم."
"The discussion will not be closed until all problems have been fully clarified. We think this will be about 5- 30 p.m.","ستنتهي المناقشة بعد توضيح جميع المسائل، ونعتقد سيكون هذا حوالي الساعة الخامسة والنصف."
"We still have a lot of business to deal with, so we'll resume our session at 2 o'clock sharp.","مازال أمامنا إنجاز العديد من الأمور، لذا سنستأنف جلستنا في الساعة الثانية تماماً."
"The time and location of the next session will be decided upon and announced sometime today.","سيتم تحديد وتعميم زمان ومكان الجلسة المقبلة في وقت ما اليوم."
