english,arabic
Abutter,المتاخم :: المشارك في نفس الحدود
Abutting,المتاخمة :: المتاخم :: المشارك في نفس الحدود :: ملاصق :: محاذ
Abuzz,بصوت كأزيز النحل
Abvolt,فرق جهد بمقدار واحد من مئة مليون فولت
Aby,يحسّن لـ :: يضيف لـ
Abye,يحسّن لـ :: يضيف لـ
Abysm,الهاوية :: بلا قاع
Abysmal,سحيق :: عميق :: لا قعر له
Abysmally,بشكل سيّئ
Abysms,الهاويات :: جهنم :: هوّة
Abyss,الهاوية :: جهنم :: هوّة
Abyssal,عميق جدّاً :: لا يقاس عمقه :: غوير
Abysses,الهاويات :: اﻷعماق السّحيقة
Abyssinia,أثيوبيا :: الحبشة
Abyssinian,الحبشيّ :: الأثيوبي
Acacia,الاكاشا - نبات
Acacine,اللّثة
Academe,المعهد :: بيئة أكاديمية
Academia,النّشاط الجامعيّ :: البيئة الأكاديميّة
Academial,أكاديمي
Academian,الشّخص الأكاديمي
Academic,الأكاديميّ :: أدبي :: جامعي :: دراسي :: مدرسي
Academical,أكاديميّ :: اللباس الجامعي
Academically,متعلّق بالحياة الأكاديميًّة :: متعلّق بالدّراسة
Academician,الأكاديميّ :: عضو هيئة دراسيّة
Academicianship,عضويّة شرفيّة في هيئة أكاديميّة
Academicism,الأكاديميّة
Academics,الحياة الأكاديميّة
Academies,الأكاديميّات :: المعاهد :: المؤسّسات العلميّة
Academy,الأكاديميّة :: مؤسسة علمية :: معهد
Acadia,المقاطعات الفرنسيّة في كندا
Acadian,المستوطنون الفرنسيون الأوائل في أكاديا
Acajou,شجرة الكاجو
Acaleph,أكاليف - نوع سمك الجيلي اللّاذع
Acalephans,أكاليف - نوع سمك الجيلي اللّاذع
Acalephs,أكاليف - نوع سمك الجيلي اللّاذع
Acanth,نبات الأقنثا
Acantha,جزء شائك حادّ
Acanthi,أكانثي
Acanthine,متعلق بـ أو يشبه نبات الأقنثا
Acanthophis,ثعابين الإلابيد الأستراليّة
Acanthosis,ورم حميد
Acanthurus,سمك الأكانثرس
Acanthus,نبات الأقنثا
Acanthuses,نبات الأقنثا
Acapulco,ميناء أكابولكو :: منتجع أكابولكو
Acari,نوع من الدّود
Acaricide,مبيد حشرات
Acarid,أكاريد - نوع من القمل
Acaridan,فصيلة الحشرات التي تضم الديدان والقمل
Acarina,الديدان والقمل
Acarine,الديدان أو القمل
Acaroid,كما الدّودة
Acarophobia,الرّهبة من الحشرات
Acarpous,غير مثمر
Acarus,أكارس - نوع من الديدان
Acates,الطّعام الشّهيّ
Acaudal,عديم الذيل
Acaudate,عديم الذيل
Acaulescent,عديم الساق
Accad,أكاد - منطقة بلاد الرّافدين القديمة
Accadian,التّعلّق بالجنس الذي عاش في بابل قبل الغزو الأشوريّ
Accede,يقبل بعمل الآخرين :: يوافق :: ينصاع
Acceded,وافق :: قبل :: إنصاع
Accedence,القبول :: الموافقة :: الإنصياع :: التلبية
Acceder,المنضمّ :: الملبّي :: الموافق
Accedes,يقبل :: يوافق :: يلبّي :: ينصاع
Acceding,القبول :: الموافقة :: الإنصياع :: التلبية
Accelerando,إيقاع متزايد تدريجيًّا للموسيقى
Accelerate,سرّع :: عجّل :: يسرّع :: يعجّل
Accelerated,أسرع :: متسارع :: مسرّع :: معجّل :: مُعجَّل
Accelerates,يسرع :: يعجّل
Accelerating,الإسراع :: العجلة
Acceleratingly,بشكل متسارع :: بعجلة
Acceleration,السّرعة :: تسريع :: إسراع :: تعجيل
Accelerative,تسارعي :: تعجّلي
Accelerator,دوّاسة البنزين :: المسرع :: مُعجِّل
Accelerators,دواسات البنزين :: المعجّلات :: المسرععات
Acceleratory,ميّال إلى زيادة السّرعة
Accelerometer,المعجل :: مقياس التسارع
Accelerometers,أجهزة لقياس التّسارع
Accend,يأجج به النار :: يتوهج :: يهيج
Accension,إشعال النار :: التّوهّج :: إشعال :: اشتعال
Accent,اللّكنة :: لهجة :: نبرة
Accented,شدّد :: أكّد :: ركّز الإنتباه
Accenting,التّشديد :: التّأكيد :: تركيز الإنتباه
Accentor,المغنّي :: عصفور مغنّي
Accents,اللّكنات
Accentual,متعلّق باللّكنات
Accentually,بصورة تتناسب مع اللّكنة
Accentuate,أبرز :: يضع :: ينبر
Accentuated,أبرز :: أظهر أهمّية الشيء
Accentuates,يبرز :: يظهر أهمّية الشيء
Accentuating,الإبراز :: إظهار أهمّيّة الشيء
Accentuation,الإبراز :: تفخيم
Accept,اقبل :: رضي :: يرضى :: يقبل
Acceptability,القبول :: الرّضا :: الإستحسان
Acceptable,مقبول :: مرض
Acceptableness,القبول :: الرّضا :: الإستحسان
Acceptably,على نحو مقبول :: بشكل مُرْضٍ
Acceptance,القبول :: التلبية :: تقبُّل :: موافقة
Acceptances,القبول :: التلبية :: تقبُّل :: موافقة
Acceptant,متقبّل :: راغب في القبول
Acceptation,الاستحسان :: حظوة :: قبول
Accepted,قبل :: مقبول :: مُعترف به :: مستحسن
Acceptedly,بشكل مقبول :: متّفق عليه :: متعارف عليه
Accepter,القابل :: المُستقبِل
Accepters,القابلون :: الموافقون
Acceptilation,التحرر من الدّين او الإرتباط :: الصّفح :: الغفران
Accepting,القبول :: الموافقة
Acceptingly,بشكل مقبول :: بصيغة القبول :: بصيغة الموافقة
Acceptingness,القبول :: الموافقة
Acception,القبول :: الإستقبال :: الإستحسان :: الحظوة
Acceptive,موافق :: متّجه نحو الموافقة
Acceptor,الموافق :: المُستحسِن :: القابل :: المُستقبِل
Acceptors,الموافقون :: المُستحسِنون :: القابلون :: المُستقبِلون
Accepts,يقبل :: يستلم :: يوافق :: يستحسن
Access,المدخل :: الوصول :: الإقتراب
Accessaries,المساعدون في إرتكاب الجريمة
Accessary,المساعد في إرتكاب الجريمة
Accessed,وصل :: حصل على طريقة للدّخول
Accesses,المداخل :: يصل الى
Accessibility,القرب :: سهولة المنال :: إمكانية الوصول
Accessible,ممكن الوصول إليه :: منفتح
Accessibleness,الوصولية
Accessibly,بشكل قريب :: بطريقة سهلة للوصول اليه
Accessing,الوصول :: الحصول على مدخل
Accession,التّبوّء :: الإضافة :: الإعتلاء :: الزيادة
Accessions,التّبوّء :: الإضافة :: الإعتلاء :: الزيادة
Accessive,إضافي :: زائد :: فائض
Accessorial,إضافيّ :: ثانوي
Accessories,الإكسسوارات :: الإضافات :: الأشياء الثّانوية
Accessory,الإكسسوار :: ثانوي :: ملحق
Accidence,علم الصّرف :: الإعراب
Accident,الحادث :: إصابة :: مصيبة :: طارئ :: مصادفة
Accidental,مفاجئ :: عرضي :: طارئ :: غير جوهري
Accidentally,بصورة غير متعمّدة :: مصادفة :: عرضاً
Accidentalness,العرضية :: المصادفة :: الغير جوهريّة
Accidently,بالصدفة :: عرضيًّا :: بطريقة غير متعمّدة
Accidents,الحوادث :: العوارض :: الإصابات :: المصائب
Accidie,البلادة :: سبات :: خامل :: كسول
Accipiter,الصّقر - نوع من الطّيور الجارحة
Accipiters,الصّقور - جمع صقر. من الطّيور الجارحة
Accipitres,الصّقور - جمع صقر. من الطّيور الجارحة
Accipitridae,النسور :: الصقور
Accismus,الرّفض المتكلّف :: تصنّع الخجل
Acclaim,يهلّل :: تصفيق :: هتاف
Acclaimed,هلّل :: صفّق :: هتف
Acclaimer,المهلّل :: المصفّق :: الهاتف
Acclaiming,التّصفيق :: الهتاف :: التهليل
Acclaims,يهلّل :: يصفّق :: يهتف
Acclamation,التّهليل :: الترحيب :: التّصفيق
Acclamations,التّهليلات :: التّرحيبات :: التّصفيقات
Acclimatation,التّكيّف :: التّأقلم :: أقلمة
Acclimate,تأقلم :: يؤقلم
Acclimated,تأقلم :: تكيّف
Acclimates,يتأقلم :: يتكيّف
Acclimating,التّأقلم :: التّكيّف
Acclimation,التّأقلم :: التّكيّف
Acclimatisation,التّكيّف :: التّأقلم
Acclimatization,التّكيّف :: التّأقلم
Acclimatize,تأقلم :: يؤقلم :: يتأقلم
Acclimatized,تأقلم :: تكيّف :: متأقلم :: متكيّف
Acclimatizer,المأقلم :: المُكيّف
Acclimatizes,يتأقلم :: يتكيّف
Acclimatizing,التّأقلم :: التّكيّف
Acclivities,طّرق ذات ميل الى الأعلى. كما الطّريق المؤدّية الى أعلى الجبل
Acclivity,ارتفاع حاد :: صعود
Acclivous,منحدر لأعلى :: متحدر صعداً :: متصعد
Accoil,يجمّع :: يجمع مع بعض
Accolade,التّقدير :: احتضان :: معانقة
Accolades,التّقديرات :: الإحتضان :: المعانقة
Accomac,مدينة أكوماك
Accommodate,استوعب :: آوى :: كيّف :: يكيف :: يلائم
Accommodated,استوعب :: آوى :: كيّف :: لائم
Accommodates,يستوعب :: يلائم :: يكيّف
Accommodating,الاستيعاب :: الملائمة :: لطيف :: مجامل
Accommodatingly,بلطف :: بمجاملة :: بتكيّف
Accommodation,المسكن :: توفيق :: ملاءمة
Accommodations,المسكن :: توفيق :: ملاءمة
Accommodative,ملائم :: مريح :: لطيف
Accommodativeness,التكييف :: الملاءمة
Accomodated,تكيّف :: لائم
Accomodates,يتكيّف :: يلائم
Accomodation,التكيّف :: التّوافق
Accompanied,صاحب :: مصحوب
Accompanier,المرافق :: المصاحب
Accompanies,يصاحب :: يرافق
Accompaniment,الموسيقى الثانوية :: تلازم :: مرافقة :: مصاحب
Accompaniments,الموسيقى الثانوية المرافقة
Accompanist,العازف المصاحب
Accompanists,العازفون المصاحبون
Accompany,صاحب :: رافق :: لازم :: يرافق :: يلازم
Accompanying,المصاحبة :: المرافقة :: الملازمة
Accompanyist,عازف الموسيقي المرافق وعادة يكون على آلة البيانو
Accomplice,الشّريك المساهم في تنفيذ عملية شرّيرة
Accomplices,الشّركاء المساهمون في تنفيذ عمليّة شرّيرة
Accomplish,أنجز :: قضى :: يتم :: ينجز
Accomplishable,محقّق :: من الممكن إنجازه :: من الممكن تنفيذه
Accomplished,بارع :: مُتمّم :: مُنجز باتقان
Accomplisher,المُنجز :: المُتمّم :: المُنفّذ
Accomplishes,ينجز
Accomplishing,الإنجاز
Accomplishment,الإنجاز
Accomplishments,الإنجازات
Accompt,الحساب، الفاتورة، المستحقات
Accord,الاتّفاق
Accordance,الموافقة
Accordances,الموافقات
Accordancy,التّوافق
Accordant,ملائم
Accordantly,بإنسجام مع
Accorded,توافق
Accorder,المتوافق
Accorders,المتوافقون
According,التّوافق
Accordingly,وفقًا لذلك
Accordion,الأكورديون
Accordions,الأكورديونات
Accordment,إتفاقية
Accords,الاتّفاقيّات
Accost,فاتح
Accosted,فاتح
Accosting,المفاتحة
Accosts,يفاتح
Accouchement,الولادة
Accoucheur,طبيب نساء و توليد
Accoucheuse,المرأة المتمرّسة في أمور الولادة
Accound,أكوند
Account,التّقرير
Accountabilities,المسؤوليات
Accountability,المسؤوليّة
Accountable,مسئول
Accountableness,المسؤولية
Accountably,بصورة قابلة للتّفسير
Accountancies,المحاسبة
Accountancy,المحاسبة
Accountant,المحاسب
Accountants,المحاسبون
Accounted,أكونتيد
Accounter,أكونتر
Accounting,المحاسبة
Accountings,المحاسبة
Accounts,التّقارير
Accouplement,الإتحاد، العلاقة الرّابطة
Accourt,يلاطف
Accouter,يجهّز
Accoutered,جهّز
Accouterment,التّجهيز
Accouterments,التّجهيزات
Accouters,المجهّزون
Accoutre,جهّز
Accoutred,جهّز
Accoutrement,الملابس التي تُحمل ولاتلبس كالمعطف الإضافي
Accoutrements,الملابس التي تُحمل ولاتلبس كالمعطف الإضافي
Accoutres,يجهّز
Accoutring,التّجهيز
Accoy,يخضع، يروّض
Accra,أكرا
Accredit,فوّض
Accreditate,اعتمد
Accreditation,الاعتماد
Accreditations,الاعتماد
Accredited,معتمد
Accrediting,التّفويض
Accredits,يفوّض
Accrescence,النّمو المستمر
Accrescent,النّمو
Accrete,ملتحم
Accretion,التّراكم
Accretionary,تراكمي
Accretions,التّراكمات
Accretive,تراكمي
Accroach,يحصل على
Accrual,التّراكم
Accruals,التّراكمات
Accrue,عد
Accrued,عاد
Accruement,التّراكم
Accruements,الأموال المتراكمة
Accrues,يعود
Accruing,العيادة
Accrument,حدوث الشيء
Accu,جمعية مبرمجي لغة السي والسي بلس بلس
Accubation,الاستلقاء على الكنبة
Acculturate,تثقّف
Acculturated,تثقّف
Acculturates,يتثقّف
Acculturating,التّثقّف
Acculturation,التّبادل الثّقافيّ
Acculturative,ثقافيّ
Accumb,يستلقي على الكنبة
Accumbent,مستلقي
Accumulate,تراكم
Accumulated,تراكم
Accumulates,يتراكم
Accumulating,التّراكم
Accumulation,التّجميع
Accumulations,التّراكمات
Accumulative,متراكم
Accumulatively,على نحو متراكم
Accumulativeness,التراكميّة
Accumulator,ذاكرة الأرقام
Accumulators,ذاكرات الأرقام
Accuracies,الدّقّة
Accuracy,الدّقّة
Accurate,دقيق
Accurately,بدقّة
Accurateness,الدّقّة
Accursed,لعين
Accursedly,على نحو لعين
Accursedness,اللعنة
Accurst,لعين
Accusable,عرضة لتلقي الإتّهام
Accusal,التّهمة
Accusation,الاتّهام
Accusations,الاتّهامات
Accusatival,منصوب
Accusative,النّصب
Accusatorial,متّهم
Accusatory,اتّهامي
Accuse,اتّهم
Accused,اتّهم
Accuser,المتّهم
Accusers,المتّهمون
Accuses,يتّهم
Accusing,اتّهاميّ
Accusingly,متّهمًا
Accusive,إتّهامي، يوجّه إتهام
Accustom,عوّد
Accustomed,مألوف
Accustomedness,التعوّد
Accustoming,التّعويد
Accustoms,يعوّد
