english,arabic
Adverb,الظّرف
Adverbial,الظّرف
Adverbially,كظرف
Adverbs,الظّروف
Adversaries,الأعداء
Adversary,العدوّ
Adverse,معادي
Adversed,عادى
Adversely,على نحو معادٍ
Adverseness,الخصومة
Adverses,يخاصم
Adversing,مخاصمة
Adversities,المشكلات
Adversity,المحنة
Advert,الإعلان
Adverted,مشار إلى
Advertence,الإهتمام
Advertencies,إهتمامات
Advertency,الإهتمام
Advertent,منتبه
Advertently,بيقظة
Adverting,الإشارة إلى
Advertise,أعلن
Advertised,أعلن
Advertisement,الإعلان
Advertisements,الإعلانات
Advertiser,المعلن
Advertisers,المعلنون
Advertises,يعلن
Advertising,الإعلان
Advertisment,إعلان
Adverts,الإعلانات
Advice,النّصيحة
Advisability,الصّحّة
Advisable,مستحسن
Advisableness,الإستحسان
Advisably,باستحسان
Advise,انصح
Advised,نصح
Advisedly,برويّة
Advisee,المنصوح
Advisees,المنصوحون
Advisement,التّفكير
Advisements,التّفكير
Adviser,المستشار
Advisers,المستشارون
Advises,ينصح
Advising,النّصح
Advisor,المستشار
Advisories,الإنذارات
Advisors,المستشارون
Advisory,استشاريّ
Advocacies,الدّفاع
Advocacy,الدّفاع
Advocate,المؤيّد
Advocated,دافع
Advocates,المؤيّدون
Advocating,الدّفاع
Advocation,التأييد
Advocative,تأييدي
Advocator,المحامي
Advocatory,دفاعي
Adz,القدّوم
Aegean,إيجي
Aegis,إيجيس
Aeneas,إينيس
Aeneid,إينييد
Aeolian,إيولايان
Aeolus,عولس
Aeon,الدّهر
Aera,إيرا
Aerate,أشبع بالغاز
Aerated,أشبع بالغاز
Aerates,يشبع بالغاز
Aerating,إشباع بالغاز
Aeration,إشباع بالغاز
Aerator,جهاز للإشباع بالهواء
Aerators,أجهزة للإشباع بالهواء
Aerger,إيرجر
Aerial,الهوائيّ
Aerialist,البهلوان
Aerially,هوائيًّا
Aerials,الهوائيّات
Aero,طيراني
Aeroacoustic,سمعيّ هوائيّ
Aerobacter,جرثوم هوائي
Aerobic,أكسجينيّ
Aerobics,التّمارين الرّياضيّة
Aerodrome,المطار
Aerodynamic,ديناميكيّ هوائيّ
Aerodynamically,بصورة ديناميكيّة هوائيّة
Aerodynamics,ديناميكا الهواء
Aerogen,بكتيريا مسببة للغاز
Aerogram,الرسالة الجويّة
Aerometer,ميزان الهواء
Aeronaut,الطّيّار
Aeronautic,طيران
Aeronautical,طيران
Aeronautically,متعلّق بالطّيران
Aeronautics,علم الطّيران
Aeronauts,الطّيّارون
Aeroplane,الطّائرة
Aeroplanes,الطّائرات
Aerosol,البخّاخة
Aerosolize,انشر
Aerosolized,نشر
Aerosols,البخّاخات
Aerospace,صناعة الفضاء
Aeschylus,إسكلس
Aesthete,الذّوّاقة
Aesthetic,جماليّ
Aesthetical,جماليّ
Aesthetically,جماليًّا
Aesthetics,علم الجمال
Afar,عن بعد
Afars,عن بعد
Affability,الودّ
Affable,اجتماعيّ
Affableness,اللطافة
Affably,بعذوبة
Affair,الشّأن
Affairs,الشّئون
Affect,أثّر
Affectation,التّكلّف
Affectations,التّكلّف
Affected,متكلّف
Affectedly,بتكلّف
Affectedness,التّأثّر
Affecter,المؤثّر
Affecting,التّأثير
Affectingly,عليّ نحو مؤثّر
Affection,المحبّة
Affectionate,حنون
Affectionately,بمودّة
Affectionateness,الحنان
Affectioned,متعلّق ب
Affections,المحبّة
Affective,عاطفيّ
Affectively,بشكل عاطفي
Affects,يؤثّر
Afferent,ناقل
Afferently,بشكل ناقل
Affiance,اخطب
Affianced,خطب
Affiances,يخطب
Affiancing,الخطبة
Affidavit,الشّهادة الموثّقة :: إقرار وتعهد مكتوب وعادة مصحوب بأيمان غليضة (أداء اليمين)
Affidavits,الشّهادات
Affiliate,الفرع
Affiliated,دمج
Affiliates,الفروع
Affiliating,الدّمج
Affiliation,الانتماء
Affiliations,الانتماءات
Affine,القريب
Affinities,التّشابهات
Affinity,الانجذاب
Affirm,تعهّد
Affirmation,التّأكيد
Affirmations,التّأكيدات
Affirmative,موافقة
Affirmatively,على نحو مثبت
Affirmatives,الإيجاب
Affirmatory,إيجابي
Affirmed,تعهّد
Affirming,التّعهّد
Affirms,يتعهّد
Affix,اللّاحقة
Affixed,ألصق
Affixes,اللّاحقات
Affixing,الإلصاق
Afflatus,الإلهام
Afflict,ابتلي
Afflicted,ابتلى
Afflicting,الابتلاء
Affliction,الألم
Afflictions,الآلام
Afflictive,مؤلم
Afflictively,بشكل مأساوي
Afflicts,يبتلي
Affluence,الغنًى
Affluent,غنيّ
Affluently,بوفرة
Afford,تحمّل
Affordable,متاح
Afforded,تحمّل
Affording,التّحمّل
Affords,يتحمّل
Afforest,شجّر
Afforestation,التّشجير
Afforested,شجّر
Afforesting,التّشجير
Affray,الشِّجار
Affreight,أجّر
Affreightment,التأجير
Affricate,الصّوت السّاكن
Affricates,الأصوات السّاكنة
Affrication,تسكين الأصوات
Affricative,مسكّن الصوت
Affright,الفزع
Affront,الإهانة
Affronted,أهان
Affronting,الإهانة
Affronts,الإهانات
Afghan,الأفغانيّ
Afghani,الأفغانيّ
Afghanis,الأفغان
Afghanistan,أفغانستان
Afghans,الأفغان
Aficionado,الهاوٍ
Aficionados,الهواة
Afield,في الميدان
Afire,مشتعلاً
Aflame,مشتعلاً
Afloat,طافيًا
Afoot,على قدم وساق
Afore,فيما مضى
Aforementioned,سالف
Aforesaid,المذكورون
Aforethought,مدبّر
Afoul,متعارض
Afraid,خائف
Afresh,من جديد
Africa,إفريقيا
African,الإفريقيّ
Africans,الأفارقة
Afrikaans,لغة جنوب أفريقيا
Afro,الأفرو
Aft,في مؤخّرة السّفينة
After,فيما بعد
Afterbirth,الحبل السّرّيّ
Afterburner,غرفة احتراق مساعدة
Afterdeck,سطح النصف الأخير من السفية
Aftereffect,أثر رجعي
Aftereffects,آثار رجعية
Afterglow,الذّكرى
Afterglows,الذّكريات
Afterheater,مسخِّن ثانوي
Afterimage,الصّورة
Afterimages,الصّور
Afterlife,الآخرة
Aftermath,النّتيجة
Aftermathes,الأثر
Aftermost,أخير
Afternoon,بعد الظّهر
Afternoons,بعد الظّهر
Afters,الحلوى
Aftershave,الكولونيا
Aftershock,التّابع
Aftershocks,التّوابع
Aftertaste,الطّعم
Afterthought,الملحق
Afterthoughts,الملاحق
Afterward,فيما بعد
Afterwards,بعد ذلك
Afterword,الكلمة الختامية
Again,ثانيةً
Against,ضدّ
Agamemnon,أجاميمنون
Agape,مندهشًا
Agar,مادّة هلاميّة طحلبيّة
Agaric,مشروم
Agarics,مشروم
Agars,المواد المثخّنة
Agate,العقيق
Agates,العقيق
Agatha,أجاثا
Agave,الأغاف
Age,العمر
Aged,كبُر
Agedly,بما يخص الكبار
Agedness,الشيخوخة
Agee,أجي
Agegroup,الجيل
Ageing,الكبر
Ageless,دائم الشّباب
Agelessly,بشكل دائم الشّباب
Agelessness,الحيويّة
Agencies,الوكالات
Agency,الوكالة
Agenda,جدول الأعمال
Agendas,جداول الأعمال
Agent,الوكيل
Agentive,وكاليّ
Agents,الوكلاء
Ager,معمّر
Agers,معمّرون
Ages,الأعمار
Aggie,زراعيّ
Aggies,زراعيّة
Agglomerate,الكتلة
Agglomerated,تجمّع
Agglomerates,الكتل
Agglomerating,التّجمّع
Agglomeration,المجموعة
Agglomerative,مائل للتجميع
Agglutinate,التصقت
Agglutinated,التصق
Agglutinates,يلتصق
Agglutinating,التصاق
Agglutination,التصاق
Agglutinative,اشتقاقيّ
Agglutinin,الملزن
Agglutinins,الملزن
Aggrandize,كبّر
Aggrandized,كبّر
Aggrandizement,التّفخيم
Aggrandizements,التّفخيم
Aggrandizes,يكبّر
Aggrandizing,التّكبير
Aggravate,صعّد
Aggravated,صعّد
Aggravates,يصعّد
Aggravating,التّصعيد
Aggravatingly,بشكل متفاقم
Aggravation,التّصعيد
Aggravations,التّصعيد
Aggregate,المجموع
Aggregated,تجمّع
Aggregately,عليّ نحو جماعيّ
Aggregateness,التّجمّعيّة
Aggregates,المجاميع
Aggregating,التّجمّع
Aggregation,التّجميع
Aggregations,التّجميع
Aggregative,إجمالي
Aggregatively,بشكل إجمالي
Aggressing,الإعتداء
Aggression,العنف
Aggressions,العنف
Aggressive,عدوانيّ
Aggressively,بعدوانيّة
Aggressiveness,العدوانيّة
Aggressor,المعتدٍ
Aggressors,المعتدونً
Aggrieve,حزّن
Aggrieved,مهموم
Aggrievedly,بظلم
Aggrieves,يحزن
Aggrieving,الإحزان
Aghast,مذهول
Agile,رشيق
Agilely,برشاقة
Agility,الرّشاقة
Aging,الكبر
Agio,العمولة
Agiotage,الصّرافة
Agitate,طالب
Agitated,طالب
Agitatedly,بارتعاش
Agitates,يطالب
Agitating,المطالبة
Agitation,الانفعال
Agitations,الثّورات
Agitative,أجيتاتيف
Agitator,المشاغب
Agitators,المشاغبون
Agleam,مضيء
Aglow,متوهّج
Agnes,أجنيس
Agnew,أجنو
Agnomen,إسم مستعار إضافي
Agnostic,الملحد
Agnosticism,الإيمان القائم على الشك :: الإنكار بوجود الله
Agnostics,الملحدون
Ago,منذ
Agog,متلهّف
Agone,رَحَلَ
Agonies,كُروب
Agonize,يناضل
Agonized,ناضل
Agonizer,مناضِل
Agonizers,مناضلون
Agonizes,يناضل
Agonizing,مُناضَلة
Agonizingly,بنِضال
Agony,الكَرْب
Agoraphobia,خوف من الأماكن المكشوفة
Agouti,الأغوطي
Agrarian,زراعيّ
Agree,اتّفق
Agreeable,مناسب
Agreeableness,القبول
Agreeably,بشكل لطيف
Agreed,اتّفق
Agreeing,الاتّفاق
Agreement,الاتّفاقيّة
Agreements,الاتّفاقيّات
Agreer,موافق
Agreers,موافقون
Agrees,يتّفق
Agri,أجري
Agribusiness,تجارة المحاصيل
Agribusinesses,تجارات المحاصيل
Agricola,أجريكولا
Agricultural,زراعيّ
Agriculturalists,المهندسون الزّراعيّون
Agriculturally,متعلّق بالزّراعة
Agriculture,الزّراعة
Agricultures,الزراعة
Agriculturist,المزارع
Agrimony,الغافث
Agronomists,المهندسون الزّراعيّون
Agronomy,علم الزّراعة
Aground,ملامس القاع
Ague,الحمّى
Agway,أجواي
Ah,آه
Aha,آها
Ahead,في المقدّمة
Ahed,عهد
Ahem,نحنحة
Ahmadabad,أحمدأباد
Ahmedabad,أحمد آباد
Ahoy,صيحة البحّارة
Aid,المعونة
Aida,عايدة
Aide,المساعد
Aided,ساعد
Aider,أيدر
Aides,المساعدون
Aiding,المساعدة
Aids,المساعدات
Aiken,أيكين
Ail,امرض
Ailanthus,الإيلنطس
Aile,أيل
Ailed,مرض
Aileen,أيلين
Aileron,المؤخّرة
Ailerons,المؤخّرات
Ailing,المرض
Ailment,المرض
Ailments,الأمراض
Ails,يمرض
Aim,الهدف
Aimed,وجّه
Aimer,الهدّاف
Aimers,الهدّافون
Aiming,التّوجيه
Aimless,بلا هدف
Aimlessly,عشوائيًّا
Aimlessness,التّشتّت
Aims,الأهداف
Ainu,فرد من الأيْنو، لغة الأيْنو، جماعة من النازحين إلى الأرخبيل الياباني
Ainus,أفراد من الأيْنو، جماعة من النازحين إلى الأرخبيل الياباني
Air,الهواء
Air-condition,مكيّف
Air-mail,البريد الجوّيّ
Air-pump,المضخّة
Air-sick,مصاب بدوار الجوّ
Airbag,المخدّة الهوائيّة
Airbags,أكياس الهواء
Airborne,صاعد في الهواء
Airbrush,البخّاخة
Airbrushed,رشّ
Airbrushes,البخّاخات
Aircraft,الطّائرة
Airdrome,المطار
Airdrop,أسقط جوّيًّا
Airdrops,يسقط جوّيًّا
Aired,تعرّض للهواء
Airedale,كلب الصّيد
Airer,جوّيّ، هيكل لتجفيف أو تهوئة الملابس
Airers,جوّيّون، هياكل لتجفيف أو تهوئة الملابس
Airfare,الثّمن
Airfield,المطار
Airfields,المطارات
Airflow,جريان الهواء
Airfoil,حامل الطّائرة
Airfoils,حملة الطّائرة
Airframe,هيكل الطائرة
Airframes,هياكل الطائرات
Airhead,الغبيّ
Airier,متجدّد الهواء
Airiest,المتجدّد الهواء
Airily,بعبث
Airiness,التّهوية
Airing,النّزهة
Airings,النّزهات
Airless,فاسد الهواء
Airlessly,بشكل خال من الهواء
Airlessness,الخواء
Airlift,نقل جوي
Airlifts,الجسرات الجوّيّة
Airline,شركة الطّيران
Airliner,الطّائرة
Airliners,الطّائرات
Airlines,شركات الطّيران
Airlock,غرفة الضّغط
Airlocks,غرف الهواء المضغوط
Airmail,البريد الجوّيّ
Airmails,البريد الجوّيّة
Airman,المساعد
Airmass,الكتلة الهوائيّة
Airmen,المساعدون
Airpark,مطار مدني
Airplane,الطّائرة
Airplanes,الطّائرات
Airplay,البثّ
Airport,المطار
Airports,المطارات
Airs,المظاهر
Airship,المنطاد
Airships,المناطيد
Airsick,مصاب بدوار الجوّ
Airsickness,دوار الجوّ
Airsicknesses,دوارات الجوّ
Airspace,المجال الجوّيّ
Airspeed,السّرعة
Airspeeds,السّرعات
Airstrip,المهبط
Airstrips,المهابط
Airtel,هاتف هوائي
Airtight,محكم السّدّ
Airtightness,إحكام الشّد
Airway,الحنجرة، ممرّ هوائي، خطّ جوّي
Airways,الحناجر، ممرّات هوائيّة، خطوط جوّيّة
Airworthiness,الصّلاحيّة
Airworthy,صالح للطّيران
Airy,متجدّد الهواء
Aisle,الممرّ
Aisles,الممرّات
Aitken,أيتكين
Ajar,مفتوح جزئيًّا
Ajax,إجاكس
Ajutage,انبوب لتصريف المياه
Ake,أك
Akers,أكيرز
Akimbo,أكيمبو
Akin,مشابه
Akron,أكرون
Ala,علاء
Alabama,ألاباما
Alabaman,فرد من ألاباما
Alabamans,أفراد من ألاباما
Alabamian,فرد من ألاباما
Alabamians,فرد من ألاباما
Alabaster,المرمر
Alacritous,مُتلهّف
Alacritously,بِلَهْفَة
Alacrity,اللّهفة
Alai,ألاي
Alameda,ألاميدا
Alamo,ألامو
Alamos,ألاموس
Alan,آلان
Alarm,الفزع
Alarmclock,المنبّه
Alarmed,مذعور
Alarmer,المنبّه
Alarming,مفزع
Alarmingly,بشكل مقلق
Alarmism,التّنبيه
Alarmist,القلق
Alarms,إنذارات الخطر
Alas,للأسف
Alaska,آلاسكا
Alb,الرّداء
Alba,ألبا
Albacore,البكورة
Albania,ألبانيا
Albanian,الألبانيّ
Albanians,الألبانيّون
Albany,ألباني
Albatross,البطروس
Albeit,ولو
Alberich,ألبيريتش
Albert,ألبرت
Alberta,ألبيرتا
Alberto,ألبيرتو
Albrecht,ألبريتشت
Albright,أولبرايت
Album,الألبوم
Albumen,البياض
Albumin,الزّلال
Albuminous,زلالي
Albums,الألبومات
Albuquerque,ألبوكيركي
Alcestis,ألسيستيس
Alchemists,الكيميائيّون
Alchemy,الكيمياء القديمة
Alcibiades,ألسيبْيادزْ - جنرال سياسي من أثينا
Alcmena,ألكمينا
Alcoa,ألكو
Alcohol,الكحول
Alcoholic,المدمن
Alcoholically,للكحول
Alcoholics,المدمنون
Alcoholism,الإدمان
Alcoholisms,إدمان الخمور
Alcohols,الكحول
Alcott,ألكوت
Alcove,تجويف، قبّة
Alcoved,مجوَّف، مقبّب
Alcoves,التّجاويف، قبب
Aldebaran,الدبران
Aldehyde,الألديهيد
Alden,ألدين
Alder,الألدر
Alderman,عضو مجلس محلّيّ
Aldermen,أعضاء مجلس محلّيّ
Aldrich,ألدريتش
Aldrin,ألدرين
Ale,البيرة
Aleatory,حظّي
Alec,أليك
Aleck,الاستعراضيّ
Alecks,أليكس
Alee,نحو جانب سفينة
Alehouse,البار
Aleph,أليف
Aler,ألر
Alert,الإنذار
Alerted,حذّر
Alerter,مُتيقّظ
Alerters,متيقّظون
Alerting,التّحذير
Alertly,بانتباه
Alertness,اليقظة
Alertnesses,اليقظة
Alerts,الإنذارات
Aleut,أليت
Alewife,الألويف
Alex,أليكس
Alexander,أليكساندر
Alexanders,أليكسانديرز
Alexandra,ألكساندرا
Alexandre,أليكساندر
Alexandria,الإسكندرية
Alexei,أليكسيي
Alexis,ألكسي
Alfa,ألفا
Alfalfa,الفلفا
Alfonso,ألفونسو
Alfred,ألفريد
Alfredo,ألفريدو
Alfresco,في الهواء الطّلق
Alga,الطّحلب
Algae,الطّحلب
Algaecide,ألجايسيد
Algal,ألجال
Algas,الطّحالب
Algebra,الجبر
Algebraic,جبريّ
Algebraically,جبريًّا
Algebras,الجبر
Algeneb,ألجِنِبْ، إسم نجم
Algenib,ألجِنِبْ، إسم نجم
Alger,ألجير
Algeria,الجزائر
Algerian,الجزائريّ
Algiers,مدينة الجزائر
Alginate,ملح ألجيني
Alginates,أملاح ألجينية
Algol,رأس الغول
Algonquin,ألجونكون
Algorism,ألجوريزم
Algorithm,القاعدة
Algorithmic,حسابيّ
Algorithmically,حسابيّاً
Algorithmize,حوّل حسابياً
Algorithms,القواعد الرياضيّة
Alhambra,الحمرا
Ali,علي
Alia,علياء
Alias,الاسم المستعار
Aliased,مسمّى استعارةً
Aliases,الأسماء المستعارة
Aliasing,التعرّج
Alibi,دليل البراءة
Alibis,أدلّة البراءة
Alice,أليس
Alicia,أليسيا
Alien,الأجنبيّ
Alienability,القابليّة للتّحوّل
Alienable,قابل للتّحويل
Alienably,تحوّلياً
Alienate,أبعد
Alienated,مغترب
Alienates,يبعد
Alienating,الإبعاد
Alienation,الاغتراب
Alienee,محوّل إليه
Alienist,الطّبيب النّفسانيّ
Alienor,المحوّل
Aliens,الأجانب
Alight,حطّ
Alighted,حطّ
Alighting,الحطّ
Align,اصطفّ
AlignDistribute,ظبطتوزيع
Aligned,اصطفّ
Aligner,أليجنر
Aligning,الاصطفاف
Alignment,التّرتيب
Alignments,الأحلاف
Aligns,يصطفّ
Alike,على حدّ سواء
Alikeness,التماثليّة
Aliment,المغذّي
Alimentary,غذائيّ
Aliments,المغذّيات
Alimonies,النّفقات
Alimony,النّفقة
Aliphatic,دهنيّ
Aliquot,تامّ القسمة
Alison,أليسون
Alistair,أليستير
Alive,حيّ
Aliveness,الحياة
Alizarin,الصّبغ الأحمر
Alkali,القلويّ
Alkaline,قلويّ
Alkalinities,القلويّ
Alkalis,القلويّات
Alkaloid,مركّب شبه قلويّ
Alkaloidal,شبه قلوي
Alkaloids,مركّبات شبه قلويّ
Alkane,هيدروكربون مُشْبَعْ
Alkene,هيدروكربون غير مُشْبَعْ
Alkyl,مستحضر هيدروكربوني مُشْبَعْ
All,الكلّ
All-purpose,متعدّد الأغراض
All-transistor,كلّ التّرانزستور
Allah,اللّه
Allan,ألان
Allay,هدّئ
Allayed,هدّأ
Allaying,التّهدئة
Allays,يهدّئ
Allegate,أليجيت
Allegation,الادّعاء
Allegations,الادّعاءات
Allege,ادّع
Allegeable,ادّعائي
Alleged,مزعوم
Allegedly,ظاهريًّا
Alleges,يدّعي
Alleghenies,سلسلة جبال اللّيجاني
Allegheny,سلسلة جبال اللّيجاني
Allegiance,الولاء
Allegiances,الولاءات
Allegiant,مخلص
Alleging,الادّعاء
Allegoric,مجازيّ
Allegorical,استعاريّ
Allegorically,استعاريًّا
Allegoricalness,الاستعاريّة
Allegories,الرّموز
Allegorizes,يستخدم المجاز
Allegorizing,يحوّل مجازياً
Allegory,الرّمز
Allegra,أليجرا
Allegretto,عاجل
Allegrettos,أعجل
Allegro,مقطوعة شديدة السّرعة، أعجل
Allegros,مقطوعات شديدة السّرعة
Allele,أليل
Alleles,جمع أليل
Alleluia,اللّه أكبر
Allemande,رقصة الأليماند، موسيقى الأليماند
Allen,ألين
Allendale,ألينديل
Allentown,ألين تاون
Allergens,مثيرات للحساسية
Allergic,مصاب بالحساسية
Allergies,الحساسية
Allergy,الحساسية
Alleviate,سكّنّ
Alleviated,سكّن
Alleviates,يسكّن
Alleviating,التّسكين
Alleviation,التّسكين
Alleviative,مسكّن
Alleviator,المسكّن
Alleviators,المسكّنات
Alley,الزّقاق
Alleys,الأزقّة
Alleyway,الحارة
Alleyways,الحارات
Allhallows,عيد القدّيسين
Alliance,التّحالف
Alliances,التّحالفات
Allied,تحالف
Allier,محالف
Allies,الحلفاء
Alligation,الدمج
Alligator,التّمساح
Alligatored,له مظهر التّمساح
Alligators,التّماسيح
Allis,أليس
Allison,أليسون
Alliterate,استخدم الجناس
Alliterated,استخدم الجناس
Alliterates,يستخدم الجناس
Alliterating,استخدام الجناس
Alliteration,الجناس
Alliterations,الجناس
Alliterative,متجانس
Alliteratively,بشكل فيه جناس
Allocable,قابل للتّقسيم
Allocatable,قابل للتّخصيص
Allocate,خصّص
Allocated,خصّص
Allocates,يخصّص
Allocating,التّخصيص
Allocation,الحصّة
Allocations,الحصص
Allocative,حصَصيّ
Allocator,محصِّص
Allocators,محصّصون
Allocution,الخطاب الرسمي :: الخطبة
Allophone,تباين النطق
Allophones,تباينات النطق
Allophonic,متباين النّطق
Allot,خصِّص
Alloted,خصَّص
Allotgarden,حديقة مخصّصة
Allotment,النّصيب
Allotments,الأنصبة
Allotropic,تآصلي
Allotropically,تآصليا
Allots,يخصّص
Allotted,مخصَّص
Allottee,صاحب الحصّة
Allotter,مخصِّص
Allotting,التّخصيص
Allow,اسمح
Allowable,مسموح
Allowableness,قبوليّة السّماح
Allowably,بشكل مسموح
Allowance,العلاوة
Allowanced,أعطى علاوةه
Allowances,العلاوات
Allowancing,الإعطاء علاوة
Allowed,سمح
Allowedly,باتفاق عام
Allowing,السّماح
Allows,يسمح
Alloy,المركّب
Alloyed,سبك
Alloying,السّبك
Alloys,المركّبات
Allspice,البهارات
Allude,يلمح
Alluded,ملمّح
Alludes,يلمّح
Alluding,التلميح
Allure,الجاذبيّة
Allured,أغرى
Allurement,الإغراء
Allures,الجاذبيّ
Alluring,حالم
Alluringly,بصورة جذّابة
Alluringness,مستوى الجاذبية
Allusion,التّلميح
Allusions,التّلميحات
Allusive,ملمّح
Allusively,بشكل ملمّح
Allusiveness,التّلميح
Alluvial,رسوبيّ
Alluvium,الطّمي
Ally,الحليف
Allying,التّحالف
Allyl,أليلي
Allyn,ألين
Alma,ألمى
Almaden,ألمادين
Almagest,المجسط
Almanac,التّقويم
Almanacs,التّقاويم
Almightily,بقُدرة
Almightiness,القدرة
Almighty,هائل
Almond,اللّوز
Almonds,اللّوز
Almoner,الإخصائيّ الاجتماعيّ
Almost,تقريبًا
Alms,الصّدقات
Almshouse,بيت الفقراء
Almshouses,بيوت الفقراء
Almsman,الفقير
Alnico,ألنيكو
Aloe,الألوة
Aloes,الصبر
Aloft,عاليًا
Aloha,ألوها
Alon,ألون
Alone,وحيدًا
Aloneness,والحدة
Along,إلى الأمام
Alongshore,بمحاذاة الشّاطئ
Alongside,جانبيًّا
Aloof,بعيدًا
Aloofly,بعيدًا
Aloofness,الانطواء
Aloud,بصوت عالي
Alp,الجبل
Alpenstock,عصا التّسلّق
Alpert,ألبرت
Alpha,الألفا
Alphabet,الألفباء
Alphabetic,أبجديّ
Alphabetic-numeric,العدد الأبجديّ
Alphabetical,أبجديّ
Alphabetically,أبجديًّا
Alphabetics,الحروف الأبجدية
Alphabetization,الأبجديّة
Alphabetize,رتّب أبجديًّا
Alphabetized,رتّب أبجديًّا
Alphabetizer,مرتّب أبجدي
Alphabetizers,مرتّبات أبجديّة
Alphabetizes,يرتّب أبجديًّا
Alphabetizing,ترتيب أبجديًّا
Alphabets,الألفباء
Alphameric,حرفي رقمي
Alphanumeric,هجائيّ عدديّ
Alphanumerical,حرفيّ رقميّ
Alphanumerics,هجائيّات عددية
Alpheratz,ألفيراتس
Alphonse,ألفونس
Alpine,جبليّ
Alpinist,متسلّق الألب
Alps,الجبال
Already,بالفعل
Alright,حسنًا
Alsatian,الألزاسي
Alsatians,الألزاسي
Also,أيضًا
Alsop,أُلسُب
Alt,ألت
Altair,نسر
Altar,المذبح
Altarpiece,اللّوحة
Altars,المذابح
Alter,تغيّر
Alterability,التعديل
Alterable,قابل للتّغيير
Alterableness,قابليّة التّغيّر
Alterably,بتغيّر
Alteration,التّغيير
Alterations,التّغييرات
Alterationtime,وقت التغيّر
Altercate,تشاحنّ
Altercated,تشاحن
Altercates,يتشاحن
Altercating,التّشاحن
Altercation,المشاجرة
Altercations,المشاجرات
Altered,تغيّر
Alterer,مغيّر
Alterers,مغيّرون
Altering,التّغيّر
Alterman,الرّجل البديل
Altern,بديل
Alternate,تناوب
Alternated,تناوب
Alternately,بالتّناوب
Alternates,يتناوب
Alternating,التّناوب
Alternation,التّناوب
Alternations,التّناوبات
Alternative,البديل
Alternatively,كبديل
Alternativeness,التبادليّة
Alternatives,البدائل
Alternator,المولّد
Alternators,المولّدات
Alters,يتغيّر
Althea,ألثي
Altho,بالرّغم من أنّ
Although,بالرّغم من أنّ
Altimeter,مقياس الارتفاع
Altimeters,مقاييس الارتفاع
Altitude,الارتفاع
Altitudes,الارتفاعات
Alto,الألتو
Altogether,كلّيًّا
Alton,ألتون
Altos,الألتو
Altruism,الإيثار
Altruist,المؤثر
Altruistic,مؤثر
Altruistically,بإيثار
Altruists,المؤثرون
Alum,الخرّيج
Alumina,أكسيد ألومنيوم
Aluminate,ألومينات
Aluminium,الألومنيوم
Aluminum,الألومنيوم
Aluminums,الألمنيوم
Alumna,الخرّيجة
Alumnae,ألمنا
Alumni,الخرّيجون
Alumnus,الخرّيج
Alundum,مصهور أكسيد الألومنيوم
Alva,ألفا
Alvarez,ألفاريز
Alveolar,الصّوت السّاكن
Alveolarly,ألفيولارلي
Alveoli,ألفيولي
Alveolus,التّجويف
Alvin,ألفين
Alway,ألواي
Always,دائمًا
Alyssa,أليسا
Alyssum,الآلوسن
Am,هل
Amadeus,أماديس
Amah,أماه
Amain,بكلّ قوّة
Amalgam,المزيج
Amalgamate,اندمج
Amalgamated,اندمج
Amalgamates,يندمج
Amalgamating,الاندماج
Amalgamation,الدّمج
Amalgamations,الدّمج
Amalgamative,إندماجي
Amalgams,الأمزجة
Amanda,أماندا
Amanita,الأمانيت
Amanuensis,الكاتب
Amaranth,نبتة لا تذبل
Amarillo,أماريلو
Amaryllis,الأمارلس
Amass,كدّس
Amassed,تكدّس
Amasser,مكدّس
Amasses,يتكدّس
Amassing,التّكدّس
Amateur,الهاوٍ
Amateurish,رديء
Amateurishly,بشكل رديء
Amateurishness,الرّداءة
Amateurism,الهواية
Amateurs,الهواة
Amatory,غراميّ
Amaze,أذهل
Amazed,أذهل
Amazedly,بشكل مندهش
Amazement,الذّهول
Amazer,مذهل
Amazers,مذهلون
Amazes,يذهل
Amazing,رائع
Amazingly,بشكلٍ مذهل
Amazon,المرأة القويّة
Amazons,النّساء القويّة
Ambassador,السّفير
Ambassadors,السّفراء
Ambassadorship,منصب السّفير
Ambassadorships,مناصب السّفير
Ambassadress,لزوجة سفير
Amber,الكهرمان
Ambergris,العنبر
Ambers,الكهرمانات
Ambiance,الجوّ
Ambiances,البيئات
Ambidexterity,البراعة
Ambidextrous,ماهر يدويًّا
Ambidextrously,بطريقة ماهرة
Ambience,الجوّ
Ambiences,الأجواء
Ambient,امبيانت
Ambiguities,الغموض
Ambiguity,اللّبس
Ambiguous,ملتبس
Ambiguously,على نحو ملتبس
Ambiguousness,التباس
Ambit,النّطاق
Ambition,الطّموح
Ambitions,الطّموحات
Ambitious,طموح
Ambitiously,بشكل طموح
Ambitiousness,الطّموح
Ambivalence,الازدواجيّة
Ambivalent,منقسم
Ambivalently,بشكل متناقض
Amble,التّمهّل
Ambled,تمشّى
Ambler,المتمهّل
Ambles,التّمهّل
Ambling,التّمشّي
Ambrose,أمبروز
Ambrosia,الطّعام الشّهيّ
Ambrosial,لذيذ
Ambrosially,بمنتهى اللذة
Ambrosian,بمنتهى اللذة
Ambrosias,الأطعمة اللذيذة
Ambulance,سيّارة الإسعاف
Ambulances,سيّارات الإسعاف
Ambulant,متنقّل
Ambulate,تجوّل
Ambulated,تجوّل
