"English Term","Arabic Term"
"Extra","توسيع - توسعة . سد"
"Extract","زائد . إضافي"
"Extraction","ملخص . اقتباس"
"Extractor","استخلاص . اقتباس"
"Facility","مرفق . وسيلة . تسهيل"
"Facsimile","جهاز ارسال الصور والمخططات"
"Factor","أس . عامل . معامل"
"Fallout","انصراف . غبار ذرى"
"Fallout","شكل الغبار الذرى"
"Fallout Pattern","هيئة الغبار الذرى"
"Feature , Terrain","الهيئات الطبيعية"
"Feint","خدعة . حبلة"
"Feint Attack","هجوم مضادع"
"Field Army","جيش الميدان"
"Field Army Artillery","مدفعية الميدان"
"Field Army Direct Support Weapons","أسلحة مدفعية الميدان للأسناد المباشر"
"Field Artillery General Support Weapons","أسلحة مدفعية الميدان للأسناد العام"
"Field Artillery Observer","ملاحظ مدفعية الميدان"
"Field Artillery Observer Survery","مساحة لمدفعية الميدان . المسح لمدفعية الميدان"
"Field Control","ضبط مسحي (للخرائط والأرض)"
"Field Exercise","تمرين ميداني"
"Field Exercise Expedients","وسائل الميدان المبتكرة"
"Field Exercise Hospital","مستشفى الميدان"
"Field Exercise Maintenance","صيانة الميدان"
"Field Medical Card","بطاقة طبية ميدانية"
"Field Medical Card Record","سجل طبي ميداني"
"Field Medical Card Mess","مطعم ميدان"
"Field Medical Card of Fire","مجال الرمي . حقل الرماية"
"Field Medical Card Ration","أعاشة ميدان"
"Field Medical Card Sanitation","وقاية صحية ميدانية"
"Field Medical Card Service Regulations","أنظمة الخدمات الميدانية / أنظمة خدمات الميدان"
"Field Medical Card Supply","تمرين الميدان"
"Field Medical Card Train","قافلة ميدان"
"Field Medical Card Wire","سلك ميدان"
"Final Bomb Release Line","خط القصف النهائي ( طائرات )"
"Final Bomb Release Line Objective","الهدف النهائي"
"Final Bomb Release Line Protective Line","خط الحماية النهائي"
"Final Bomb Release Line Defensive Fire","النيران الدفاعية النهائية"
"Finance Officer","الضابط المالي - ضابط المحاسبة"
"Fire","نيران - رماية - ارم - ارم - ارم - ارم - ارم - ارم - ارم - ارم - ارم - ارم - ارم - ارم - ارم - ارم - ارم - ارم - ارم - ارم - ارم - ارم - ارم - ارم - ارم - ارم - ارم - ارم - ارم - ارم - ارم - ارم - ارم - ارم - ارم"
"Fire Distribution","توزيع النيران"
"Fire & Maneuver","النيران والمناورة"
"Fireball","كره نارية"
"Fire Bombs","قنابل حريق - قنابل حارقة"
"Fire Bombs Control","السيطرة على الرمي - السيطرة على النيران"
"Fire Bombs Equipment","معدات السيطرة على النيران أو الرمي"
"Fire Bombs Radar","إنذار مراقبة النيران"
"Fire Bombs System","جهاز مراقبة النيران"
"Fire Bombs Coordination","تنسيق النيران"
"Fire Bombs Line","خط تنسيق النيران"
"Fire Bombs Direction","توجيه النيران"
"Fire Bombs Center","مركز توجيه النيران"
"Fire Bombs Net","شبكة توجيه النيران"
"Fire Bombs Discipline","ضبط للنيران - الحري"
"Fire , Enterdiction","نيران تحريم"
"Fire , Enterdiction Fight","قتال بالنيران - تراشق بالنيران"
"Fire , Enterdiction For Adjustment","نيران تضبط - رمي تضبط"
"Fire , Enterdiction Effect","رمي للتأثير"
"Fire , Enterdiction , Flanking","نيران جانبية"
"Fire , Enterdiction , Frontal","نيران امامية - نيران جبهة"
"Fire , Enterdiction , Grazing","نيران حاصدة"
"Fire , Enterdiction , Harassing","نيران ازعاج"
"Fire , Enterdiction Lane","ممر نيران"
"Fire , Enterdiction Message","رسالة طلب نيران - رسالة طلب رمي"
"# Fire Mission","مهمة رمي"
"# Fire Mission Plan","خطة النيران"
"# Fire Mission Power","قوة النيران"
"# Fire Mission Umbrella","مظلة نارية"
"# Fire Mission Superiority","تفوق بالنيران - تفوق النيران"
"# Fire Mission Support","الاسناد بالنيران"
"# Fire Mission Area","منطقة الاسناد بالنيران"
"# Fire Mission Coordination Center","مركز تنسيق الساندة بالنيران"
"# Fire Support Coordination Line","خط تنسيق الساندة بالنيران"
"# Fire Support Coordination Line Group","مجموعة الاسناد بالنيران"
"# Fire Support Coordination Line Plan","خطة الاسناد بالنيران"
"# Fire Support Coordination Line Sector","قطاع الاسناد بالنيران"
"# Fire Support Coordination Line Task","واجب رعاية"
"# Fire Support Coordination Line Trench","خندق رمي"
"# Fire Support Coordination Line Unit","وحدة نيران"
"# Fire Support Coordination Line Aralyzer","جهاز تحليل وحدة الرمي"
"# Firing Battery","بطارية الرمي"
"# Firing Battery Chart","لوحة الرمي"
"# Firing Battery Data","بيانات الرماية - معطيات الرمي"
"# Firing Battery Device","اداة اطلاق النيران"
"# Firing Battery Pin","القادح - ابرة الرمي"
"# Firing Battery Position","موقع الرمي"
"# Firing Battery Table","جدول الرماية"
"# First Aid","اسماف اولي"
"# First Aid Call","نداء اولي"
"# First Aid Light","اول ضوء"
"# First Aid Strike","الضربة الاولى"
"# Fiscal Year","السنة المالية"
"# Fixed Ammunition","ذخيرة متصلة"
"# Flame Thrower","قاذف لهب"
"# Flank Guard","حرس جانبي"
"# Flanking Attack","هجوم جانبي"
"# Flanking Attack Fire","نيران جانبية"
"Flare","سهم ضي - طلعة ضيئة"
"Flash Blindness","عن الوميض - بسبب التوهج الناتج عن التفجير النووي)"
"Flat Trajectory Fire","نيران الرمي السطح"
"Fleet","اسطول"
"Flexible","سرن"
"Flexibility","سرونة"
"Flight","طيران - رحلة جوية"
"Flight Coordination Center","مركز تنسيق الطيران"
"Flight Flan","خطة الطيران"
"Flight Ration","اعاشة طيران"
"Flight Test","اختبار طيران"
"Flight , Test","طيران تجريبي - طيران اختباري"
"Flotation","طفو - عيم"
"Flotilla","اسطول صغير"
"Fluid Situation","موقع صانع"
"Fog Oil","زيت تكوين الضباب"
"Followup Elements","العناصر اللاحقة"
"Followup Elements Supply","التموين اللاحق"
"Force","قوة"
"Forced Crossing","عبور اضطراري - عبور قهري"
"Forced Crossing March","مسير اضطراري - مسير قهري"
"Forces Rendezvous","مكان التقاء القوات - (طيران )"
"Ford","معبر - مخاضه"
"Fordable","قابل للخوض - ممكن عبوره"
"Forecast","تنبؤ - توضع"
"Forecast , Weather","تنبؤ جوي ( تنبؤ عبر حالة الطقس )"
"Foreign","خارجي - اجنبي - غريب"
"Form","شكل - عيشة - صوره - صيغة - نموذج"
"Formal Approval","موافقه رسمية - محظ"
"Formation","تشكيل - تكوين - تأليف - ترتيب - تأسيس - إيجاد"
"Formation , Approach","تشكيل الاقتراب"
"Formation , Attack","تشكيل الهجوم"
"Formation , Battle","تشكيل المعركة"
"Formation , Bombing","تشكيلة القصف"
"Formation , Close","تشكيل متقارب - تشكيل منضم"
"Formation , Column","تشكيل رتلي"
"Formation , Combat","تشكيل قتال"
"Formation , Deep","تشكيل بعمق"
"Formation , Dispersed","تشكيل منتشر"
"Formation , Drill","تشكيل تدريب"
"Formation , Echeloned","التشكيل على انساق أو مراحل - تشكيل مائل"
"Formation , Echeloned Flying","الطيران في التشكيل"
"Formation , Echeloned For Attack","تشكيل للهجوم"
"Formation , Echeloned Inspection","تشكيل للاستعراض أو التفتيش"
"Formation , Echeloned in Depth","التشكيل بعمق"
"Formation , Echeloned Line","تشكيلة حط أو نسق"
"Formation , Echeloned , Maneuver","تشكيل للمناورة"
"Formation , Echeloned , March","تشكيل أو لمسير"
"Formation , Echeloned , Successive","تشكيل متتالي - تشكيل متعاقب"
"Formation , Echeloned , Tactical","تشكيل تكتيكي"
"Fort","حصن - قلعة"
"Fortified Position","موقع"
"Forward Air Controller","موجه جوي أمامي - ( ضابط طيار لتوجيه الطائرات )"
"Forward Air Controller Area","منطقة أمامية"
"Forward Air Controller Bomb Lines","خطوط القصف الأمامية"
"Forward Air Controller Command Post","مركز قيادة أ. مي"
"Forward Air Controller Defense Area","منطقة دفاع أمامية"
"Forward Air Controller Position","موقع دفاع أمامي"
"Forward Air Controller Echelon","عنصر أمامي - وحدة متقدمة"
"Forward Air Controller Edge of the Battle Area","الحافة الأمامية لميدان المعركة"
"Forward Observer","ملاحظ امامي"
"Foxhole","حفرة فردية - خندق فردي"
"Fractional Damage","تخريب جزئي - عطب جزئي"
"Pragmentary Order","أمر مجزأ"
"Free Dropping","اسقاط حمر ( للمعدات والتبوينات )"
"Free Dropping Fall","سقوط حر ( للمظليين )"
"Free Dropping Maneuver","مناورة حرة"
"Free Dropping Net","شبكة حرة - شبكة غير مقيدة"
"Free Dropping Rocket","صاروخ غير موجهة - صاروخ حر"
"Prigate","سفينة حربية - فرقاطة"
"Front","امام - جبهه - مواجهه - مقدمه"
"Frontage","جبهه - مواجهه"
"Frontal Attack","جبن بالمواجهه"
"Frontal Attack Fire","نيران امامية"
"Puels & Lubricants","محروقات"
"Pull Command","سلطة القيادة الكاملة"
"Pull Command Step","خطوة كاملة ( ٣٠ بوصة )"
"Pull-Track","جنزير كامل"
"Punctions","أعمال - وظائف - مناصب - ممارسات"
"Future Position","الموقع المحتل"
"Puze","صمام - طبه"
"Puze Range","الصدى الزنتي للطب ( ضبط الطبه حسب الزمن المطلوب )"
"Gage","معيار - عابو - الفرجة بين قضبان الحديد"
"Gain","يروح - يكسب - كسب - غنية - تشخيم الصوت في الراديو"
"Game","لعبه - لعب"
"Game , War","مباراة حربية"
"Gap","شفرة - فجوة - سر - فراغ - تسرب - فرجة"
"Gap , To close the","يسد الشفرة"
"Gap Marker","مؤشر الشفرة والعلامة الدالة على الشفرة (المحرر المشروط بدون الخام)"
"Garrison","حامية - معسكر"
"Garrison Force","قوة الحامية"
"Gas Casualty","مصاب بالغاز"
"Gas Casualty Chamber","غرفة الغاز"
"Gas Casualty Mask","كمامة غاز - قناع واقي من الغاز"
"Gasoline","بنزين"
"Gas Persistency","استمرار فعالية الغاز"
"General Air Support","مساندة جوية عامة"
"General Air Support Cargo","حمولة عامة"
"General Air Support Court-Martial","محكمة عسكرية عليها"
"General Air Support Cryptosystem","نظام التشفير العام"
"General Air Support Depot","ستودع عام"
"General Air Support Despensary","ستوصفه عام"
"General Air Support Fund","اعتماد مالي عام"
"General Air Support Hospital","ستشفى عام"
"General Air Support Military Science Curriculum","منهج العلوم العسكرية العامة"
"General Air Support Mobilization","التعبئة العامة"
"General Air Support Reserve Stock.","المخزون الاحتياطي للتعبئة العامة"
"General Air Support Orders","أوامر عامة"
"General Air Support Outpost","نقطة خارجية عامة"
"General Air Support Reserve","احتياط عام"
"General Air Support Staff Officer","ضابط ركن عام - (على مستوى الغرفة فأعلى)"
"Grey Propaganda","دعاية لا مصدر لها"
"Grid Azimuth","الزاوية التسامية"
"Grid Azimuth Coordinates","أحداثيات تسامية"
"Grid Azimuth Declination","انحراف تسماتي"
"Grid Azimuth Junction","ملتقى الأحداثيات"
"Grid Azimuth Line","الخط الأحداثي"
"Grid Azimuth Zone","المنطقة التسامية"
"Ground Alert","تأهب أرضي - ( كون الطائرة جاهزة للأقلاع فورا )"
"Ground Control","ضبط الأرضي ( بنقاط مراقبة في المسخ الطوبوغرافي )"
"Ground Control Controlled Approach","أقتراب موجه من الأرض ( لبهبوط الطائرات بواسطة الرادار )"
"Ground Control Linkup","التقاء أرضي"
"Ground Control Observer Center","مركز الملاحظين الأرضيين"
"Ground Control Team","جماعة الملاحظين الأرضيين"
"Ground Control Position","موقع أرضي"
"Ground Control Zero","نقطة الصفر"
"Group","مجموعة"
"Group Burial","دفن جماعي"
"Guerrilla Warfare","حرب المصابات"
"Guidance","ارشاد - توجيه"
"Guided Missile","قذيفة موجهة"
"Guided Missile Propagation","بث موجه"
"Gun","مدفع"
"Gun Carriage","حاملة المدفع"
"Gun Displacement","نقل المدفع ( من مكان إلى آخر )"
"Gun Lever","عظة المدفع ( في حاضن المدفع )"
"Gunner","مدفعي"
"Gunnery","فن المدفعية"
"Gun Section","قسم المدفع"
"Gun Section Slide","مزلقة المدفع"
"Gun Section Wave","عصف المدفع"
"Half lift ( Right )","نصف اليسار : نصف اليمين ( ايعاز للدوران )"
"Half Loaded","نصف محمل - نصف معبأ"
"Half - Track Vehicle","عربة نصف مجنزرة"
"Hand Receipt","ايصال يلم باليد"
"Handle","مقبض - يد - ساعد - مدوره"
"Handle , to","يدير - يستعمل - يدير - يصرف - يلم"
"Handling","استعمال - تشغيل - ادارة - تداول"
"Harassing Fire","نيران ازعاج"
"Harbor","سرقاً - ميناء"
"Easty Crossing","عبور سريع"
"Easty Crossing Defense","دفاع سريع"
"HAWK","صاروخ هوك"
"Headquarters Battery","بطارية القيادة"
"Headquarters Battery Company","سرية القيادة"
"Headquarters Battery Detachment","مفرزة القيادة"
"Health Services","الخدمات الصحية"
"Heavy Assault Weapon","سلاح اقتحام ثقيل"
"Heavy Assault Weapon Drop","اسقاط ثقيل"
"Heavy Assault Weapon Lift Cargo","حمولة نقل ثقيلة"
"Heavy Assault Weapon Machinegun","رشاش ثقيل"
"Height of Burst","علو الانفجار"
"Helicopter Assault Force","قوة اقتحام بالطائرات العمودية"
"Helicopter Assault Force Breakup Point","نقطة تفرق الطائرات العمودية"
"H- Hour","سمت - س"
"High Altitude","ارتفاع عال"
"High Altitude Bombing","قصف على ارتفاع عال"
"High Altitude Angle Fire","رمي على زاوية مرتفعة"
"High Altitude Explosive","شديد الانفجار"
"High Altitude Priority","أسبقية من الدرجة الأولى - مطبوع"
"Highway Capability","قدرة تحمل الطرق الرئيسية"
"Highway Capability Capacity","سعة الطريق"
"Highway Capability Information Post","مركز استعلامات الطرق الرئيسية"
"Highway Capability Regulation","انظمة الطرق الرئيسية"
"Highway Capability Point","نقطة انظمة المرور على الطرق الرئيسية"
"Highway Capability Traffic Control","مراقبة حركة المرور على الطرق الرئيسية"
"Hold Fire","(إيعاز) : (مؤقتاً) : (إيعاز)"
"Holding & Reconsignment Point","نقطة تجمع وابداع النقلات"
"Holding & Reconsignment Point Attack","هجوم تثبيتي"
"Holding & Reconsignment Point Element","عنصر تثبيت"
"Holding & Reconsignment Point Force","قوة تثبيت"
"Holding & Reconsignment Point Station","محطة انتظار طبية"
"Horizontal Control Point","نقطة مراقبة أفقية (على الخرائط)"
"Hospital","مستشفى"
"Hospitalization Unit","وحدة مستشفى"
"Hospitalized Prisoners Ward","عنبر معالجة المساجين (في المستشفى)"
"Hospital Ship","سفينة مستشفى"
"Hour Angle","زاوية ساعة (مقدار دوران الأرض في ساعة ويعادل ١٥ درجة)"
"Hour Angle Method","طريقة الزاوية الساعية"
"Hestil","معادى"
"Hewitzer","مدفع هاونز"
"Hung Bomb","قنبلة عالقة (لم تسقط من الطائرة بعد محاولة قذفها) - مطبوع"
"Ice Mine","= ٥١ ="
"Identification","لغم جليد ( يوضع تحت الجليد ولا يتأثر بالماء )"
"Igniter","تعرف - تحقق أثبات تشخيصية - تمييز هوية"
"Illuminating Shell","مشعل - جهاز اشعال"
"Immediate Air Support","طلقة اضاءة"
"Immediate Air Support Re-enlistment","ساندة جوية فورية"
"Imminent Attack","اعادة تجنيد فوري"
"Impact","هجوم على وشك الجدوث / هجوم وشيك"
"Impact Action Fuze","صدم - اصطدام - تصادم"
"Impact Area","صمام طرقي - طبة طردية"
"Impact Point","منطقة الصدم"
"Impetus of the Attack","نقطة الصدم"
"Implement a Dicision, To","اندفاع الهجوم - زخم الهجوم"
"Impregrable","ينجز القرار - ينفذ القرار"
"Improvise , To","حصين - منيع - لا يغلب"
"Index Map","يستنبط - يبتكر"
"Indications ( Intelligence)","خريطة تصويرية مرقمة العناصر"
"Indicator Regulator","دلائل"
"Indirect Fire","منظم بيانات الرمي"
"Indirect Laying Position","نيران غير مباشرة"
"Individual Equipment","موقع مستور"
"Individual Equipment Medical Record","معدات فردية - تجهيزات فردية"
"Individual Equipment Reserves","سجل طبي نردي"
"Individual Equipment Table of Allwance","اعاشات الاحتياط ( لفرد واحد )"
"Induced Radiation","جدول مخصص الفرد"
"Infantry","اشعاع تأثيري"
"Infiltration","مشاء"
"Infinity Method","تسلل"
"Inflammable Cargo","طريقة اللانهاية"
"Information Activities","دوائر المعلومات - نشاطات المعلومات"
"Information Activities (Intelligence)","معلومات - \" استخبارات \""
"Information Activities Officer","ضابط المعلومات"
"Infrared Viewer","منظار بالأشعة تحت الحمراء"
"Initial Approach","اقتراب أولي"
"Initial Approach Entry Into Military Service","الالتحاق لأول مرة بالخدمة العسكرية"
"Initial Issue","الصرف الأولي"
"Initial Issue Operational Capability","الإمكانية الأولية للعملية"
"Initial Issue Point","نقطة أولية"
"Initial Issue Provisioning","تحضير المؤن الأولية"
"Initial Issue Radiation","الأشعاع الأولي"
"Initial Issue Requirements","الاحتياجات الأولية - المتطلبات الأولية"
"Initial Issue Reserves","احتياطات التموين الأولية (للعمليات البرمائية)"
"Initial Issue Source of Supply","المصدر الأساسي للتموين"
"Initial Issue Strength","الملاك الأساسي"
"In Kind","صنفا - عينا - (ليس نقدا)"
"Inoperative Time","فترة غير محتسبة - فترة غير معتبره"
"Inpatient","تحت العلاج ( مريض تحت العلاج )"
"In Process Inspection","التفتيش خلال العمل"
"In Service Life","مدى الاستخدام - طيلة الاستخدام"
"Inshore Patrol","دورية شاطئ"
"Insignia","شارة - شعار - علامة"
"Inspection","تفتيش"
"Inspection Arms","(١) تفتيش سلاح (ايعاز) - (٢) طريقة حمل السلاح للتفتيش"
"Inspector General","المفتش العام"
"Inspector General Inquiry","تحقيق - تحرى المفتش العام"
"Inspector General Inspection","تفتيش المفتش العام"
"Inspector General Report","تقرير تفتيش المفتش العام"
"Inspector General Investigation","تحقيق المفتش العام"
"Inspector General Survey","دراسة من المفتش العام"
"Installation","منشأة - مرفق - تركيب"
"Instructions","تعليمات"
"Insurgency","تمرد - عضبان - ثورة"
"Integrated Defense","دفاع موحد - دفاع متكامل"
"Integrated Defense Fire Central System","جهاز موحد لمراقبة النيران"
"Intelligence","استخبارات - معلومات بذكاء"
"Intelligence Annex","ملحق الاستخبارات"
"Intelligence Collection Plan","خطة جمع المعلومات (الاستخبارات)"
"Intelligence Estimate","تقدير الاستخبارات"
"Intelligence of the Situation","تقدير موقف الاستخبارات"
"Intelligence Process (Collection, Production & Dissemination)","مراحل الاستخبارات (جمع - انتاج ارسال المعلومات)"
"Intelligence Summary","ملخص الاستخبارات - ملخص المعلومات"
"Interception","اعتراض - التقاط - تداخل"
"Interdiction Fire","نيران تحريم"
"Interior Management","ادارة داخلية"
"Intermediate Marker (Land Mine","اشارة متوسطة - علامة متوسطة"
"Warefare)","(فيحصول الالغام)"
"Intermediate Objective","هدف متوسط"
"Intermediate Objective Scale Map","خريطة ذات مقياس رسم متوسط"
"Intermittent Stream","جدول موسمي - مجرى مائي موسمي"
"Internal Control","سيطرة داخلية - مراقبة داخلية"
"Internal Control Defense","دفاع داخلي"
"Internal Control Radiation","اشعاع داخلي - اشعاع محلي"
"Internal Control Review","مراجعة داخلية (للحسابات)"
"Internal Control Security","أمن داخلي"
"Interned","اعتقل"
"Internee","محتفل - محجوز"
"Internment Camp","معسكر اعتقال"
"Intersection","تقاطع"
"Intersection , Graphic","تقاطع بياني"
"Interval","فاصل"
"Inventory Contral Point","نقطة مراقبة الجرد"
"Irregular Forces","قوات غير نظامية"
"Irregular Forces Warfare","حرب غير نظامية ( حرب عصابات )"
"Irregularity","عدم انتظام - عدم النظام - عدم التناسق"
"Joint Strategic Objectives Plan الخطة المشتركة للأعداف الاستراتيجية Zone ( air, land & Sea ) منطقة مشتركة ( منطقة تسع للقوات الجوية","والحرية والبحرية بالعمل في آن واحد )"
"Keep , To","يحافظ على الساعات"
"Keep , To Distances , To","يحافظ على التشكيل"
"Keep , To Formation , To","يبقى في الاحتياط"
"Keep , To in Reserve , To","يحافظ على الاتصال"
"Keep , To Contact , To","يستمر - يداوم"
"Keep , To Going , To","منطقة هامة - منطقة رئيسية"
"Key Area","مادة هامة - صنف حيوي"
"Key Area Item","مفتاح الشيفرة"
"Key Area List","رجل اختصاصي ، رجل ماهر"
"Key Area Man","الأفراد الرئيسيين ، أو المهاجمين"
"Key Area Personnel","نقطة حيوية - أو هامة"
"Key Point","موقع حيوي أو هام"
"Key Point Position","أرض حيوية أو هامة"
"Key Point Terrain","مدينة رئيسية أو هامة"
"Key Point Town","قتيل معركة - قتل في المعركة"
"Killed in Action","احتمال القتل"
"Kill Probability","أرض قتل"
"Killing Ground","حقيبة - عدة - لوازم"
"Kit","جمعية ذخيرة"
"Kit , Ammunition","لوازم أو أدوات التنظيف"
"Kit , Cleaning","لوازم أو تجهيزات الميدان"
"Kit , Field","حقيبة أدوات - حقيبة عدة"
"Kit , Tool","مطبخ ميدان"
"Kitchen , Field","عربة مطبخ"
"Kitchen , Field Truck","زر - مقبض - مفتاح ، أكره"
"Knob","مفتاح التوليف"
"Knob , Tuning","عقده - ميل بحري - مطبوع"
"Lable","بطاقة - علامة - رقعة"
"Labled Cargo","شحنات معلمة - شحنات مرسومة"
"Laboratory","مخبر - مختبر - معمل"
"Labor Service Unit","وحدة عمّال"
"Landing Aids","مساعدات الهبوط - ( طائرات )"
"Landing Area","منطقة الهبوط - منطقة الأنتزال"
"Landing Attack","عجم بالأنتزال ( من القوارب أو الطائرات )"
"Landing Craft","زورق انتزال"
"Landing Craft Diagram","مخطط انتزال ( مخطط يوضح حركة السفن نحو الشاطئ )"
"Landing Craft Mark","علامة الهبوط"
"Landing Craft Force","قوة الأنتزال"
"Landing Craft Schedule","جدول الأنتزال ( عمليات برمائية )"
"Landing Craft Wave","موجة الأنتزال ( عمليات برمائية )"
"Landing Craft Zone","منطقة الهبوط أو الأنتزال"
"Lane","مر - طريق - مر بحري أو طريق ملاحمة"
"Large Scale Map","خريطة ذات مقياس رسم كبير"
"Lateral Communications","اتصالات أو مواصلات جانبية"
"Launch , To","يتدف - يطلق - ينزل إلى البحر - يشن"
"Launch , To an Attack, To","يشن هجوما"
"Launcher","جهاز إطلاق - تاذف"
"Launching Area","منطقة الأطلاق ( صواريخ )"
"Lay","يضع - يلقي - يفرس ( ضريبة ) يسد ( سلاح )"
"Lay a Cable , To","يسد كابل - يلقي كابل"
"Lay a Case Before Court , To","يرفع قضية للمحكمة"
"Lay a Gun , To","يوجه المدفع"
"Lay a Mine , To","يزرع لفما"
"Lay an Ambush , To","ينصب كمينا - ينصب نفخا"
"Lay Out , To","يحفظ - يرتب - يرم"
"Layer","طبقة - مطبوع"
"Lead , To","يقود - يؤدى"
"Lead","رصاص"
"Lead Aircraft","الطائرة الأمامية / الطائرة المقدمة"
"Leader","قائد - زعيم (سياسي)"
"Leader , Platoon","قائد الفصل"
"Leadership","قيادة - فن القيادة"
"Leading Column","الرتل الأمامي - رتل المقدمة"
"Leading Column Unit","الوحدة الأمامية"
"Leaflet Bomb","تنبله لقذف المنشورات الدعائية"
"Leakage","تسرب - نضح - رشح"
"Leapfrog","التقدم بوثبات"
"Leave","اجازة - عطلة - رخصة"
"Legend","در (ايعاز) دليل المصطلحات - مفتاح الخريطة"
"Lensatic Compass","بوصلة عدسية"
"Letter of Instructions","خطاب تعليمات"
"Level of Strength","معدل ملاك الأفراد"
"Level , Sea","مستوى سطح البحر"
"Levels of Supply","مستويات التموين"
"Liaison Officer","ضابط ارتباط"
"Liberated Territory","اقليم محرر"
"Liberty","حربية"
"Library","مكتبة"
"License","رخصة - تصريح - زئيفة"
"Lieutenant","ملازم"
"Lieutenant , First","ملازم أول"
"Lieutenant Calenel","قائد"
"Lieutenant General","فريق ثاني"
"Life Belt","حزام النجاة"
"Life Belt Boat","قارب النجاة"
"Lifeguard","حرس انقاذ"
"Life Insurance","التأمين على الحياة"
"Lifet","مصعد - حمولة - نقله - حمل - رافعة - دفع قوة الصمود"
"Lifet , Back","الثقل على الظهر"
"Lifet Angle","زاوية الرفيع"
"Light Artillery","مدفعية خفيفة"
"Light Artillery Cruiser","طراد خفيف"
"Light Artillery Damage","عطل طفيف - تخريب طفيف"
"Light Artillery Machinegun","رشاش خفيف"
"Lighting Flare","سهم ناري مضي"
"Lightening","برق - لمعان"
"Limitations","تحديدات - حدود - قيود"
"Limited Attack","هجوم محدود الهدف"
"Limited Attack Storage","تخزين محدود الأمد - تخزين محدود الأجل"
"Limited Attack War","حرب محدودة"
"Limit of Fire","حند الري"
"Limit of Fire Velocity","حند السرعة"
"Line","خط - نسق - صنف - طريق - خيط - سلك"
"Linear Defense","دفاع عرضي"
"Line of Contact","خط الأتمال"
"Line of Contact Departure","خط البند"
"Line of Contact Drift","طريق عودة الضابين التائهين إلى الخلف"
"Line of Contact Fire","طريق الري - دما"
"Line of Contact Resistance","طريق المقاومة"
"Line of Contact Site","طريق النظر أو البصر"
"Lines of Communications","خطوط المواصلات"
"Line Up , To","يرتبني خط - يصف - يرضف"
"Line , Advanced","خط متقدم - نسق متقدم"
"Line , Advanced , Aiming","خط التسديد"
"Line , Advanced , Air","خط جزي"
"Line , Advanced , Base","خط القاعدة - خط الأساس"
"Line , Broken","خط منكر"
"Line , Broken , Burnied","= مدفون"
"Line , Broken , Contour","= كيتوري"
"Line , Broken , Dotted","= منقط . خط متقطع"
"Line , Broken , Index","= التأشير"
"Link Up","وصل - التقاء - ربط"
"Link Up Force","قوة التقاء"
"Liquid","سائل"
"List","قائمة - كشف - بيان - جدول"
"List , Promotion","قائمة الترقية"
"Listening","تصنت - تسع - استماع"
"Listening Silence","الصمت اللاسلكي (وضع الأجهزة على الاستقبال فقط)"
"Live Ammunition","ذخيرة حية"
"Loading","املا - تحميل - شحن"
"Loading Area","منطقة التحميل"
"Location","موقع - مكان - تعيين المكان"
"Logistics","الأمدادات والتموين"
"Long Life Items","اصناف طويلة الأمد - مواد طويلة الأجل"
"Long Range Radar","رادار بعيد المدى"
"Lost","مفقود - ضائع"
"Loss Estimate","تقدير الخسائر"
"Lot","حصة - قمة - نصيب - كمية - مقدار"
"Low Altitude Bombing","قصف على ارتفاع منخفض"
"Low Altitude Bombing Angle Fire","رمي بزاوية منخفضة"
"Low Altitude Bombing Oblique Photo","صورة جوية منخفضة الميل"
"Lubrication","تشحيم وتزييت"
"Magazine Area","منطقة تخزين المنحدرات والذخيرة"
"Magnetic Azimuth","الزاوية المغناطيسية"
"Magnetic Azimuth Compass","بوصلة مغناطيسية"
"Magnetic Azimuth Course","الاتجاه المغناطيسي"
"Magnetic Azimuth Declination","الانحراف المغناطيسي"
"Magnetic Azimuth Deviation","التأثير المغناطيسي"
"Magnetic Azimuth Effect","المجال المغناطيسي"
"Magnetic Azimuth Field","ابرة البوصلة المغناطيسية"
"Magnetic Azimuth Needle of Compass","الشمال المغناطيسي"
"Magnetic Azimuth North","القطب المغناطيسي"
"Magnetic Azimuth Pole","التغيير المغناطيسي"
"Magnetic Azimuth Variation","طريقة توزيع البريد"
"Mail Distribution Scheme","القسم الرئيسي"
"Main Body","المجهود الرئيسي"
"Main Body Effort","الحرس الرئيسي"
"Main Body Guard","خطة المقاومة الرئيسي"
"Main Body Line of Resistance","طريق التموين الرئيسية"
"Main Body Supply Route","يتكون - يحافظ على"
"Maintain , To","يحافظ على الاتصال"
"Maintain , To Communication, To","يحافظ على الارتباط"
"Maintain , To Liaison , To","يحتفظ بموقع - يحافظ على موقع"
"Maintain , To a Position , To","صيانة"
"Maintenance","طبقات الصيانة :-"
"Maintenance Categories:","١- صيانة الوحدة :"
"1. Cat .1. Organizational Maintenance","- صيانة الخط الأول"
"1st Echelon Maintenance","- صيانة الخط الثاني"
"2- Cat.2. Field Maintenance","- صيانة الخط الثالث"
"3rd Echelon Maintenance","- صيانة الخط الرابع"
"3- Cat.3. Depot Maintenance","٣- صيانة القاعدة : -"
"-5th Echelon Maintenance","- صيانة الخط الخامس"
"Maintenance of Law & Order","المحافظة على القانون والنظام"
"Maintenance of Law & Order Officer","ضابط صيانة"
"Maintenance of Law & Order Plan","خطة الصيانة"
"Maintenance of Law & Order Project","مشروع الصيانة"
"Maintenance of Law & Order Status","حالة الصيانة"
"Major","وكيل قائد - رئيسي"
