ID,English,Arabic
631,cutting copy,نسخة العمل - النسخة التي يشتغل عليها المخرج أو مهندس الصوت أو فريق الدبلجة لإخراج الفيلم
632,dailies; daily papers,صحف يومية
633,daily circulation,توزيع يومي
634,daily evening paper,صحيفة مسائية يومية
635,daily morning paper,صحيفة صباحية يومية
636,daily newspaper,صحيفة يومية
637,daily press conferences,مؤتمرات صحفية يومية
638,daily programme,برنامج يومي
639,daily report,تقرير يومي
640,daily returns,مُرتجعات يومية
641,daily-news,أخبار يومية
642,darkroom,غرفة مظلمة
643,data,معطيات إخبارية
644,data communications,اتصال إلكتروني
645,data gathering,جمع المعلومات
646,data processing; information processing,معالجة المعلومات
647,database; databank,قاعدة معلومات
648,date,تاريخ
649,date of issue; date of publication,تاريخ الصُّدُور
650,dateline,برقيات الأخبار، بيانات العدد - في صحيفة هي تاريخ العدد، ورقمه، ورقم المجلد، والسنة، الخ...
651,dayshift,فريق النهار - العاملون في النهار في مقابل العاملين في الليل
652,daytime schedule (radio & TV),جدول برامج اليوم - إذاعة، تلفزة
653,day-to-day,يوماً بيوم
654,dead air,صمت - فترة ينقطع فيها البث الإذاعي
655,dead copy,مقال سبق نشرُه
656,deadline,أجل أقصى
657,dealer,موزّع
658,death notice,نَعي
659,debate,مناظرة
660,deceiful advertising,إشهار كاذب، إعلان كاذب
661,decipher (to),فكّ الترميز
662,decision-maker,صانع القرار
663,deck,عنوان ثانوي - غالباً ما يكتب بحروف أصغر من حروف العنوان الرئيسي
664,decker,صفّ العناوين
665,declaration; statement,تصريح
666,declassify(to),خفّض الأهمية - أي خفّض منزلة أحد الأخبار، خلال عملية فرز الأخبار من الأهم إلى الأقل أهمية، فجعله في منزلة أدنى
667,decoder,مفكّك الترميز - جهاز يفكّك برامج التلفزة التي تُبثّ ممزوجة لاستقبالها استقبالاً واضحاً
668,décor,مَناظر
669,dedication,إهداء
670,deep focus,مسافة بؤريّة عميقة - في مجال التصوير
671,deep throat,مصدر مُغلّف
672,defamation; libel,قذف
673,defamation case,دعوى قذف
674,defamatory words,عبارات القذف
675,definition,وضوحية - درجة وضوح الصورة، وهي تعتمد على عدد الخطوط الأفقية على شاشة التلفاز
676,definitive edition,طبعة نهائية
677,delay time,وقت احتياطي
678,delayed broadcast,بثّ مسجّل
679,delivery,1- تسلّم - 2- توزيع
680,delivery man,موزّع
681,demodulator,مزيل التعديل
682,demonstration,عرض
683,demonstration video tape,شريط معاينة
684,denial; disclaimer,تكذيب
685,deontology,أعراف المهنة - كل ما يتصل بأخلاق المهنة وتقاليدها وآدابها
686,deposit copy,نسخة الإيداع
687,depth interview,استجواب مُعمّق
688,depth of focus,عُمق البُؤرة، عمق الوضوح
689,description,وصف
690,descriptive title,عنوان وصفي
691,descryption; unscrambling,فكّ الترميز
692,design,تصميم
693,design department,قسم التصميم
694,designer,1- مصمّم المناظر - في السينما - 2- مخرج صحفي
695,desk,أمانة التحرير
696,desk editor,رئيس نشرة الأخبار، محرّر متخصّص
697,desk man,صحفي مكتبي - يزاول عمله في مكاتب الجريدة أو الإذاعة أو التلفزة ولا يقوم باستطلاعات خارجية
698,desk work,عمل مكتبي
699,desktop publishing,نشر بالحاسوب
700,detailed account,تقرير مفصّل
701,detective novel,رواية بوليسية
702,developing story,حدث جارٍ
703,development,تطوّر - ما يلي الحدث من تطورات بعد وقوعه
704,devil,فيلم مأجور - يقوم بالتحرير أو التأليف لصالح غيره مقابل أجر
705,diagonal dissolve,صور مائلة
706,dialect,لهجة
707,dialogue,حوارية
708,dialogue writer,كاتب حوارات
709,diaphragm,سيجاف - آلة التصوير
710,diary,يومية - تقوم سنوي على شكل كراسة تستعمل مفكرة يومية للمواعيد
711,dictationist; phone reporter,مُختزِلة
712,digest,مختار
713,digital,رقمي
714,digital photography,صورة رقمية
715,diplomatic sources,مصادر دبلوماسية
716,direct advertising,إعلان مباشر
717,direct broadcasting satellites,أقمار (سواتل) البثّ المباشر
718,direct interview,مقابلة مباشرة
719,directing microphone; briefing microphone,مُبهر التعليمات
720,directive interview,مقابلة موجّهة
721,director of photography; chief cameraman,مدير التصوير
722,director of production,مدير الإنتاج
723,directory,مذكّرة وتقويم، دليل، دليل عناوين
724,dirt,شائعة
725,disc jockey (D.J.),مُنسّق - يقوم باختيار وربط الأغاني الملائمة للبرنامج أو السهرة
726,discussion leader,مدير مُناظرة
727,discussion programme,طاولة مستديرة، مُناظرة
728,dish antenna,صحن هوائي
729,dishonest advertising,إعلان غير شريف
730,dispatch(to),أبرق (خبراً)
731,dispatching,رزم - رزم الصحف في مجموعات تمهيداً لتوزيعها
732,display,عرض
733,display advertizing,إشهار مصور، إعلان مصوّر
734,display screen,شاشة عرض
735,disque; disc,قرص
736,dissemination of information,ترويج (الخبر)
737,dissolve (cinema),تلاشي - الانتقال من لقطة إلى أخرى بانصهار الأولى وظهور الثانية تدريجياً
738,distant shot; master shot,لقطة شاملة
739,distortion,تعريف (الخبر)
740,distribution,توزيع
741,distribution channels,قنوات التوزيع
742,distribution network,شبكة التوزيع
743,distribution release,رخصة التوزيع
744,distribution rights,حقوق التوزيع
745,district transmitter,مُرْسِلة إقليمية - جهاز إرسال على نطاق علني
746,division label,حرف استهلال
747,document,وثيقة
748,documentary film,فيلم وثائقي
749,docurama,فيلم وثائقي درامي
750,do-it-yourself publishing,نشر ذاتي - نشر على نفقة الكاتب
751,dolly,منصّة التصوير، عربة
752,dolly shot,لقطة متحركة
753,domestic affairs,شؤون (ال...) الداخلية
754,domestic news agency,وكالة أنباء محلّية
755,double column,عمود مزدوج
756,double page advertising,إشهار على صفحتي الوسط، إعلان على صفحتي الوسط
757,double page spread,صفحتا الوسط
758,double title page,عنوان على صفحتين
759,double track,مَسْلك مزدوج
760,down page; bottom,أسفل الصفحة
761,draft,مسوّدة، مشروع
762,drama (film),تمثيلية (دراما) - وتنقسم إلى نوعين: المأساة، وتكون أحداثها مفعمة، والملهاة وهي ذات طابع هزلي
763,dramatic fees,حقوق العَرْض - حقوق مؤلف المسرحية حين تمثلها فرقة فنية على المسرح وتعرضها على الجمهور
764,drawing,رَسْم
765,dressing room,غرفة الملابس - مقصورة الفنانين التي يبدلون فيها ملابسهم على المسرح
766,drive time,فترة السائقين - حصة زمنية مخصّصة لاستماع السائقين في سياراتهم أو حافلاتهم
767,drive-in-cinema; drive-in theatre,سينما السيّارات - سينما في الهواء الطلق، يرتادها المتفرّجون بسيّاراتهم
768,dubbed film,فيلم مُدَبْلَج
769,dubbed version,نسخة مُدَبْلَجة
770,dubbing,دبلجة، ترجمة الصوت
771,dubbing studio,خبْرة ترجمة - الصوت (الدّبْلَجة)
772,dummy,تصميم
773,duplex,ربـط
774,duplication,نسخ
775,duplicator,ناسخة
776,duratin,مــدّة
777,duty,واجب
778,duty editor; news editor,مدير الأخبار
779,duty to inform,واجب الإخبار - يقتضي بتليف طرف آخر بخبر أو معلومة من حقّه أن يكون على علم بها
780,earphone,سمّاعة
781,ears,أذن (ال...) - مستطيلان أو مربّعان في الزاويتين العُلْويتين من الجريدة، على يمين العنوان وعلى يساره
782,earth station,محطة أرضية
783,echo,صدى
784,economic column,ركن اقتصادي
785,economic news service,قسم الأخبار الاقتصادية
786,edited by,صادر بإشراف...
787,editing,توليف، هيئة التحرير، إدارة جريدة
788,editing bench; editing table,طاولة التوليف
789,editing room,قاعة التوليف (فيلم)، قاعة التحرير
790,edition,نشر، طبعة
791,editor,مدير التأليف (فيلم)، مدير السلسلة (النشر)، محرّر (جريدة، إذاعة، تلفزة)
792,editorial,افتتاحية
793,editorial conference,اجتماع هيئة التحرير
794,editorial management,إدارة التحرير
795,editorial page,صفحة الرأي
796,editorial policy,سياسة التحرير
797,editorial staff,هيئة التحرير
798,editorial synchronization,تزامن الافتتاحية - تعبير عن آراء أو أفكار أو دسّها في خبر أو مقال
799,editorialist; editorial writer,كاتب الافتتاحية
800,editorializing,تضمين رأي - تعبير عن آراء أو أفكار أو دسّها في خبر أو مقال
801,editor-in-chief,رئيس التحرير
802,editor's note,ملاحظة التحرير
803,educational broadcasting,برنامج تربوي
804,educational film,فيلم تربوي
805,educational television,تلفزة تربوية
806,effective,فعّال
807,effective date,تاريخ التنفيذ
808,electronic character-generator,مولّد إلكتروني للحروف
809,electronic editing,توليف إلكتروني (التلفزة)
810,electronic journalism,صحافة إلكترونية
811,electronic mail,بريد إلكتروني
812,electronic media,وسائل اتصال إلكترونية
813,electronic publishing,نشر إلكتروني
814,embargo,كَمَان - وهو واجب الصحفي كَمَان خبر إلى أجل معيّن
815,emcee (master of ceremonies),قطب السهرة - وهو في الغالب ممثل أو صحفي مشهور
816,emmy awards,جوائز - جوائز تشجّع أحسن الأعمال في الإذاعة والتلفزة
817,en clair,بلا ترميز
818,encoding; coding,ترميز
819,end matter,ملاحق
820,end notes,هوامش
821,end title (cinema),نهاية (ال...)
822,engineering staff; technical staff,فريق تقني
823,enlarged edition,طبعة مزيدة
824,enlargement; blow-up,تكبير
825,entertainment,حفلة تسلية
826,entertainment film,فيلم تسلية
827,entertainment guide,دليل السهرة - تُثبّت بعروض التسلية المتاحة في السهرة
828,entertainment programme,برنامج تسلية
829,entertainment world (the),عالم الاستعراض
830,entitled (to be),مفوّض
831,entry,مَدْخَل
832,episode,حَلقة
833,equal time; fairness doctrine,مساواة في المعاملة - وواجب معاملة الأحزاب والمرشحين للانتخابات معاملة متساوية في التلفزة أو الإذاعة عندهم فرصاً متكافئة فيها خلال الحملات الانتخابية
834,equalier,مسوّية
835,erratum,تصويب - الأغلاط المطبعية في الكتب
836,ethics,آداب المهنة
837,evening paper; eveninger,صحيفة المساء
838,event,حدث
839,examination,فحص
840,excerpts of filmed sequences,مقاطع مصوّرة (فيلم)
841,exclusive rights,حقوق الانفراد - بثّ مبارات أو نشر مقابلة
842,exclusivity,انفراد
843,executive editor,رئيس التحرير المنفذ
844,executive producer,منتج منفذ
845,exemption of duties,إعفاء من الرسوم
846,exhaust (to),نَفَدَ
847,exhibited books,كتب معروضة
848,exhibition,عرض (فيلم)
849,exhibition rights,حقوق العَرْض
850,expanded edition,طبعة موسّعة
851,experimental programme,برنامج تجريبي
852,expiration date,أجل أقصى
853,explanatory notes,إيضاحات
854,exposure,تعريض (للضوء)
855,express company,وكالة توزيع
856,extension of copyright,مجال حقوق التأليف
857,exterior filming; exterior shooting,تصوير خارجي
858,extra copies,مُستَلّة - ج. مستلّات، وهي نسخ إضافية من الأصل
859,extra long shot (E.L.S.),لقطة جدّ عريضة
860,extracts; excerpts,مُقتطفات، مختارات
861,extras,مُلحق - الصحيفة أو مجلة
862,extreme opinion,رأي متطرّف
863,eye catcher,لافت للنظر
864,eye contact,دوام النّظر - إلى كاميرا التلفزة
865,eye wash,خَشْر الدّماغ
866,eyewitness,شاهد عيان
867,eyewitness account,تقرير شاهد عيان
868,F.M. frequency modulation,تعديل التردّد
869,fabricated account,تقرير مُلفّق
870,face,وجه
871,face time,مدة الظهور - مدّة ظهور شخص على شاشة التلفاز في فيلم أو برنامج
872,face-to-face,وجهاً لوجه
873,facsimile edition,طبعة ناسوخية
874,facsimile transmission,نقل ناسوخي
875,fact sheet,ورقة الاسترشاد
876,factual report,تقرير وقائع
877,fade over,توالي التلاشي والظهور
878,fade-in (film),رفع الصوت تدريجياً، ظهور مُتدرّج - ظهور معالم الصورة تدريجياً إلى أن يكتمل وضوحها
879,fade-out,تلاشٍ، خفوت - اختفاء معالم الصورة بالتدريج
880,fader,مُخفّف - زرّ أو جهاز لتخفيض النور أو إضعاف حدة الصورة، أو الصوت الخ
881,fair,معرض
882,fair and accurate report,تقرير نزيه
883,fair comment,نقد نزيه
884,fair copy,نسخة نظيفة
885,fair use,واجب ذكر المصدر - في الاقتباس، والاقتباس جائز، إذا كان اقتباساً من مؤلف في حدود قانون حماية حقوق المؤلف
886,fake interview,مقابلة ملفّقة - وهي مقابلة مختلقة ولا أساس لها في الواقع
887,false advertising,إعلان كاذب
888,false information,خبر مزيّف
889,family film,فيلم للأسرة
890,family magazine,مجلة الأسرة
891,family viewing programme (TV),برنامج للأسرة (في التلفزة)
892,fax,ناسوخ، مرسال - فاكس
893,feature article; feature column,مقال أساسي، مقال بارز، استطلاع كبير
894,feature film; full-length film,فيلم رئيسي - في قاعة سينما تعرض فيلمين أحدهما طويل والآخر قصير
895,feature presentation,فيلم رئيسي
896,feature work,مقال متميّز، تحرير مقالات متخصّصة
897,featurette film; short film,فيلم قصير
898,federal register (U.S.),جريدة (ال...) الرسمية
899,feedback,ارتداد
900,feuilleton,مسلسل
901,ficticious,خيالي
902,fiction; work of fiction,عمل روائي
903,fiction film,فيلم روائي
904,field broadcast,استطلاع ميداني
905,field frequency,مجال التردّدات
906,field of view,مجال الرّؤية
907,field of vision,مجال النّظر
908,field test,اختبار ميداني
909,figure,وجه (ج. وجهاء)
910,file,ملفّ
911,file a story(to),صنّف (في ملفّ)
912,file film,ملفّ فيلمي، وثائق فيلمية
913,filler,برنامج تكميلي، مقال تكميلي
914,filling up,حشو
915,film; movie,فيلم
916,film,شريط خيام (للكاميرا)
917,film archives,محفوظات سينمائية
918,film art director,مدير (ال...) الفنّي للفيلم
919,film card,رُقاقة
920,film director; film producer,مخرج
921,film editor,مُؤلّف
922,film festival,مهرجان سينمائي
923,film for adults,فيلم للكبار
924,film gate (of projector),نافذة العَرْض
925,film goer; movie goer,هاوي السينما
926,film industry,صناعة السينما
927,film library,مَقْلَمة - مكتبة الأفلام السينمائية
928,film magazine,مجلة السينما
929,film music,موسيقى فيلم
930,film preview,فيلم إعلاني
931,film production,إنتاج الأفلام
932,film recording,تسجيل الأفلام
933,film release,توزيع الأفلام
934,film review,تقرير الفيلم - عرض ومراجعة نقدية
935,film reviewer; film critic,ناقد إعلاني
936,film rights,حقوق الإخراج السينمائي
937,film script,كتابة الحوار، تقطيع المشاهد (سيناريو)
938,film show,عرض سينمائي
939,film star,نجم سينمائي
940,film technician,تقنيّ الفيلم
941,film trick,خدعة سينمائية
942,film unit; cameracrew,فريق التصوير
943,filming; schooting,تصوير
944,final edition,طبعة (ال...) الأخيرة
945,financial news,أخبار المال
946,financial paper,صحيفة أخبار المال
947,fine arts,فنون (ال...) الجميلة
948,fine cut,توليف دقيق
949,fine focus,ضبط الصُّورة - توضيح الصُّورة عبر ضبط عدسات منظار الكاميرا ضبطاً دقيقاً
950,finished layout,إخراج نهائي
951,first edition,طبعة (ال...) الأولى
952,first generation film,فيلم الجيل الأول
953,first run; first screening (film),عرض (ال...) الأول
954,first showing,أوّل بثّ، أوّل عرض
955,first-day story,مقال اليوم الأول - الجزء الأول من مقال في عدّة أجزاء
956,firsthand news,خبر المصدر المباشر
957,fitting,مُلائمة
958,five w's,أسئلة (ال...) الخمسة - من؟/ ما، متى، أين، كيف، لماذا
959,flag,شعار صحيفة
960,flagging (TV),تموّج الصُّورة
961,flash,لَمْعة - خبر سريع ومختصر وغالباً ما يكون تمهيداً لتفاصيل لاحقة
962,flash frame,صورة بيضاء
963,flashback,استحضار - رجوع إلى الوراء لاستعادة صور أو مواقف أو أحداث
964,flashcaster,طَبْع - نصّ على صورة
965,flat colours,ألوان هادئة
966,flat rate,سعر اتفاقي
967,flight,فترة إعلانية، فترة إشهارية
968,flight saturation,تركيز إعلاني - تجمّع الحدّ الأقصى من الإعلانات في فترة محدودة
969,flip over,قلّب الصُّورة - في التلفزة، وكأنها صفحة تُطوى عند الانتقال من لقطة إلى أخرى
970,float time,فترة فراغ
971,flood,ضوء غامر - فيض من الضوء الساطع يغطي مساحة عريضة
972,flood light,إضاءة غامرة - إضاءة صنعية موجّهة على نحو يفضي إلى إنارة المشاهد التي يراد تصويرها إنارة متناسقة
973,floor (cinema & TV),خشبة
974,floor manager (U.S.),مدير الخشبة
975,flow chart,برنامج إعلامي
976,flow of information,تدفّق المعلومات
977,flush(to),صفّف
978,flutter,توتّر - تفاوت في حلاء الصورة على شاشة التلفاز
979,fly-boy; printer's devil,ساعي المؤسّسة
980,flyer; leaflet,منشور
981,focus group,فريق الفحص - مجموعة أشخاص يعرض عليها منتج قبل عرضه في السوق لإبداء الرأء فيه
982,focused interview,مقابلة مُعمّقة
983,folder,مَطوِّية - منشور إعلاني مطوي
984,folio,رقم الصفحة
985,folklore,فلكلور - مأثورات شعبية وتراث شعبي
986,foot of page,أسفل الصفحة
987,footage,طول الفيلم - فيلم قصير أو طويل
988,footnote,هوامش
989,forbidden books,كتب محظورة
990,forecast,توقعات (ال...)
991,foreground,عَتَبة - مقدّمة المنظر المراد تصويره، مقدّمة الخشبة
992,foreign correspondent,مُراسِل من الخارج - من دولة أجنبية
993,foreign desk,مكتب الشؤون الخارجية
994,foreign editor,محرّر الشؤون الخارجية
995,foreign film,فيلم أجنبي
996,foreign language rights,حقوق الترجمة - حقوق ترجمة مؤلف من لغة إلى لغات أخرى
997,foreign version,نسخة أجنبية
998,foreword,مقدّمة - تقديم يستهل به الكتاب
999,forgery,تزوير
1000,format,قَطْع - وهو نمط شكل الكتاب بحسب قياس الصفحة فيه والقطع عموماً ثلاثة أنواع: كبير ومتوسط وصغير
1001,fortnightly,نصف شهري
1002,fourth cover,ظهر الغلاف
1003,fourth estate,سُلطة (ال...) الرابعة - وهي الصحافة
1004,frame,إطار
1005,frame counter; frame indicator,عدّاد الصُّور
1006,frame reversal,قلب الصُّور
1007,frame size,قَطْع الصُّورة - قياسها طولاً وعرضاً
1008,frame(to),أطر
1009,frames per second,عدد الصُّور في الثانية
1010,framing,تأطير، تقطيع
1011,franchise,إعفاء، امتياز
1012,free,مجاني
1013,free circulation,نشرة مجانية
1014,free copy,نسخة مجانية
1015,free flow of information,حرية تداول المعلومات
1016,free insertion,إدراج مجاني - في مجال الإعلان
1017,free paper,صحيفة مجانية
1018,free sample,عيّنة مجانية
1019,free standing newspaper insert,منشور إعلاني، مُنْدَرَج إشهاري
1020,free write up,استطلاع إعلاني مجاني
1021,freedom of the press,حرية الصحافة
1022,freelance,صحفي غير ملتزم - يعمل مستقلاً عن أي جريدة ويتقاضى أجره بالصفحة
1023,freeze frame,وقوف على صورة
1024,frequency of issue; frequency of publication,وتيرة الصُّدُور
1025,front cover,وجه الغلاف
1026,front page; title page,صفح العناوين، صفحة (ال...) الأولى
1027,front view,منظر أمامي
1028,full showing (newspaper); run showing,إعلان مواصل - يتكرّر ظهوره في كل طبعة من طبعات الجريدة في اليوم نفسه
1029,full house (cinema),قاعة غاصّة - ملاّى حتّى لم يبقَ فيها مكان خالٍ
1030,full licence,إجازة نهائية
1031,full scale,بالحجم الطبيعي
1032,full shot,لقطة كاملة
1033,full-length film; full-length feature,فيلم طويل
1034,full-page ad,إعلان صفحة كاملة
1035,fulltimer,بثّ مُتّصل - بثّ 24 ساعة في اليوم
1036,funnies,سلسلة رسوم هزلية
