id,term,definition,source_file
377,cinema commercial,فلم إعلاي» فلم إشهاري,معجم المصطلحات الاعلامية
378,cinema fan; cinema,هاوي,معجم المصطلحات الاعلامية
379,cinema goer,هرتاد السيئما,معجم المصطلحات الاعلامية
380,«cinema rights,الاقتباس حقوق,معجم المصطلحات الاعلامية
381,cinematography,السيتما توزيع,معجم المصطلحات الاعلامية
382,circulation area,منطقة العو زيع,معجم المصطلحات الاعلامية
383,circulation auditing,تدقيق التوزيع,معجم المصطلحات الاعلامية
384,circulation,حصص التوزيع,معجم المصطلحات الاعلامية
385,circulation control,مراقبة التوزيع,معجم المصطلحات الاعلامية
386,circulation figure,أرقام التوزيع,معجم المصطلحات الاعلامية
387,circulation manager,مدير المبيعات,معجم المصطلحات الاعلامية
388,circulation rate,نسبة التوزيع,معجم المصطلحات الاعلامية
389,citation; quotation,استشهاد مرجع,معجم المصطلحات الاعلامية
390,city edition dab,العاصمة,معجم المصطلحات الاعلامية
391,city editor et,أخبار اليو,معجم المصطلحات الاعلامية
392,class magazine,متخصصة: مجلة راقية,معجم المصطلحات الاعلامية
393,classified Siti,نات إعلانات مبوبة,معجم المصطلحات الاعلامية
394,classified column,عمود الإعلانات المبوّبة,معجم المصطلحات الاعلامية
395,classified document;,سوية وليقة,معجم المصطلحات الاعلامية
396,cliché,روسّم,معجم المصطلحات الاعلامية
397,cliffhanger,رواية مسلسلة الخلقة يموقف أو مشرّق حلقات وغالبا ما تنتهي مثير للحلقة التالية),معجم المصطلحات الاعلامية
398,clip; clipping,الصحافة قصامات,معجم المصطلحات الاعلامية
399,clips,شربط مقطوعات (فلم قصير لقطات سريعة غاليا ما قطعة من يصور غتائية),معجم المصطلحات الاعلامية
400,close captioning,إلكترونية للصم عنونة,معجم المصطلحات الاعلامية
401,dose medium shot Wail,"نصفيّة مقرّبة, لقطة أمريكية",معجم المصطلحات الاعلامية
402,close shot,لقطة مقرية لقطة,معجم المصطلحات الاعلامية
403,closed circuit,دارة مغلقة,معجم المصطلحات الاعلامية
404,closed circuit TV,دارة تلفزة مغلقة نظام تصوير وعرض للصورة في دائرة مغلقة يستعمل في الغالب الملات التجارية والموسسات),معجم المصطلحات الاعلامية
405,coded; scrambled py,مجموعة,معجم المصطلحات الاعلامية
406,color film,فلم بالألوات السيئما) شريط بالألوان التصوير),معجم المصطلحات الاعلامية
407,columnist,حور عمود,معجم المصطلحات الاعلامية
408,colored story ae,مقال ض م000 عمود,معجم المصطلحات الاعلامية
409,combined issues,عدد مردوج,معجم المصطلحات الاعلامية
410,comedian,ممثل,معجم المصطلحات الاعلامية
411,comedy,ملهاة,معجم المصطلحات الاعلامية
412,comic artist,مؤلف شرائط رسوم هزلية,معجم المصطلحات الاعلامية
413,comic strip; comics,شرائط هزلية رسوم,معجم المصطلحات الاعلامية
414,color TV,بالألوان تلفاز بالألوان نسخة,معجم المصطلحات الاعلامية
415,Color printing,طباعة بالألوان,معجم المصطلحات الاعلامية
416,aerial camera,جوية كاميرة,معجم المصطلحات الاعلامية
417,assistant manager,المدير نائب,معجم المصطلحات الاعلامية
418,angle,زاوية,معجم المصطلحات الاعلامية
419,caricature,كاريكاتير,معجم المصطلحات الاعلامية
420,cartoons,رسوم رسوم هزلية,معجم المصطلحات الاعلامية
421,informations,المعلومات ججة,معجم المصطلحات الاعلامية
422,irector,د مدير ير ام,معجم المصطلحات الاعلامية
423,editor,هدير الإخبار واجب يقضي بتبليغ طرف آخر بخبر معلومة من مه أو أن يكون على,معجم المصطلحات الاعلامية
424,"POR NUY Bi 2B, wig COREE",ع,معجم المصطلحات الاعلامية
425,Bye Tae SY,ل,معجم المصطلحات الاعلامية
426,extra long shot,لقطة جدّ عريضة,معجم المصطلحات الاعلامية
427,company publication,إعلان مقارن,معجم المصطلحات الاعلامية
428,ae,فباتت تتناقض آرائه ومعتقداته) مم,معجم المصطلحات الاعلامية
429,cover; cover page,غلاف,معجم المصطلحات الاعلامية
430,réception (d'un journal,توزيع,معجم المصطلحات الاعلامية
431,diagonal dissolve,مائلة صور لمحة,معجم المصطلحات الاعلامية
432,récit monté de toutes piéces,جه,معجم المصطلحات الاعلامية
433,go,شب احج سعد,معجم المصطلحات الاعلامية
434,wee pad‏,(درحة وضوح تعتمد على دعا ما المنطوط وهي عدد الصورة. الأفقية على شاشة التلفاز),معجم المصطلحات الاعلامية
435,fa Sf Te BS FOO OR Bs,لك نيد ا المج سم ا ا ا و لي,معجم المصطلحات الاعلامية
436,Rey ANG oy,ين ال ار,معجم المصطلحات الاعلامية
437,patty,حبر سريع وغالبا ما يكون تمهيدا لتفصيلات لاحقة),معجم المصطلحات الاعلامية
438,commercial break,"فاصل إعلان, فاصل إشهار",معجم المصطلحات الاعلامية
439,contract,كفو,معجم المصطلحات الاعلامية
440,base de données; banque de données,تاريخ,معجم المصطلحات الاعلامية
441,diffamatoires‏,ل ١ وضوحية,معجم المصطلحات الاعلامية
442,opt,(ما مايل يلي تطورات تت بعد وة عه وقوعه) الحدث من تطورات بعد,معجم المصطلحات الاعلامية
443,irecting,مُجهر التعليمات,معجم المصطلحات الاعلامية
444,oud,إشهار على صفحتي إعلان على الوسط,معجم المصطلحات الاعلامية
445,"St OE SO,",ل بإ ديه لان,معجم المصطلحات الاعلامية
446,awards,جوائز تشيجع أحسن الأعمال الإذاعة والتلفزة) حوائز في,معجم المصطلحات الاعلامية
447,ene,بيان لتصحيح في تصريح نشر,معجم المصطلحات الاعلامية
448,"AON,",امي مم,معجم المصطلحات الاعلامية
449,Gare,(نص على,معجم المصطلحات الاعلامية
450,VSG,ا ا لت ش,معجم المصطلحات الاعلامية
451,(lt,إرسال نطاق حهاز على,معجم المصطلحات الاعلامية
452,"ans, eas Ses,‏ ‘A",اك م,معجم المصطلحات الاعلامية
453,décorateur (cinéma),صحفي مخرج,معجم المصطلحات الاعلامية
454,eh x‏,مك لح,معجم المصطلحات الاعلامية
455,aid ty De,ا,معجم المصطلحات الاعلامية
456,LO SO. NRO IN,سر,معجم المصطلحات الاعلامية
457,ité,شكوى,معجم المصطلحات الاعلامية
458,expiration date,أجل أقصى,معجم المصطلحات الاعلامية
459,igita,رقمي,معجم المصطلحات الاعلامية
460,express company,كالة لوز,معجم المصطلحات الاعلامية
461,comics book Us”,شرائط رسوم,معجم المصطلحات الاعلامية
462,coming attractions,(ال..) المقبلة عروض تعليق,معجم المصطلحات الاعلامية
463,commentator;,معلق,معجم المصطلحات الاعلامية
464,commercial ie,وصلة صلة إث إشهارية؛ و إعلائية صفحة إشهارية,معجم المصطلحات الاعلامية
465,commercia sal,بلاغ إشهاري,معجم المصطلحات الاعلامية
466,commercial radio,تجارية إذاعة ش,معجم المصطلحات الاعلامية
467,corrective,تصويب أولا ستدراك,معجم المصطلحات الاعلامية
468,commercial ye,قناة تجارية تلفزة,معجم المصطلحات الاعلامية
469,communication,اتصال,معجم المصطلحات الاعلامية
470,communications,فن الاتصال» وسائل الاتصال,معجم المصطلحات الاعلامية
471,communicator,وكيل الاتصال,معجم المصطلحات الاعلامية
472,communique,بلاغ,معجم المصطلحات الاعلامية
473,community antenna,مشترك هواني,معجم المصطلحات الاعلامية
474,community viewing;,استقبال جماعي (مشاهدة او استماع),معجم المصطلحات الاعلامية
475,compact disk disk (CD) (CD,قرص مدمج,معجم المصطلحات الاعلامية
476,compact disk video,قرص فيديو,معجم المصطلحات الاعلامية
477,company,المؤسسة نشرة,معجم المصطلحات الاعلامية
478,advertising,إعلان تنافسي؛ إشهار تنافسي,معجم المصطلحات الاعلامية
479,complementary,مُكمُل,معجم المصطلحات الاعلامية
480,complete world,تغطية عالمية شاملة,معجم المصطلحات الاعلامية
481,complimentary gi,اشتراك,معجم المصطلحات الاعلامية
482,composer,ملحن,معجم المصطلحات الاعلامية
483,composition,تلحين,معجم المصطلحات الاعلامية
484,computer,حاسوب,معجم المصطلحات الاعلامية
485,computer animation IS,رسوم بالخاسوب,معجم المصطلحات الاعلامية
486,computer-aided,تعليمات,معجم المصطلحات الاعلامية
487,conference call,ظرة مناظرة عن عن بعد,معجم المصطلحات الاعلامية
488,connection,ربط,معجم المصطلحات الاعلامية
489,conscience clause,استقلال الرأي الرأي لصحفى حقه في استقلال الضمير والانسجام الوحدان ويقضي الصحفي مع استلام غيّرت مغادرة صحيئة تعريضات إذا,معجم المصطلحات الاعلامية
490,console,لوحة المفاتيح,معجم المصطلحات الاعلامية
491,consultant,مستشار,معجم المصطلحات الاعلامية
492,consumer; user,مستهلك,معجم المصطلحات الاعلامية
493,consumer profile,مواصفات المستهلك نال,معجم المصطلحات الاعلامية
494,consumerism,حماية المستهلكٍ,معجم المصطلحات الاعلامية
495,content analysis,تحليل المضمون,معجم المصطلحات الاعلامية
496,continuity,حملة إعلانية,معجم المصطلحات الاعلامية
497,continuity clerk,مقطع المشاهد (السيداريو),معجم المصطلحات الاعلامية
498,continuity cutting,تقطيع المشاهد (السيناريو),معجم المصطلحات الاعلامية
499,continuity inuity ttle ti,الربط عنوان,معجم المصطلحات الاعلامية
500,continuous fate,غَراض,معجم المصطلحات الاعلامية
501,continuous survey pot,تحقيق متصل»,معجم المصطلحات الاعلامية
502,contract film,منج أفلام,معجم المصطلحات الاعلامية
503,contract player fit,متعاقد,معجم المصطلحات الاعلامية
504,contrast,تضاد معاكس,معجم المصطلحات الاعلامية
505,contre jour,ضوء (تصرير في مواحهة الشمس و أو ضوء,معجم المصطلحات الاعلامية
506,contributing editor,مستشار التحرير,معجم المصطلحات الاعلامية
507,contribution,مقال مسامة,معجم المصطلحات الاعلامية
508,contributor;,مستّكتب (كاتب العاملون ف في الصحيفة) من من ب ون,معجم المصطلحات الاعلامية
509,control console;,مكتب المراقية,معجم المصطلحات الاعلامية
510,control room,المراقية حجرة,معجم المصطلحات الاعلامية
511,control hat,امر المراقبة مصوت,معجم المصطلحات الاعلامية
512,controller of,مبرمج البرامج مدير,معجم المصطلحات الاعلامية
513,convenience sample,عرّئة عشوائية,معجم المصطلحات الاعلامية
514,copvention,اتفاقية أ,معجم المصطلحات الاعلامية
515,conventional media; ali,وسائل الإعلام,معجم المصطلحات الاعلامية
516,cooperative,إعلان جماعي,معجم المصطلحات الاعلامية
517,co-production,إنتاج مشترك,معجم المصطلحات الاعلامية
518,copy,لسخة,معجم المصطلحات الاعلامية
519,policy copy approach; copy Ue,لص النص,معجم المصطلحات الاعلامية
520,copy block,دفتر التسمير,معجم المصطلحات الاعلامية
521,copy boy,الصحف,معجم المصطلحات الاعلامية
522,copy PY date; deadline,جل الإبداع,معجم المصطلحات الاعلامية
523,copy desk,مكتب المر اجعة,معجم المصطلحات الاعلامية
524,copy edit; yall,مراجعة,معجم المصطلحات الاعلامية
525,copy editor,مصحّح,معجم المصطلحات الاعلامية
526,copy schedule,برنامج المواد اللقالات أعداد الصحيفة المقبلة) حدول ستصدر في,معجم المصطلحات الاعلامية
527,copyguard; copy,مفتاح التأمين,معجم المصطلحات الاعلامية
528,copyright ABs,حق حق الملكية الفكرية؛ وهذه تشمل كل أو وهو إنتاج فئ أدي لهم,معجم المصطلحات الاعلامية
529,copyright notice,ذكر المؤلف حق,معجم المصطلحات الاعلامية
530,copyrighting,تسجيل المؤلفات (إبداع لدى مكتب حقوق التأليف),معجم المصطلحات الاعلامية
531,copywrite,محرّر مقالات,معجم المصطلحات الاعلامية
532,cordless sync yn,سلكي تزامن لا للصوت,معجم المصطلحات الاعلامية
533,corporation,شركة,معجم المصطلحات الاعلامية
534,correction,تدقيق (مراجعة,معجم المصطلحات الاعلامية
535,correspondent,مراميل تصويب بب (الأغلاط المطبعيّة),معجم المصطلحات الاعلامية
536,costume film,فلم تاريخي,معجم المصطلحات الاعلامية
537,costumes,ملايس,معجم المصطلحات الاعلامية
538,country of,بلد الإصدار,معجم المصطلحات الاعلامية
539,coupon,قسيمة,معجم المصطلحات الاعلامية
540,cover model,فتأة الغللاف على تظهر فتاة تستحيب,معجم المصطلحات الاعلامية
541,cover photograph; BIW,صورة,معجم المصطلحات الاعلامية
542,cover price oF,سعر(ال..) المعلن؛,معجم المصطلحات الاعلامية
543,cover story bys,هموضوع مقالة,معجم المصطلحات الاعلامية
544,cover title,الغلاف عنوان تغطية,معجم المصطلحات الاعلامية
545,crabs,عات مر,معجم المصطلحات الاعلامية
546,crane,رافعة,معجم المصطلحات الاعلامية
547,creativity,إبداع,معجم المصطلحات الاعلامية
548,credible,موثوق,معجم المصطلحات الاعلامية
549,credit line,المصدر بيان,معجم المصطلحات الاعلامية
550,credits; credit titles,مقلمة الفلم,معجم المصطلحات الاعلامية
551,creeping titles;,مُنسابة عناوين (غناوين مقدمة فلم تتساب متتابعة على شاشة العرض),معجم المصطلحات الاعلامية
552,crew,فريق عمل,معجم المصطلحات الاعلامية
553,critic,ناقدزال,معجم المصطلحات الاعلامية
554,critical view,وجهة نظر نقدية,معجم المصطلحات الاعلامية
555,criticism,نقدوال..),معجم المصطلحات الاعلامية
556,cross media,قطب صحفي أحهزة في ميدان الاعلام صحافة» شخص محطات إعلان؛,معجم المصطلحات الاعلامية
557,crosslighting,إضاءة متقاطعة,معجم المصطلحات الاعلامية
558,cue,إشارة البدء عل,معجم المصطلحات الاعلامية
559,cue card; flip card,بطاقة تذكير (بطاقة تذكر بعناصر البرتامج المتلفز),معجم المصطلحات الاعلامية
560,cue light,إضاءة العصوير,معجم المصطلحات الاعلامية
561,cue line,إشارة إشارة صحفي الاستوديو وثقنيي المحافظة للربط بين ين أو أو حبرين فاصلين),معجم المصطلحات الاعلامية
562,cue sheet; running,دليل التوفيت (ورقة تتضمن توقيت كل فقرة فقراث البرنامج من وتفاصيلها,معجم المصطلحات الاعلامية
563,cultural programme,برنامج,معجم المصطلحات الاعلامية
564,current events,حوادث(ال..) الجارية,معجم المصطلحات الاعلامية
565,current number,عدد اليوم (في الصصافة المكتوبة)»,معجم المصطلحات الاعلامية
566,curtain,ستار,معجم المصطلحات الاعلامية
567,curtain raiser,فقرة الافتعاح البرنامج الذي يعرض بعد رفع الستار مباشرة),معجم المصطلحات الاعلامية
568,cut,فاصل,معجم المصطلحات الاعلامية
569,cutversion,نسخة مختصرة,معجم المصطلحات الاعلامية
570,cutaway,لقطة فاملة أو لقطة تفصل بين مشهدين أو موضوعين في فلم) صورة,معجم المصطلحات الاعلامية
571,cut-in scene; keying,دئج نص (نص ف ف الصورة الصورة),معجم المصطلحات الاعلامية
572,cutline; caption,اسم المؤلف (مقالات اسم المرمرل قصاصات الأخبار),معجم المصطلحات الاعلامية
573,cut-offs,فواصل إشهارية,معجم المصطلحات الاعلامية
574,cutout,مَنَاظِر ظر مذو محذوفة,معجم المصطلحات الاعلامية
575,cutting copy,العمل الى يشتغل عليها المخرج أو مهندس الصوت أو فريق الدبلحة لإخخراج الفلم),معجم المصطلحات الاعلامية
576,dailies; daily papers,صحف يرمية,معجم المصطلحات الاعلامية
577,daily circulation,توزيع يومي,معجم المصطلحات الاعلامية
578,dallyevening paper,صحيفة مسائية يريد,معجم المصطلحات الاعلامية
579,daily newspaper,صحيفة يومية,معجم المصطلحات الاعلامية
580,daily press,مؤترات صحفية يوهمية,معجم المصطلحات الاعلامية
581,dally ily prog programme,برنامج يومي,معجم المصطلحات الاعلامية
582,daily report,تقرير يومي,معجم المصطلحات الاعلامية
583,daily returns ae,يومية,معجم المصطلحات الاعلامية
584,daily-news,أخبار,معجم المصطلحات الاعلامية
585,darkroom,غرفة مظلمة,معجم المصطلحات الاعلامية
586,data Ay yo},معطيات,معجم المصطلحات الاعلامية
587,data communications,اتصال معلومات جمع ا,معجم المصطلحات الاعلامية
588,database; databank,قاعدة معلومات,معجم المصطلحات الاعلامية
589,date of issue; date,تاريخ,معجم المصطلحات الاعلامية
590,dateline led,بركيّات بيانات العدد في صحيفة تاريخ العدد؛ ورقمه؛ ورقم والسنة؛ هي,معجم المصطلحات الاعلامية
591,dayshift‏,النهار فريق في في (العاملوت التهار مقابل العاملين في اللبل),معجم المصطلحات الاعلامية
592,daytime schedule‏,جدول البوم ول برامج ا (إذاعة»,معجم المصطلحات الاعلامية
593,deadair wee,(فترة ينقطع ات فيها البث الإذاعي) ١,معجم المصطلحات الاعلامية
594,dead copy‏,مقال سبق,معجم المصطلحات الاعلامية
595,deadline‏,أجل أقصى مورّع,معجم المصطلحات الاعلامية
596,death notice‏,ني,معجم المصطلحات الاعلامية
597,deceiful advertising‏,"إشهار كاذب, إعلان كاذب",معجم المصطلحات الاعلامية
598,decipher (to)‏,فك,معجم المصطلحات الاعلامية
599,decision-maker‏,صاتع القرار,معجم المصطلحات الاعلامية
600,deck,ثانوي (غالبا ما يكتب بحروف أصغر حروف العتوان الرئيسي) من,معجم المصطلحات الاعلامية
601,declaration;‏,جرح خض الأهمية أحد الأنتبار عملية قرز الأهم إلى الأقل فجعله في أدنسى) من,معجم المصطلحات الاعلامية
602,decoder‏,الترهيز” يفكسك (حهاز برامج التلفزة الي لاستقبالها مرمزة استقبالا بالا واضحام,معجم المصطلحات الاعلامية
603,décor pe‏,١ إهداء,معجم المصطلحات الاعلامية
604,deep focus‏,مسالة بؤريّة عميقة ن الك لتصوير),معجم المصطلحات الاعلامية
605,deep throat AMS‏,ملفل مصدر ر,معجم المصطلحات الاعلامية
606,defamation; libel‏,قَذْف,معجم المصطلحات الاعلامية
607,defamation case‏,قذف دعوى,معجم المصطلحات الاعلامية
608,defamatory words‏,ل القذف عبارات,معجم المصطلحات الاعلامية
609,definitive edition ASU,طبعة,معجم المصطلحات الاعلامية
610,delay elay tme ti,وقت احتياطي,معجم المصطلحات الاعلامية
611,delayed broadcast,مسجّل بث سه تسلم,معجم المصطلحات الاعلامية
612,fade-in aqde- in (film),رفع الصوت تدريجياء ل ظهور ظهور معالم الصورة إلى أن يكتمل تدريجيا وضوحها),معجم المصطلحات الاعلامية
613,delivery,مو,معجم المصطلحات الاعلامية
614,demodulator,مزيل التعديل,معجم المصطلحات الاعلامية
615,demonstration,عَرْض,معجم المصطلحات الاعلامية
616,demonstration video Kites,شريط,معجم المصطلحات الاعلامية
617,denial; disclaimer,تكذيب,معجم المصطلحات الاعلامية
618,deontol osy,أعراف المهنة ما يتصل بأحلاق المهنة وتقاليدها وآدابها),معجم المصطلحات الاعلامية
619,deposit copy,الإيداع نسخة,معجم المصطلحات الاعلامية
620,depth interview,مُعَمُق استجواب,معجم المصطلحات الاعلامية
621,depth of focus,عُمق عمق الوضوح,معجم المصطلحات الاعلامية
622,description,وصف,معجم المصطلحات الاعلامية
623,descriptive title ge),عنوان,معجم المصطلحات الاعلامية
624,descryption;,فلك,معجم المصطلحات الاعلامية
625,designer estas,(سينما),معجم المصطلحات الاعلامية
626,desk,أمانة التحرير,معجم المصطلحات الاعلامية
627,desk editor,رئيس نشرة خرر متخصص,معجم المصطلحات الاعلامية
628,desk man gh,صحفي عمله في مكاتب أو الإذاعة أو التلفزة ولا يقوم باستطلاعات,معجم المصطلحات الاعلامية
629,desk work ae,عمل,معجم المصطلحات الاعلامية
630,desktop PP publishin tes,بالحاسوب,معجم المصطلحات الاعلامية
631,detailed account fais,تقرير,معجم المصطلحات الاعلامية
632,detective novel,رواية بوليسية,معجم المصطلحات الاعلامية
633,developing story,حَدّث جار,معجم المصطلحات الاعلامية
634,devil,مأجور قلم (يقوم بالتحرير أو التأليف تصالم غيره مقابل,معجم المصطلحات الاعلامية
635,dialect,جوارية,معجم المصطلحات الاعلامية
636,dialogue writer,كاتب حواريّات,معجم المصطلحات الاعلامية
637,diaphragm di,(آلة التصوير),معجم المصطلحات الاعلامية
638,diary,يوميّة على شكل كراسة تستعمل مفكرة يرمية سنوي للمواعيد),معجم المصطلحات الاعلامية
639,dictationist; phone,مُخْتزلة,معجم المصطلحات الاعلامية
640,digest,غنتار,معجم المصطلحات الاعلامية
641,digital photography,رقمية صورة,معجم المصطلحات الاعلامية
642,diplomatic sources,مصادر دبلوماسية,معجم المصطلحات الاعلامية
643,direct advertising pile,إعلان,معجم المصطلحات الاعلامية
644,direct broadcasting,أقماروسواتل) البث المباشر,معجم المصطلحات الاعلامية
645,direct interview,مقابلة مباشرة,معجم المصطلحات الاعلامية
646,directive interview,مقابلة موجهة,معجم المصطلحات الاعلامية
647,director of,التصوير هدير ع ل,معجم المصطلحات الاعلامية
648,directory,مذكرة دليل؛ دليل عناوين,معجم المصطلحات الاعلامية
649,«dirt,شائعة,معجم المصطلحات الاعلامية
650,disc jockey (D.J. (D.3.),(يقوم وبث الأغان الملائمة للبرنامج أو السهرة),معجم المصطلحات الاعلامية
651,discussion leader,مُنَاظرة هدير,معجم المصطلحات الاعلامية
652,discussion,طاولة مُناظرة,معجم المصطلحات الاعلامية
653,dishonest di advertising dvertisi by,إعلان غير فيرش,معجم المصطلحات الاعلامية
654,dispatch(to patch(to),أن ق برف,معجم المصطلحات الاعلامية
655,dispatching SY),(رزم الصحف ف مجموعات ثمهيدا لترزيعها),معجم المصطلحات الاعلامية
656,display advertizing,نالعإ إشهار مصون مصور,معجم المصطلحات الاعلامية
657,display screen,شاشة عرض,معجم المصطلحات الاعلامية
658,dissolve (cinema),تلاشي الانتقال لقطة إلى أحرى بانصهار الأولى وفلهور الثانية من تدريجيا),معجم المصطلحات الاعلامية
659,distant shot; master,لقطة شاملة,معجم المصطلحات الاعلامية
660,distortion Oth,تحريف توزيع,معجم المصطلحات الاعلامية
661,distribution channels,قنوات التوزيع,معجم المصطلحات الاعلامية
662,«distribution network,شبكة التوزيع,معجم المصطلحات الاعلامية
663,distribution retease,التوزيع رخصة,معجم المصطلحات الاعلامية
664,distribution rights,التوزيع حقوق,معجم المصطلحات الاعلامية
665,district transmitter,مُرميلة إقليمية,معجم المصطلحات الاعلامية
666,division label get,حرف,معجم المصطلحات الاعلامية
667,document,وثيقة,معجم المصطلحات الاعلامية
668,documentary film,فلم وثائقي,معجم المصطلحات الاعلامية
669,docurama,فلم وثائقي درامي,معجم المصطلحات الاعلامية
670,do-it-yourself,نشر (نشر على نفقة الكاتب),معجم المصطلحات الاعلامية
671,dolly cppadl,عربة,معجم المصطلحات الاعلامية
672,dolly shot,لقطة متحركة,معجم المصطلحات الاعلامية
673,domestic affairs RAH,شؤون (ال..),معجم المصطلحات الاعلامية
674,domestic news LAs,أنباء وكالة,معجم المصطلحات الاعلامية
675,double column,عمود,معجم المصطلحات الاعلامية
676,double page page sp spread,الوسط صفحتا,معجم المصطلحات الاعلامية
677,double title Peg “pad pe,على صفحتين,معجم المصطلحات الاعلامية
678,double track thd,ف,معجم المصطلحات الاعلامية
679,down page; bottom,أسفل الصفحة,معجم المصطلحات الاعلامية
680,draft,“دق مذ,معجم المصطلحات الاعلامية
681,drama (film),(دراما) إلى المأساة وتكون أحدائها نوعين: وهي ذات طابع هزلي),معجم المصطلحات الاعلامية
682,dramatic fees oon,حقوق العرض (حقوق مؤلف المسرحية فرقة فنية على السرح على وتعرضها,معجم المصطلحات الاعلامية
683,dressing room,غرفة الملابس مقصورة الفنانين الي فيها على ملابسهم المسرح),معجم المصطلحات الاعلامية
684,drive time,فترة السائقين حصّة زمئّة مخصّصة سياراتهم أو لاستماع السائفين في حائلاتم),معجم المصطلحات الاعلامية
685,drive-in-cinema;,سينما السيّارات المواء الطلق» المتفرحون يسمّاراتهم) يرتادها,معجم المصطلحات الاعلامية
686,dubbed film,فلم,معجم المصطلحات الاعلامية
687,dubbed version,نسخة,معجم المصطلحات الاعلامية
688,dubbing,دبلجة: ترجمة الموت,معجم المصطلحات الاعلامية
689,dubbing studio,حُجرة ترجمة,معجم المصطلحات الاعلامية
690,dummy,تصميم,معجم المصطلحات الاعلامية
691,duplex,رسط,معجم المصطلحات الاعلامية
692,earphone,ذنان مستطيلان أو الزاويتين العُلويتين من الخريدة» عل بمين العتوان وعلى يساره),معجم المصطلحات الاعلامية
693,earth station ibs,أرضية,معجم المصطلحات الاعلامية
694,echo,صدى,معجم المصطلحات الاعلامية
695,economic column,ركن اقتصادي,معجم المصطلحات الاعلامية
696,edited by,صادر بإشراف..,معجم المصطلحات الاعلامية
697,Als,هيئة إدارة جريدة,معجم المصطلحات الاعلامية
698,editing bench;,طاولة التوليف,معجم المصطلحات الاعلامية
699,editing,قاعة التوليف(فِلّم): قاعة التحرير عل,معجم المصطلحات الاعلامية
700,edition,طبْعة,معجم المصطلحات الاعلامية
701,editor,"التأليف (فلم)» مدير مدير السلسلة نشر)) (النشر), محور تلفزة)",معجم المصطلحات الاعلامية
702,editorial conference,اجتماع التحرير هيئة,معجم المصطلحات الاعلامية
703,editorial,إدارة التحرير,معجم المصطلحات الاعلامية
704,editorial policy,سياسة التحرير,معجم المصطلحات الاعلامية
705,editorial staff,التتحربر,معجم المصطلحات الاعلامية
706,editorial,تزمين الافتتاحية آراء أو أفكار أو دسها في أومقال) (تعبير عن,معجم المصطلحات الاعلامية
707,editorialist; editorial,كاتب,معجم المصطلحات الاعلامية
708,editorializing,رأي تضمين (تعبير آراء أو أفكار أو دسها في حبر أو مقال) عن,معجم المصطلحات الاعلامية
709,editor-in-chief HEL,رئيس,معجم المصطلحات الاعلامية
710,editor's note,ملاحظة التحرير,معجم المصطلحات الاعلامية
711,fair and accurate,تقرير نزيه م,معجم المصطلحات الاعلامية
712,educational,برنامج تربري,معجم المصطلحات الاعلامية
713,educational film eo,تربوي,معجم المصطلحات الاعلامية
714,educational,تلفزة تلفزة تربو تربوية,معجم المصطلحات الاعلامية
715,effective,فكال,معجم المصطلحات الاعلامية
716,effective date Lal,تاريخ,معجم المصطلحات الاعلامية
717,electronic character-,إلكترون للحروف,معجم المصطلحات الاعلامية
718,electronic editing,توليف إلكتروي(التلفزة),معجم المصطلحات الاعلامية
719,electronic journalism,ةينورتكلإ مبحافة,معجم المصطلحات الاعلامية
720,electronic mail,بريد إلكتروي,معجم المصطلحات الاعلامية
721,electronic media,وسائل اتصال نية,معجم المصطلحات الاعلامية
722,electronic publishing,نشر,معجم المصطلحات الاعلامية
723,embargo,كتمان (وهو واحب الصحفي إلى أحل,معجم المصطلحات الاعلامية
724,emcee (master of,قطب السهرة أو (وهر في الغالب عمثل صحفي مشهور),معجم المصطلحات الاعلامية
725,en clair,بلا ترميز,معجم المصطلحات الاعلامية
726,encoding; coding,كرميز,معجم المصطلحات الاعلامية
727,end notes,هواميش,معجم المصطلحات الاعلامية
728,end title (cinema),(ال...),معجم المصطلحات الاعلامية
729,engineering staff;,قن فريق,معجم المصطلحات الاعلامية
730,enlarged edition,طبعة,معجم المصطلحات الاعلامية
731,enlargement; blow-,تكبير,معجم المصطلحات الاعلامية
732,entertainment,حفلة تسلية,معجم المصطلحات الاعلامية
733,entertainment film,فلم تسلية,معجم المصطلحات الاعلامية
734,entertainment guide,دليل السهرة التسلية المتاحة السهرة) بعروض في,معجم المصطلحات الاعلامية
735,entertainment,برنامج تسلية,معجم المصطلحات الاعلامية
736,entertainment world fle,الاستعراض,معجم المصطلحات الاعلامية
737,entitled (to be),مفوض,معجم المصطلحات الاعلامية
738,entry,مَدْعَل,معجم المصطلحات الاعلامية
739,episode,حلقة,معجم المصطلحات الاعلامية
740,equal time; fairness,في مساواة المعاملة (واحب معاملة الأحزاب والمرشحين للانتضابات معاملة الحملات الانتخحابية),معجم المصطلحات الاعلامية
741,erratum,تصويب (الأغلاط م الكتب) الطباعية في,معجم المصطلحات الاعلامية
742,ethics,آداب المهنة,معجم المصطلحات الاعلامية
743,evening paper;,المساء صحيفة,معجم المصطلحات الاعلامية
744,excerpts of filmed,مقاطع مصوّرة فلم,معجم المصطلحات الاعلامية
745,exclusive rights,الانفراد حقوق أو مقايلة) (ببث مبارات نشر,معجم المصطلحات الاعلامية
746,exclusivity,انفراد,معجم المصطلحات الاعلامية
